popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,Distance_to_Nearest_RHU_km,HCFAI,total_population,RHU_Presence,ID,buildability_landcov,Road_Presence,POI_Presence,Nearest_RHU,Neighbors,Cluster
0.0,0.0,0.0,0.0,0.0,0.0011644419666076112,0.5126901837944348,0.3901823400673058,0.5109260526562,0.5351241873958877,0.5387398891087741,0.0011644419666076112,0,2865422,1,0,0,2877844,"2865422, 2866804",0
0.00037247665445268026,0.00025748159196926733,0.00028779100342198933,0.0002706511832811637,0.0002728405626460103,0.004863041661098401,0.4023510520730067,0.3623027558072853,0.5292271460866249,0.1979715054824919,0.5653056277557523,0.004863041661098401,0,2866789,1,0,0,2877844,"2866789, 2866790",0
0.0,0.0,0.0,0.0,0.0,0.008078209762893269,0.4023510520730067,0.3623027558072853,0.5292271460866249,0.20424477729528281,0.2007106169220057,0.008078209762893269,0,2866790,0,0,0,2877844,"2866790, 2866791",0
0.0,0.0,0.0,0.0,0.0,0.012161482109443065,0.4023510520730067,0.3623027558072853,0.5292271460866249,0.21734509662298415,0.20073560239939195,0.012161482109443065,0,2866791,0,0,0,2877844,2866791,0
0.0026418634459186257,0.002460318656540909,0.002241629005394557,0.001976669914285064,0.0020206576631842813,0.0021469244092720443,0.5986028925190894,0.38155724840205996,0.5856220952965645,0.2839316841753055,0.27428442575340806,0.0021469244092720443,0,2866795,0,0,1,2877844,2866795,0
0.0,0.0,0.0,0.0,0.0,1.1520547239117187e-05,0.49629904410971565,0.06994947566808674,0.446016903119026,0.2991432189103857,0.2607196509968629,1.1520547239117187e-05,0,2866796,0,0,0,2877844,2866796,0
0.0,0.0,0.0,0.0,0.0,0.0004210492291918404,0.45998528611917977,0.36277064573921786,0.393462735007627,0.32747214877629355,0.5938437530520261,0.0004210492291918404,0,2866797,1,0,0,2877844,2866797,0
0.0029774561259797577,0.005411643347292809,0.0029167752788585525,0.0022912402284275255,0.0024648075801067754,0.004692246156105198,0.4680094922435284,0.37774454795925183,0.6023143890786467,0.35878753608806746,0.5236008733126187,0.004692246156105198,0,2866798,1,0,0,2877844,"2866798, 2866798",0
0.0,0.0,0.0,0.0,0.0,0.010647098016081385,0.4680094922435284,0.37774454795925183,0.6023143890786467,0.38159407873077833,0.5235893319560232,0.010647098016081385,0,2866799,1,0,0,2877844,"2866799, 2866798, 2866798",0
0.0,0.0,0.0,0.0,0.0,0.0024926299654741348,0.5085492935038043,0.38826758512031595,0.5544765854993718,0.3958703178583303,0.5265766717428881,0.0024926299654741348,0,2866800,1,0,0,2877844,"2866800, 2866800, 2866799",0
0.002150429899832735,0.0035228531216887475,0.0023886276826414077,0.0021277599262325116,0.00210135228973682,0.004597428745535615,0.5085492935038043,0.38826758512031595,0.5544765854993718,0.45849970474616325,0.5265765469714653,0.004597428745535615,0,2866802,1,0,0,2877844,"2866802, 2866803",0
0.019138826108511343,0.031353392783029885,0.021258786375508522,0.0189370633434694,0.018702035378657677,0.004882017362090976,0.5085492935038043,0.38826758512031595,0.5544765854993718,0.4830699086353055,0.5251562738674086,0.004882017362090976,0,2866803,1,0,0,2877844,"2866803, 2866802, 2866803, 2866804",0
0.0,0.0,0.0,0.0,0.0,0.006827947299877421,0.5126901837944348,0.3901823400673058,0.5109260526562,0.516668229168505,0.538720175223995,0.006827947299877421,0,2866804,1,0,0,2877844,2866804,0
0.023626948231027747,0.033152435605467184,0.02239472033665254,0.021005895045005555,0.019313880149949236,0.01041551576206409,0.5126901837944348,0.3901823400673058,0.5109260526562,0.5418286487061633,0.5333982373478737,0.01041551576206409,0,2866805,1,0,0,2877844,"2866805, 2865422, 2866804, 2866806",0
0.01389298038000932,0.019298514057172273,0.013111655504982287,0.012099435600777695,0.011290945909341732,0.003761701920242766,0.5126901837944348,0.3901823400673058,0.5109260526562,0.5645928593503774,0.5369219382878673,0.0037617019202427666,0,2866806,1,0,0,2877844,"2866806, 2866805, 2866806",0
0.001059160015556482,0.0013185263118004704,0.0009552719109096669,0.0007253807493885361,0.0008093352003774427,0.0004680493905140532,0.4937506775030219,0.3347946367428699,0.5086835798153351,0.5923323080389282,0.5567972460950679,0.0004680493905140532,0,2866807,1,0,0,2877844,2866807,0
0.0,0.0,0.0,0.0,0.0,0.00270142926542545,0.38683715502673793,0.3598891192415158,0.4908063195173358,0.21231518767081212,0.21368151089957926,0.00270142926542545,0,2868165,0,0,0,2877844,"2868165, 2868166, 2869548, 2869547, 2868165, 2869548, 2869547, 2869547",0
0.0,0.0,0.0,0.0,0.0,0.010658793527251954,0.38683715502673793,0.3598891192415158,0.4908063195173358,0.1978285761127363,0.21368332008520763,0.010658793527251954,0,2868166,0,0,0,2877844,"2868166, 2868167, 2869549, 2869548, 2868165, 2869548",0
0.0045950688585214144,0.0036530192673398095,0.004254267709155951,0.00426620285856083,0.004031560170372935,0.010388137971381356,0.3931444860323038,0.3649790927524585,0.5012184627639914,0.17346210685090402,0.5755151429928853,0.010388137971381356,0,2868169,1,0,0,2877844,"2868169, 2869551, 2868169, 2869552, 2869551, 2868170, 2868170",0
0.0040732971301739775,0.004358528216136483,0.0038619289548274998,0.003563362681513425,0.0034746682162328443,0.018614156435735572,0.3806354568656778,0.36475419943654896,0.527101748184645,0.17880612487741265,0.5704174193632708,0.018614156435735572,0,2868170,1,0,0,2877844,"2868170, 2869553, 2868170, 2868171, 2869553",0
