fid,neighbours
2875073,"2873690,2873691,2875072,2875074"
2875074,"2873691,2873692,2875073,2875075"
2875075,"2873692,2873693,2875074,2875076"
2875076,"2873693,2873694,2875075,2875077"
2875077,"2873694,2873695,2875076,2875078"
2875078,"2873695,2873696,2875077,2875079"
2875079,"2873696,2873697,2875078,2875080"
2875080,"2873697,2873698,2875079,2875081"
2875081,"2873698,2873699,2875080,2875082"
2875082,"2873699,2873700,2875081,2875083"
2875083,"2873700,2873701,2875082,2875084"
2875084,"2873701,2873702,2875083,2875085"
2875085,"2873702,2873703,2875084,2875086"
2875086,"2873703,2873704,2875085,2875087"
2875087,"2873704,2873705,2875086,2875088"
2875088,"2873705,2873706,2875087,2875089"
2875089,"2873706,2873707,2875088,2875090"
2875090,"2873707,2873708,2875089,2875091"
2875091,"2873708,2873709,2875090,2875092"
2875092,"2873709,2873710,2875091,2875093"
2875093,"2873710,2873711,2875092,2875094"
2875094,"2873711,2873712,2875093,2875095"
2875095,"2873712,2873713,2875094,2875096"
2875096,"2873713,2873714,2875095,2875097"
2875097,"2873714,2873715,2875096"
2876452,"2876453,2877834,2877835"
2876453,"2876452,2876454,2877835,2877836"
2876454,"2876453,2876455,2877836,2877837"
2876455,"2876454,2876456,2877837,2877838"
2876456,"2876455,2876457,2877838,2877839"
2876457,"2876456,2876458,2877839,2877840"
2876458,"2876457,2876459,2877840,2877841"
2876459,"2876458,2876460,2877841,2877842"
2876460,"2876459,2876461,2877842,2877843"
2876461,"2876460,2876462,2877843,2877844"
2876462,"2876461,2876463,2877844,2877845"
2876463,"2876462,2876464,2877845,2877846"
2876464,"2876463,2876465,2877846,2877847"
2876465,"2876464,2876466,2877847,2877848"
2876466,"2876465,2876467,2877848,2877849"
2876467,"2876466,2876468,2877849,2877850"
2876468,"2876467,2876469,2877850,2877851"
2876469,"2876468,2876470,2877851,2877852"
2876470,"2876469,2876471,2877852,2877853"
2876471,"2876470,2876472,2877853,2877854"
2876472,"2876471,2876473,2877854,2877855"
2876473,"2876472,2876474,2877855,2877856"
2876474,"2876473,2876475,2877856,2877857"
2876475,"2876474,2876476,2877857,2877858"
2876476,"2876475,2876477,2877858,2877859"
2876477,"2876476,2876478,2877859,2877860"
2876478,"2876477,2877860,2877861"
2877833,"2877834"
2877834,"2876452,2877833,2877835"
2877835,"2876452,2876453,2877834,2877836"
2877836,"2876453,2876454,2877835,2877837"
2877837,"2876454,2876455,2877836,2877838"
2877838,"2876455,2876456,2877837,2877839"
2877839,"2876456,2876457,2877838,2877840"
2877840,"2876457,2876458,2877839,2877841"
2877841,"2876458,2876459,2877840,2877842"
2877842,"2876459,2876460,2877841,2877843"
2877843,"2876460,2876461,2877842,2877844"
2877844,"2876461,2876462,2877843,2877845"
2877845,"2876462,2876463,2877844,2877846"
2877846,"2876463,2876464,2877845,2877847"
2877847,"2876464,2876465,2877846,2877848"
2877848,"2876465,2876466,2877847,2877849"
2877849,"2876466,2876467,2877848,2877850"
2877850,"2876467,2876468,2877849,2877851"
2877851,"2876468,2876469,2877850,2877852"
2877852,"2876469,2876470,2877851,2877853"
2877853,"2876470,2876471,2877852,2877854"
2877854,"2876471,2876472,2877853,2877855"
2877855,"2876472,2876473,2877854,2877856"
2877856,"2876473,2876474,2877855,2877857"
2877857,"2876474,2876475,2877856,2877858"
2877858,"2876475,2876476,2877857,2877859"
2877859,"2876476,2876477,2877858,2877860"
2877860,"2876477,2876478,2877859,2877861"
2877861,"2876478,2877860,2877862"
2877862,"2877861,2877863"
2877863,"2877862"
2879214,"2879215,2880596,2880597"
2879215,"2879214,2879216,2880597,2880598"
2879216,"2879215,2879217,2880598,2880599"
2879217,"2879216,2879218,2880599,2880600"
2879218,"2879217,2879219,2880600,2880601"
2879219,"2879218,2879220,2880601,2880602"
2879220,"2879219,2879221,2880602,2880603"
2879221,"2879220,2879222,2880603,2880604"
2879222,"2879221,2879223,2880604,2880605"
2879223,"2879222,2879224,2880605,2880606"
2879224,"2879223,2879225,2880606,2880607"
2879225,"2879224,2879226,2880607,2880608"
2879226,"2879225,2879227,2880608,2880609"
2879227,"2879226,2879228,2880609,2880610"
2879228,"2879227,2879229,2880610,2880611"
2879229,"2879228,2879230,2880611,2880612"
2879230,"2879229,2879231,2880612,2880613"
2879231,"2879230,2879232,2880613,2880614"
2879232,"2879231,2879233,2880614,2880615"
2879233,"2879232,2879234,2880615,2880616"
2879234,"2879233,2879235,2880616,2880617"
2879235,"2879234,2879236,2880617,2880618"
2879236,"2879235,2879237,2880618,2880619"
2879237,"2879236,2879238,2880619,2880620"
2879238,"2879237,2879239,2880620,2880621"
2879239,"2879238,2879240,2880621,2880622"
2879240,"2879239,2879241,2880622,2880623"
2879241,"2879240,2879242,2880623,2880624"
2879242,"2879241,2879243,2880624,2880625"
2879243,"2879242,2879244,2880625,2880626"
2879244,"2879243,2879245,2880626,2880627"
2879245,"2879244,2879246,2880627,2880628"
2879246,"2879245,2880628,2880629"
2879252,"2880635"
2880596,"2879214,2880597,2881978"
2880597,"2879214,2879215,2880596,2880598,2881978,2881979"
2880598,"2879215,2879216,2880597,2880599,2881979,2881980"
2880599,"2879216,2879217,2880598,2880600,2881980,2881981"
2880600,"2879217,2879218,2880599,2880601,2881981,2881982"
2880601,"2879218,2879219,2880600,2880602,2881982,2881983"
2880602,"2879219,2879220,2880601,2880603,2881983,2881984"
