fid,neighbours
2930339,"2930338,2930340,2931720,2931721"
2930340,"2930339,2930341,2931721,2931722"
2930341,"2930340,2930342,2931722,2931723"
2930342,"2930341,2930343,2931723,2931724"
2930343,"2930342,2930344,2931724,2931725"
2930344,"2930343,2930345,2931725,2931726"
2930345,"2930344,2930346,2931726,2931727"
2930346,"2930345,2930347,2931727,2931728"
2930347,"2930346,2930348,2931728,2931729"
2930348,"2930347,2930349,2931729,2931730"
2930349,"2930348,2930350,2931730,2931731"
2930350,"2930349,2930351,2931731,2931732"
2930351,"2930350,2930352,2931732,2931733"
2930352,"2930351,2930353,2931733,2931734"
2930353,"2930352,2930354,2931734,2931735"
2930354,"2930353,2930355,2931735,2931736"
2930355,"2930354,2930356,2931736,2931737"
2930356,"2930355,2931737,2931738"
2930357,"2930358"
2930358,"2930357,2931740"
2930367,"2930368,2931748,2931749"
2930368,"2930367,2930369,2931749,2931750"
2930369,"2930368,2930370,2931750,2931751"
2930370,"2930369,2930371,2931751,2931752"
2930371,"2930370,2930372,2931752,2931753"
2930372,"2930371,2930373,2931753,2931754"
2930373,"2930372,2930374,2931754,2931755"
2930374,"2930373,2930375,2931755,2931756"
2930375,"2930374,2930376,2931756,2931757"
2930376,"2930375,2930377,2931757,2931758"
2930377,"2930376,2930378,2931758,2931759"
2930378,"2930377,2930379,2931759,2931760"
2930379,"2930378,2930380,2931760,2931761"
2930380,"2930379,2930381,2931761,2931762"
2930381,"2930380,2930382,2931762,2931763"
2930382,"2930381,2930383,2931763,2931764"
2930383,"2930382,2930384,2931764,2931765"
2930384,"2930383,2930385,2931765,2931766"
2930385,"2930384,2930386,2931766,2931767"
2930386,"2930385,2930387,2931767,2931768"
2930387,"2930386,2930388,2931768,2931769"
2930388,"2930387,2930389,2931769,2931770"
2930389,"2930388,2930390,2931770,2931771"
2930390,"2930389,2930391,2931771,2931772"
2930391,"2930390,2930392,2931772,2931773"
2930392,"2930391"
2931642,"2931643"
2931643,"2930262,2931642,2931644"
2931644,"2930262,2930263,2931643,2931645"
2931645,"2930263,2930264,2931644,2931646"
2931646,"2930264,2930265,2931645,2931647"
2931647,"2930265,2930266,2931646,2931648"
2931648,"2930266,2930267,2931647,2931649"
2931649,"2930267,2930268,2931648,2931650"
2931650,"2930268,2930269,2931649,2931651"
2931651,"2930269,2930270,2931650,2931652"
2931652,"2930270,2930271,2931651,2931653"
2931653,"2930271,2930272,2931652,2931654"
2931654,"2931653"
2931698,"2930317,2931699"
2931699,"2930317,2930318,2931698,2931700"
2931700,"2930318,2930319,2931699,2931701"
2931701,"2930319,2930320,2931700,2931702"
2931702,"2930320,2930321,2931701,2931703"
2931703,"2930321,2930322,2931702,2931704"
2931704,"2930322,2930323,2931703,2931705"
2931705,"2930323,2930324,2931704,2931706"
2931706,"2930324,2930325,2931705,2931707"
2931707,"2930325,2930326,2931706,2931708"
2931708,"2930326,2930327,2931707,2931709"
2931709,"2930327,2930328,2931708,2931710"
2931710,"2930328,2930329,2931709,2931711"
2931711,"2930329,2930330,2931710,2931712"
2931712,"2930330,2930331,2931711,2931713"
2931713,"2930331,2930332,2931712,2931714"
2931714,"2930332,2930333,2931713,2931715"
2931715,"2930333,2930334,2931714,2931716"
2931716,"2930334,2930335,2931715,2931717"
2931717,"2930335,2930336,2931716,2931718"
2931718,"2930336,2930337,2931717,2931719"
2931719,"2930337,2930338,2931718,2931720"
2931720,"2930338,2930339,2931719,2931721"
2931721,"2930339,2930340,2931720,2931722"
2931722,"2930340,2930341,2931721,2931723"
2931723,"2930341,2930342,2931722,2931724"
2931724,"2930342,2930343,2931723,2931725"
2931725,"2930343,2930344,2931724,2931726"
2931726,"2930344,2930345,2931725,2931727"
2931727,"2930345,2930346,2931726,2931728"
2931728,"2930346,2930347,2931727,2931729"
2931729,"2930347,2930348,2931728,2931730"
2931730,"2930348,2930349,2931729,2931731"
2931731,"2930349,2930350,2931730,2931732"
2931732,"2930350,2930351,2931731,2931733"
2931733,"2930351,2930352,2931732,2931734"
2931734,"2930352,2930353,2931733,2931735"
2931735,"2930353,2930354,2931734,2931736"
2931736,"2930354,2930355,2931735,2931737"
2931737,"2930355,2930356,2931736,2931738"
2931738,"2930356,2931737,2931739"
2931739,"2931738"
2931740,"2930358"
2931748,"2930367,2931749"
2931749,"2930367,2930368,2931748,2931750"
2931750,"2930368,2930369,2931749,2931751"
2931751,"2930369,2930370,2931750,2931752"
2931752,"2930370,2930371,2931751,2931753"
2931753,"2930371,2930372,2931752,2931754"
2931754,"2930372,2930373,2931753,2931755"
2931755,"2930373,2930374,2931754,2931756"
2931756,"2930374,2930375,2931755,2931757"
2931757,"2930375,2930376,2931756,2931758"
2931758,"2930376,2930377,2931757,2931759"
2931759,"2930377,2930378,2931758,2931760"
2931760,"2930378,2930379,2931759,2931761"
2931761,"2930379,2930380,2931760,2931762"
2931762,"2930380,2930381,2931761,2931763"
2931763,"2930381,2930382,2931762,2931764"
2931764,"2930382,2930383,2931763,2931765"
2931765,"2930383,2930384,2931764,2931766"
2931766,"2930384,2930385,2931765,2931767"
2931767,"2930385,2930386,2931766,2931768"
2931768,"2930386,2930387,2931767,2931769"
2931769,"2930387,2930388,2931768,2931770"
2931770,"2930388,2930389,2931769,2931771"
2931771,"2930389,2930390,2931770,2931772"
2931772,"2930390,2930391,2931771,2931773"
2931773,"2930391,2931772"
2933025,"2933026,2934406,2934407"
2933026,"2933025,2933027,2934407,2934408"
2933027,"2933026,2933028,2934408,2934409"
2933028,"2933027,2933029,2934409,2934410"
2933029,"2933028,2933030,2934410,2934411"
2933030,"2933029,2933031,2934411,2934412"
2933031,"2933030,2933032,2934412,2934413"
2933032,"2933031,2933033,2934413,2934414"
2933033,"2933032,2933034,2934414,2934415"
2933034,"2933033,2933035,2934415,2934416"
2933035,"2933034,2933036,2934416,2934417"
2933036,"2933035,2933037,2934417,2934418"
2933037,"2933036,2933038,2934418,2934419"
2933038,"2933037,2934419"
2933078,"2934459,2934460"
2933079,"2933080,2934460,2934461"
2933080,"2933079,2933081,2934461,2934462"
2933081,"2933080,2933082,2934462,2934463"
2933082,"2933081,2933083,2934463,2934464"
2933083,"2933082,2933084,2934464,2934465"
2933084,"2933083,2933085,2934465,2934466"
2933085,"2933084,2933086,2934466,2934467"
2933086,"2933085,2933087,2934467,2934468"
2933087,"2933086,2933088,2934468,2934469"
2933088,"2933087,2933089,2934469,2934470"
2933089,"2933088,2933090,2934470,2934471"
2933090,"2933089,2933091,2934471,2934472"
2933091,"2933090,2933092,2934472,2934473"
2933092,"2933091,2933093,2934473,2934474"
2933093,"2933092,2933094,2934474,2934475"
2933094,"2933093,2933095,2934475,2934476"
2933095,"2933094,2933096,2934476,2934477"
2933096,"2933095,2933097,2934477,2934478"
2933097,"2933096,2933098,2934478,2934479"
2933098,"2933097,2933099,2934479,2934480"
2933099,"2933098,2933100,2934480,2934481"
2933100,"2933099,2933101,2934481,2934482"
2933101,"2933100,2933102,2934482,2934483"
2933102,"2933101,2933103,2934483,2934484"
2933103,"2933102,2933104,2934484,2934485"
2933104,"2933103,2933105,2934485,2934486"
2933105,"2933104,2933106,2934486,2934487"
2933106,"2933105,2933107,2934487,2934488"
2933107,"2933106,2933108,2934488,2934489"
2933108,"2933107,2933109,2934489,2934490"
2933109,"2933108,2933110,2934490,2934491"
2933110,"2933109,2933111,2934491,2934492"
2933111,"2933110,2933112,2934492,2934493"
2933112,"2933111,2933113,2934493,2934494"
2933113,"2933112,2933114,2934494,2934495"
2933114,"2933113,2933115,2934495,2934496"
2933115,"2933114,2933116,2934496,2934497"
2933116,"2933115,2933117,2934497,2934498"
2933117,"2933116,2933118,2934498,2934499"
2933118,"2933117,2933119,2934499,2934500"
2933119,"2933118,2933120,2934500,2934501"
2933120,"2933119,2933121,2934501,2934502"
2933121,"2933120,2933122,2934502,2934503"
2933122,"2933121,2934503,2934504"
2933123,"2934504"
2933129,"2933130,2934511"
2933130,"2933129,2933131,2934511,2934512"
2933131,"2933130,2933132,2934512,2934513"
2933132,"2933131,2933133,2934513,2934514"
2933133,"2933132,2933134,2934514,2934515"
2933134,"2933133,2933135,2934515,2934516"
2933135,"2933134,2933136,2934516,2934517"
2933136,"2933135,2933137,2934517,2934518"
2933137,"2933136,2933138,2934518,2934519"
2933138,"2933137,2933139,2934519,2934520"
2933139,"2933138,2933140,2934520,2934521"
2933140,"2933139,2933141,2934521,2934522"
2933141,"2933140,2933142,2934522,2934523"
2933142,"2933141,2933143,2934523,2934524"
2933143,"2933142,2933144,2934524,2934525"
2933144,"2933143,2933145,2934525,2934526"
2933145,"2933144,2933146,2934526,2934527"
2933146,"2933145,2933147,2934527,2934528"
2933147,"2933146,2933148,2934528,2934529"
2933148,"2933147,2933149,2934529,2934530"
2933149,"2933148,2933150,2934530,2934531"
2933150,"2933149,2933151,2934531,2934532"
2933151,"2933150,2933152,2934532,2934533"
2933152,"2933151,2933153,2934533,2934534"
2933153,"2933152,2933154,2934534,2934535"
2933154,"2933153,2933155,2934535,2934536"
2933155,"2933154,2934536,2934537"
2934399,"2934400"
2934400,"2934399,2934401"
2934401,"2934400"
2934406,"2933025,2934407"
2934407,"2933025,2933026,2934406,2934408"
2934408,"2933026,2933027,2934407,2934409"
2934409,"2933027,2933028,2934408,2934410"
2934410,"2933028,2933029,2934409,2934411"
2934411,"2933029,2933030,2934410,2934412"
2934412,"2933030,2933031,2934411,2934413"
2934413,"2933031,2933032,2934412,2934414"
2934414,"2933032,2933033,2934413,2934415"
2934415,"2933033,2933034,2934414,2934416"
2934416,"2933034,2933035,2934415,2934417"
2934417,"2933035,2933036,2934416,2934418"
2934418,"2933036,2933037,2934417,2934419"
2934419,"2933037,2933038,2934418,2934420"
2934420,"2934419"
2934438,"2934439"
2934439,"2934438"
2934458,"2934459"
2934459,"2933078,2934458,2934460"
2934460,"2933078,2933079,2934459,2934461"
2934461,"2933079,2933080,2934460,2934462"
2934462,"2933080,2933081,2934461,2934463"
2934463,"2933081,2933082,2934462,2934464"
2934464,"2933082,2933083,2934463,2934465"
2934465,"2933083,2933084,2934464,2934466"
2934466,"2933084,2933085,2934465,2934467"
2934467,"2933085,2933086,2934466,2934468"
2934468,"2933086,2933087,2934467,2934469"
2934469,"2933087,2933088,2934468,2934470"
2934470,"2933088,2933089,2934469,2934471"
2934471,"2933089,2933090,2934470,2934472"
2934472,"2933090,2933091,2934471,2934473"
2934473,"2933091,2933092,2934472,2934474"
2934474,"2933092,2933093,2934473,2934475"
2934475,"2933093,2933094,2934474,2934476"
2934476,"2933094,2933095,2934475,2934477"
2934477,"2933095,2933096,2934476,2934478"
2934478,"2933096,2933097,2934477,2934479"
2934479,"2933097,2933098,2934478,2934480"
2934480,"2933098,2933099,2934479,2934481"
2934481,"2933099,2933100,2934480,2934482"
2934482,"2933100,2933101,2934481,2934483"
2934483,"2933101,2933102,2934482,2934484"
2934484,"2933102,2933103,2934483,2934485"
2934485,"2933103,2933104,2934484,2934486"
2934486,"2933104,2933105,2934485,2934487"
2934487,"2933105,2933106,2934486,2934488"
2934488,"2933106,2933107,2934487,2934489"
2934489,"2933107,2933108,2934488,2934490"
2934490,"2933108,2933109,2934489,2934491"
2934491,"2933109,2933110,2934490,2934492"
2934492,"2933110,2933111,2934491,2934493"
2934493,"2933111,2933112,2934492,2934494"
2934494,"2933112,2933113,2934493,2934495"
2934495,"2933113,2933114,2934494,2934496"
2934496,"2933114,2933115,2934495,2934497"
2934497,"2933115,2933116,2934496,2934498"
2934498,"2933116,2933117,2934497,2934499"
2934499,"2933117,2933118,2934498,2934500"
2934500,"2933118,2933119,2934499,2934501"
2934501,"2933119,2933120,2934500,2934502"
2934502,"2933120,2933121,2934501,2934503"
2934503,"2933121,2933122,2934502,2934504"
2934504,"2933122,2933123,2934503,2934505"
2934505,"2934504,2934506"
2934506,"2934505"
2934510,"2934511"
2934511,"2933129,2933130,2934510,2934512"
2934512,"2933130,2933131,2934511,2934513"
2934513,"2933131,2933132,2934512,2934514"
2934514,"2933132,2933133,2934513,2934515"
2934515,"2933133,2933134,2934514,2934516"
2934516,"2933134,2933135,2934515,2934517"
2934517,"2933135,2933136,2934516,2934518"
2934518,"2933136,2933137,2934517,2934519"
2934519,"2933137,2933138,2934518,2934520"
2934520,"2933138,2933139,2934519,2934521"
2934521,"2933139,2933140,2934520,2934522"
2934522,"2933140,2933141,2934521,2934523"
2934523,"2933141,2933142,2934522,2934524"
2934524,"2933142,2933143,2934523,2934525"
2934525,"2933143,2933144,2934524,2934526"
2934526,"2933144,2933145,2934525,2934527"
2934527,"2933145,2933146,2934526,2934528"
2934528,"2933146,2933147,2934527,2934529"
2934529,"2933147,2933148,2934528,2934530"
2934530,"2933148,2933149,2934529,2934531"
2934531,"2933149,2933150,2934530,2934532"
2934532,"2933150,2933151,2934531,2934533"
2934533,"2933151,2933152,2934532,2934534"
2934534,"2933152,2933153,2934533,2934535"
2934535,"2933153,2933154,2934534,2934536"
2934536,"2933154,2933155,2934535,2934537"
2934537,"2933155,2934536"
2935781,"2935782,2937162,2937163"
2935782,"2935781,2935783,2937163,2937164"
2935783,"2935782,2937164,2937165"
2935784,"2935785,2937165,2937166"
2935785,"2935784,2937166"
2935787,"2935788,2937168,2937169"
2935788,"2935787,2935789,2937169,2937170"
2935789,"2935788,2935790,2937170,2937171"
2935790,"2935789,2935791,2937171,2937172"
2935791,"2935790,2935792,2937172,2937173"
2935792,"2935791,2935793,2937173,2937174"
2935793,"2935792,2935794,2937174,2937175"
2935794,"2935793,2935795,2937175,2937176"
2935795,"2935794,2935796,2937176,2937177"
2935796,"2935795,2935797,2937177,2937178"
2935797,"2935796,2935798,2937178,2937179"
2935798,"2935797,2935799,2937179,2937180"
2935799,"2935798,2935800,2937180,2937181"
2935800,"2935799,2935801,2937181,2937182"
2935801,"2935800,2935802,2937182,2937183"
2935802,"2935801,2937183,2937184"
2935813,"2937194,2937195"
2935814,"2935815,2937195,2937196"
2935815,"2935814,2935816,2937196,2937197"
2935816,"2935815,2937197,2937198"
2935817,"2935818,2937198,2937199"
2935818,"2935817,2935819,2937199,2937200"
2935819,"2935818,2935820,2937200,2937201"
2935820,"2935819,2935821,2937201,2937202"
2935821,"2935820,2935822,2937202,2937203"
2935822,"2935821,2935823,2937203,2937204"
2935823,"2935822,2935824,2937204,2937205"
2935824,"2935823,2937205,2937206"
2935825,"2937206,2937207"
2935839,"2935840,2937220,2937221"
2935840,"2935839,2935841,2937221,2937222"
2935841,"2935840,2935842,2937222,2937223"
2935842,"2935841,2935843,2937223,2937224"
2935843,"2935842,2935844,2937224,2937225"
2935844,"2935843,2935845,2937225,2937226"
2935845,"2935844,2935846,2937226,2937227"
2935846,"2935845,2935847,2937227,2937228"
2935847,"2935846,2935848,2937228,2937229"
2935848,"2935847,2935849,2937229,2937230"
2935849,"2935848,2935850,2937230,2937231"
2935850,"2935849,2935851,2937231,2937232"
2935851,"2935850,2935852,2937232,2937233"
2935852,"2935851,2935853,2937233,2937234"
2935853,"2935852,2935854,2937234,2937235"
2935854,"2935853,2935855,2937235,2937236"
2935855,"2935854,2935856,2937236,2937237"
2935856,"2935855,2935857,2937237,2937238"
2935857,"2935856,2935858,2937238,2937239"
2935858,"2935857,2935859,2937239,2937240"
2935859,"2935858,2935860,2937240,2937241"
2935860,"2935859,2935861,2937241,2937242"
2935861,"2935860,2935862,2937242,2937243"
2935862,"2935861,2935863,2937243,2937244"
2935863,"2935862,2935864,2937244,2937245"
2935864,"2935863,2935865,2937245,2937246"
2935865,"2935864,2935866,2937246,2937247"
2935866,"2935865,2935867,2937247,2937248"
2935867,"2935866,2935868,2937248,2937249"
2935868,"2935867,2935869,2937249,2937250"
2935869,"2935868,2935870,2937250,2937251"
2935870,"2935869,2935871,2937251,2937252"
2935871,"2935870,2935872,2937252,2937253"
2935872,"2935871,2935873,2937253,2937254"
2935873,"2935872,2935874,2937254,2937255"
2935874,"2935873,2935875,2937255,2937256"
2935875,"2935874,2935876,2937256,2937257"
2935876,"2935875,2935877,2937257,2937258"
2935877,"2935876,2935878,2937258,2937259"
2935878,"2935877,2935879,2937259,2937260"
2935879,"2935878,2935880,2937260,2937261"
2935880,"2935879,2935881,2937261,2937262"
2935881,"2935880,2935882,2937262,2937263"
2935882,"2935881,2935883,2937263,2937264"
2935883,"2935882,2935884,2937264,2937265"
2935884,"2935883,2935885,2937265,2937266"
2935885,"2935884,2935886,2937266,2937267"
2935886,"2935885,2935887,2937267,2937268"
2935887,"2935886,2935888,2937268,2937269"
2935888,"2935887,2935889,2937269,2937270"
2935889,"2935888,2935890,2937270,2937271"
2935890,"2935889,2935891,2937271,2937272"
2935891,"2935890,2935892,2937272,2937273"
2935892,"2935891,2935893,2937273,2937274"
2935893,"2935892,2935894,2937274,2937275"
2935894,"2935893,2935895,2937275,2937276"
2935895,"2935894,2935896,2937276,2937277"
2935896,"2935895,2935897,2937277,2937278"
2935897,"2935896,2935898,2937278,2937279"
2935898,"2935897,2935899,2937279,2937280"
2935899,"2935898,2935900,2937280,2937281"
2935900,"2935899,2935901,2937281,2937282"
2935901,"2935900,2935902,2937282,2937283"
2935902,"2935901,2935903,2937283,2937284"
2935903,"2935902,2935904,2937284,2937285"
2935904,"2935903,2935905,2937285,2937286"
2935905,"2935904,2935906,2937286,2937287"
2935906,"2935905,2935907,2937287,2937288"
2935907,"2935906,2935908,2937288,2937289"
2935908,"2935907,2935909,2937289,2937290"
2935909,"2935908,2935910,2937290,2937291"
2935910,"2935909,2935911,2937291,2937292"
2935911,"2935910,2935912,2937292,2937293"
2935912,"2935911,2935913,2937293,2937294"
2935913,"2935912,2935914,2937294,2937295"
2935914,"2935913,2935915,2937295,2937296"
2935915,"2935914,2935916,2937296,2937297"
2935916,"2935915,2935917,2937297,2937298"
2935917,"2935916,2935918,2937298,2937299"
2935918,"2935917,2935919,2937299,2937300"
2935919,"2935918,2937300,2937301"
2937155,"2937156"
2937156,"2937155"
2937162,"2935781,2937163"
2937163,"2935781,2935782,2937162,2937164"
2937164,"2935782,2935783,2937163,2937165"
2937165,"2935783,2935784,2937164,2937166"
2937166,"2935784,2935785,2937165,2937167"
2937167,"2937166,2937168"
2937168,"2935787,2937167,2937169"
2937169,"2935787,2935788,2937168,2937170"
2937170,"2935788,2935789,2937169,2937171"
2937171,"2935789,2935790,2937170,2937172"
2937172,"2935790,2935791,2937171,2937173"
2937173,"2935791,2935792,2937172,2937174"
2937174,"2935792,2935793,2937173,2937175"
2937175,"2935793,2935794,2937174,2937176"
2937176,"2935794,2935795,2937175,2937177"
2937177,"2935795,2935796,2937176,2937178"
2937178,"2935796,2935797,2937177,2937179"
2937179,"2935797,2935798,2937178,2937180"
2937180,"2935798,2935799,2937179,2937181"
2937181,"2935799,2935800,2937180,2937182"
2937182,"2935800,2935801,2937181,2937183"
2937183,"2935801,2935802,2937182,2937184"
2937184,"2935802,2937183,2937185"
2937185,"2937184,2937186"
2937186,"2937185,2937187"
2937187,"2937186"
2937194,"2935813,2937195"
2937195,"2935813,2935814,2937194,2937196"
2937196,"2935814,2935815,2937195,2937197"
2937197,"2935815,2935816,2937196,2937198"
2937198,"2935816,2935817,2937197,2937199"
2937199,"2935817,2935818,2937198,2937200"
2937200,"2935818,2935819,2937199,2937201"
2937201,"2935819,2935820,2937200,2937202"
2937202,"2935820,2935821,2937201,2937203"
2937203,"2935821,2935822,2937202,2937204"
2937204,"2935822,2935823,2937203,2937205"
2937205,"2935823,2935824,2937204,2937206"
2937206,"2935824,2935825,2937205,2937207"
2937207,"2935825,2937206,2937208"
2937208,"2937207,2937209"
2937209,"2937208,2937210"
2937210,"2937209,2937211"
2937211,"2937210,2937212"
2937212,"2937211"
2937219,"2937220"
2937220,"2935839,2937219,2937221"
2937221,"2935839,2935840,2937220,2937222"
2937222,"2935840,2935841,2937221,2937223"
2937223,"2935841,2935842,2937222,2937224"
2937224,"2935842,2935843,2937223,2937225"
2937225,"2935843,2935844,2937224,2937226"
2937226,"2935844,2935845,2937225,2937227"
2937227,"2935845,2935846,2937226,2937228"
2937228,"2935846,2935847,2937227,2937229"
2937229,"2935847,2935848,2937228,2937230"
2937230,"2935848,2935849,2937229,2937231"
2937231,"2935849,2935850,2937230,2937232"
2937232,"2935850,2935851,2937231,2937233"
2937233,"2935851,2935852,2937232,2937234"
2937234,"2935852,2935853,2937233,2937235"
2937235,"2935853,2935854,2937234,2937236"
2937236,"2935854,2935855,2937235,2937237"
2937237,"2935855,2935856,2937236,2937238"
2937238,"2935856,2935857,2937237,2937239"
2937239,"2935857,2935858,2937238,2937240"
2937240,"2935858,2935859,2937239,2937241"
2937241,"2935859,2935860,2937240,2937242"
2937242,"2935860,2935861,2937241,2937243"
2937243,"2935861,2935862,2937242,2937244"
2937244,"2935862,2935863,2937243,2937245"
2937245,"2935863,2935864,2937244,2937246"
2937246,"2935864,2935865,2937245,2937247"
2937247,"2935865,2935866,2937246,2937248"
2937248,"2935866,2935867,2937247,2937249"
2937249,"2935867,2935868,2937248,2937250"
2937250,"2935868,2935869,2937249,2937251"
2937251,"2935869,2935870,2937250,2937252"
2937252,"2935870,2935871,2937251,2937253"
2937253,"2935871,2935872,2937252,2937254"
2937254,"2935872,2935873,2937253,2937255"
2937255,"2935873,2935874,2937254,2937256"
2937256,"2935874,2935875,2937255,2937257"
2937257,"2935875,2935876,2937256,2937258"
2937258,"2935876,2935877,2937257,2937259"
2937259,"2935877,2935878,2937258,2937260"
2937260,"2935878,2935879,2937259,2937261"
2937261,"2935879,2935880,2937260,2937262"
2937262,"2935880,2935881,2937261,2937263"
2937263,"2935881,2935882,2937262,2937264"
2937264,"2935882,2935883,2937263,2937265"
2937265,"2935883,2935884,2937264,2937266"
2937266,"2935884,2935885,2937265,2937267"
2937267,"2935885,2935886,2937266,2937268"
2937268,"2935886,2935887,2937267,2937269"
2937269,"2935887,2935888,2937268,2937270"
2937270,"2935888,2935889,2937269,2937271"
2937271,"2935889,2935890,2937270,2937272"
2937272,"2935890,2935891,2937271,2937273"
2937273,"2935891,2935892,2937272,2937274"
2937274,"2935892,2935893,2937273,2937275"
2937275,"2935893,2935894,2937274,2937276"
2937276,"2935894,2935895,2937275,2937277"
2937277,"2935895,2935896,2937276,2937278"
2937278,"2935896,2935897,2937277,2937279"
2937279,"2935897,2935898,2937278,2937280"
2937280,"2935898,2935899,2937279,2937281"
2937281,"2935899,2935900,2937280,2937282"
2937282,"2935900,2935901,2937281,2937283"
2937283,"2935901,2935902,2937282,2937284"
2937284,"2935902,2935903,2937283,2937285"
2937285,"2935903,2935904,2937284,2937286"
2937286,"2935904,2935905,2937285,2937287"
2937287,"2935905,2935906,2937286,2937288"
2937288,"2935906,2935907,2937287,2937289"
2937289,"2935907,2935908,2937288,2937290"
2937290,"2935908,2935909,2937289,2937291"
2937291,"2935909,2935910,2937290,2937292"
2937292,"2935910,2935911,2937291,2937293"
2937293,"2935911,2935912,2937292,2937294"
2937294,"2935912,2935913,2937293,2937295"
2937295,"2935913,2935914,2937294,2937296"
2937296,"2935914,2935915,2937295,2937297"
2937297,"2935915,2935916,2937296,2937298"
2937298,"2935916,2935917,2937297,2937299"
2937299,"2935917,2935918,2937298,2937300"
2937300,"2935918,2935919,2937299,2937301"
2937301,"2935919,2937300"
2938537,"2938538,2939918,2939919"
2938538,"2938537,2938539,2939919,2939920"
2938539,"2938538,2938540,2939920,2939921"
2938540,"2938539,2938541,2939921,2939922"
2938541,"2938540,2938542,2939922,2939923"
2938542,"2938541,2938543,2939923,2939924"
2938543,"2938542,2938544,2939924,2939925"
2938544,"2938543,2938545,2939925,2939926"
2938545,"2938544,2938546,2939926,2939927"
2938546,"2938545,2938547,2939927,2939928"
2938547,"2938546,2938548,2939928,2939929"
2938548,"2938547,2938549,2939929,2939930"
2938549,"2938548,2938550,2939930,2939931"
2938550,"2938549,2938551,2939931,2939932"
2938551,"2938550,2938552,2939932,2939933"
2938552,"2938551,2938553,2939933,2939934"
2938553,"2938552,2938554,2939934,2939935"
2938554,"2938553,2938555,2939935,2939936"
2938555,"2938554,2938556,2939936,2939937"
2938556,"2938555,2938557,2939937,2939938"
2938557,"2938556,2938558,2939938,2939939"
2938558,"2938557,2938559,2939939,2939940"
2938559,"2938558,2938560,2939940,2939941"
2938560,"2938559,2938561,2939941,2939942"
2938561,"2938560,2938562,2939942,2939943"
2938562,"2938561,2938563,2939943,2939944"
2938563,"2938562,2938564,2939944,2939945"
2938564,"2938563,2938565,2939945,2939946"
2938565,"2938564,2938566,2939946,2939947"
2938566,"2938565,2938567,2939947,2939948"
2938567,"2938566,2938568,2939948,2939949"
2938568,"2938567,2938569,2939949,2939950"
2938569,"2938568,2938570,2939950,2939951"
2938570,"2938569,2938571,2939951,2939952"
2938571,"2938570,2939952,2939953"
2938574,"2938575,2939955,2939956"
2938575,"2938574,2939956,2939957"
2938576,"2938577,2939957,2939958"
2938577,"2938576,2938578,2939958,2939959"
2938578,"2938577,2938579,2939959,2939960"
2938579,"2938578,2938580,2939960,2939961"
2938580,"2938579,2938581,2939961,2939962"
2938581,"2938580,2938582,2939962,2939963"
2938582,"2938581,2938583,2939963,2939964"
2938583,"2938582,2938584,2939964,2939965"
2938584,"2938583,2938585,2939965,2939966"
2938585,"2938584,2938586,2939966,2939967"
2938586,"2938585,2938587,2939967,2939968"
2938587,"2938586,2938588,2939968,2939969"
2938588,"2938587,2938589,2939969,2939970"
2938589,"2938588,2938590,2939970,2939971"
2938590,"2938589,2938591,2939971,2939972"
2938591,"2938590,2938592,2939972,2939973"
2938592,"2938591,2938593,2939973,2939974"
2938593,"2938592,2938594,2939974,2939975"
2938594,"2938593,2938595,2939975,2939976"
2938595,"2938594,2938596,2939976,2939977"
2938596,"2938595,2938597,2939977,2939978"
2938597,"2938596,2938598,2939978,2939979"
2938598,"2938597,2938599,2939979,2939980"
2938599,"2938598,2938600,2939980,2939981"
2938600,"2938599,2938601,2939981,2939982"
2938601,"2938600,2938602,2939982,2939983"
2938602,"2938601,2938603,2939983,2939984"
2938603,"2938602,2938604,2939984,2939985"
2938604,"2938603,2938605,2939985,2939986"
2938605,"2938604,2938606,2939986,2939987"
2938606,"2938605,2938607,2939987,2939988"
2938607,"2938606,2938608,2939988,2939989"
2938608,"2938607,2938609,2939989,2939990"
2938609,"2938608,2938610,2939990,2939991"
2938610,"2938609,2938611,2939991,2939992"
2938611,"2938610,2938612,2939992,2939993"
2938612,"2938611,2938613,2939993,2939994"
2938613,"2938612,2938614,2939994,2939995"
2938614,"2938613,2938615,2939995,2939996"
2938615,"2938614,2938616,2939996,2939997"
2938616,"2938615,2938617,2939997,2939998"
2938617,"2938616,2938618,2939998,2939999"
2938618,"2938617,2938619,2939999,2940000"
2938619,"2938618,2938620,2940000,2940001"
2938620,"2938619,2938621,2940001,2940002"
2938621,"2938620,2938622,2940002,2940003"
2938622,"2938621,2938623,2940003,2940004"
2938623,"2938622,2938624,2940004,2940005"
2938624,"2938623,2938625,2940005,2940006"
2938625,"2938624,2938626,2940006,2940007"
2938626,"2938625,2938627,2940007,2940008"
2938627,"2938626,2938628,2940008,2940009"
2938628,"2938627,2938629,2940009,2940010"
2938629,"2938628,2938630,2940010,2940011"
2938630,"2938629,2938631,2940011,2940012"
2938631,"2938630,2938632,2940012,2940013"
2938632,"2938631,2938633,2940013,2940014"
2938633,"2938632,2938634,2940014,2940015"
2938634,"2938633,2938635,2940015,2940016"
2938635,"2938634,2938636,2940016,2940017"
2938636,"2938635,2938637,2940017,2940018"
2938637,"2938636,2938638,2940018,2940019"
2938638,"2938637,2938639,2940019,2940020"
2938639,"2938638,2938640,2940020"
2938640,"2938639,2938641"
2938641,"2938640,2938642,2940022,2940023"
2938642,"2938641,2938643,2940023,2940024"
