,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,Neighbors,HCFAI,Cluster
0,2865422,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,0.0,0.0,0.0,0.0,0.0,31.2316575050354,0.934143909,1.178482135,1.166831299,1.0,0,0,0,2877844,29.847533600035867,"2865422, 2866804",0.50619036,0.0
1,2866789,Macaboboni,Agno,Pangasinan,1.147061105118151,0.556494785515981,4.096105519156659,1.518057628795471,2.013981451841583,130.43230658769608,0.734486955,1.099466392,1.180280558,1.0,0,0,0,2877844,11.042224031198351,"2866789, 2866790",0.51470697,0.0
2,2866790,Macaboboni,Agno,Pangasinan,0.0,0.0,0.0,0.0,0.0,216.66677069664,0.734486955,1.099466392,1.180280558,0.0,0,0,0,2877844,11.392127279125944,"2866790, 2866791",0.39782283,0.0
3,2866791,Macaboboni,Agno,Pangasinan,0.0,0.0,0.0,0.0,0.0,326.1847776770592,0.734486955,1.099466392,1.180280558,0.0,0,0,0,2877844,12.12282163104372,2866791,0.39783084,0.0
4,2866795,Aloleng,Agno,Pangasinan,8.135755,5.317485,31.90492,11.08696,14.91555,57.582953691482544,1.089601628,1.154037078,1.221724545,0.0,0,0,1,2877844,15.836810750001856,2866795,0.42140958,0.0
5,2866796,Magsaysay,Agno,Pangasinan,0.0,0.0,0.0,0.0,0.0,0.308994175717419,0.904484395,0.270884752,1.119130326,0.0,0,0,0,2877844,16.68526201572184,2866796,0.4170609,0.0
6,2866797,Tupa,Agno,Pangasinan,0.0,0.0,0.0,0.0,0.0,11.29301905632019,0.838775211,1.100792476,1.080508884,1.0,0,0,0,2877844,18.265360067616104,2866797,0.5238559,0.0
7,2866798,Gayusan,Agno,Pangasinan,9.16923,11.696181,41.51422099999999,12.851356,18.194057,125.8513769507408,0.853294888,1.143231201,1.233991516,1.0,0,0,0,2877844,20.012033264233963,"2866798, 2866798",0.501337,0.0
8,2866799,Gayusan,Agno,Pangasinan,0.0,0.0,0.0,0.0,0.0,285.56727445125574,0.853294888,1.143231201,1.233991516,1.0,0,0,0,2877844,21.28411003419197,"2866799, 2866798, 2866798",0.5013333,0.0
9,2866800,Baruan,Agno,Pangasinan,0.0,0.0,0.0,0.0,0.0,66.8551697731018,0.926651032,1.173055376,1.198836075,1.0,0,0,0,2877844,22.08039347096833,"2866800, 2866800, 2866799",0.502291,0.0
10,2866802,Baruan,Agno,Pangasinan,6.62236,7.61394,33.99714,11.93441,15.511200000000002,123.30826619267464,0.926651032,1.173055376,1.198836075,1.0,0,0,0,2877844,25.573662460697804,"2866802, 2866803",0.50229096,0.0
11,2866803,Baruan,Agno,Pangasinan,58.93900400000001,67.76406600000007,302.5745459999999,106.21624900000025,138.04967999999985,130.94125646352768,0.926651032,1.173055376,1.198836075,1.0,0,0,0,2877844,26.94411067330749,"2866803, 2866802, 2866803, 2866804",0.50183564,0.0
12,2866804,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,0.0,0.0,0.0,0.0,0.0,183.13330990076065,0.934143909,1.178482135,1.166831299,1.0,0,0,0,2877844,28.81811865993873,2866804,0.50618404,0.0
13,2866805,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,72.760408,71.65233599999995,318.74219999999974,117.82013600000012,142.56603199999995,279.35597509145737,0.934143909,1.178482135,1.166831299,1.0,0,0,0,2877844,30.22148723349506,"2866805, 2865422, 2866804, 2866806",0.5044779,0.0
14,2866806,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,42.78415099999996,41.709865000000015,186.61710699999995,67.86462300000005,83.34448300000001,100.89312252402304,0.934143909,1.178482135,1.166831299,1.0,0,0,0,2877844,31.49120285855016,"2866806, 2866805, 2866806",0.50560755,0.0
15,2866807,Tambobong,Dasol,Pangasinan,3.261738,2.84973,13.596306000000002,4.068594,5.974134000000002,12.5536168217659,0.899873165,1.021503448,1.165183332,1.0,0,0,0,2877844,33.03842151597457,2866807,0.5119793,0.0
