,ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI,Cluster
0,3428519,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,68.8937534610476,0.18156299998457,0.0829999999929463,2.3110389998036,1.18534799989926,0.60175199994886,0.472063999959882,0.5282134,1
1,3429892,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.01117023671138,1.24366,0.205204,7.772888,3.768296,1.719364,1.660288,0.52289075,0
2,3429893,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.288138368126106,7.151045,1.179923,44.694106,21.667702,9.886343,9.546656,0.5228906,0
3,3429894,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.92033497786777,3.10915,0.51301,19.43222,9.42074,4.29841,4.15072,0.52289075,0
4,3429897,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,64.35555003708043,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
5,3429898,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,65.4786058253917,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
6,3429899,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,66.67042157676129,1.089378,0.498,13.866234,7.112088,3.610512,2.832384,0.5214309,0
7,3429900,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,67.83701015745281,12.890973,5.89300000000001,164.083769,84.159708,42.724392,33.516544,0.5198943,0
8,3429901,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,68.4266628786496,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
9,3431272,Malongon,Magsaysay,Davao del Sur,0.192069197,0.719005346,1.192776468,1.0,0,0,0,3481009,56.79509143302639,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
10,3431273,Tacul,Magsaysay,Davao del Sur,0.218167128,0.714077473,1.188038386,1.0,0,0,0,3481009,57.86464832314815,0.795725,0.190975,5.936125,2.705475,1.36865,1.25725,0.52132815,0
11,3431274,Tacul,Magsaysay,Davao del Sur,0.218167128,0.714077473,1.188038386,1.0,0,0,0,3481009,58.25069752201666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
12,3431275,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,60.09621555061549,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
13,3431276,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,60.64462617961427,3.73098,0.615612,23.318664,11.304888,5.158092,4.980864,0.52289075,0
14,3431277,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.2586895130085,15.158339,3.394664,106.283884,51.245698,24.477467,23.888669,0.52270937,0
15,3431278,Tagaytay,Magsaysay,Davao del Sur,0.231853794,0.688116367,1.174662488,1.0,0,0,0,3481009,62.006264826867415,2.850876,1.066086,25.514076,12.182072,6.288688,6.240766,0.5242763,0
16,3431279,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,63.1675572895628,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
17,3431280,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,64.24376519415804,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
18,3431281,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,65.26171617580991,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
19,3431282,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,66.26917752231789,3.63126,1.66,46.22078,23.70696,12.03504,9.44128,0.5214307,0
20,3431283,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,67.30179757849204,3.63126,1.66,46.22078,23.70696,12.03504,9.44128,0.52821296,1
21,3431284,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,1,0,3481009,68.24807469950564,2.140404,0.430182,13.79721,6.893358,3.347004,3.000762,0.5966208,1
22,3431285,Colonsabak,Matanao,Davao del Sur,0.112598605,0.667534174,1.043517024,1.0,0,0,0,3481009,69.26852174736469,1.070202,0.215091,6.898605,3.446679,1.673502,1.500381,0.5410533,1
23,3431286,Colonsabak,Matanao,Davao del Sur,0.112598605,0.667534174,1.043517024,1.0,0,0,0,3481009,70.33270700148846,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
24,3431287,Colonsabak,Matanao,Davao del Sur,0.112598605,0.667534174,1.043517024,1.0,0,0,0,3481009,71.26586607350569,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
25,3432653,Malongon,Magsaysay,Davao del Sur,0.192069197,0.719005346,1.192776468,1.0,0,0,0,3481009,56.0348624520752,0.988012,0.395204,7.669452,3.519796,1.790772,1.729024,0.521205,0
26,3432654,Malongon,Magsaysay,Davao del Sur,0.192069197,0.719005346,1.192776468,1.0,0,0,1,3481009,56.44052234701268,32.1635439999999,11.592248,247.262824,113.289752,57.5604140000001,54.9335879999999,0.5597743,1
27,3432655,Tacul,Magsaysay,Davao del Sur,0.218167128,0.714077473,1.188038386,1.0,0,0,1,3481009,57.364607806365626,54.3685900000002,12.861978,402.581126000002,183.933562000001,92.6747080000001,85.2932760000001,0.54650456,1
28,3432656,Tacul,Magsaysay,Davao del Sur,0.218167128,0.714077473,1.188038386,1.0,0,0,0,3481009,57.860552399166494,16.478495,2.718953,102.990766,49.929922,22.781573,21.998816,0.5212298,0
29,3432657,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,58.99888485098501,17.722155,2.924157,110.763654,53.698218,24.500937,23.659104,0.5227109,0
30,3432658,Balnate,Magsaysay,Davao del Sur,0.220038805,0.705771526,1.184820888,1.0,0,0,0,3481009,59.86310519774943,10.57111,1.744234,66.069548,32.030516,14.614594,14.112448,0.5222379,0
31,3432659,Tagaytay,Magsaysay,Davao del Sur,0.231853794,0.688116367,1.174662488,1.0,0,0,0,3481009,60.75961554678252,30.981366,6.35140199999999,216.965222,104.235587,50.2036079999999,47.5551849999999,0.52136487,0
32,3432660,Tagaytay,Magsaysay,Davao del Sur,0.231853794,0.688116367,1.174662488,1.0,0,0,0,3481009,61.68700094719843,4.31024,1.52516,54.67376,24.93308,15.01952,11.73712,0.5242757,0
33,3432661,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,62.64389018369714,2.6939,0.953225,34.1711,15.583175,9.3872,7.3357,0.5214309,0
34,3432662,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,63.62895218280755,0.142761700149867,0.0505156173671469,1.81087803258886,0.825821506638296,0.497469331321442,0.388751254237121,0.5214309,0
35,3432663,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,64.64089898423934,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
36,3432664,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,65.67848791038853,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
37,3432665,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,66.74052302774237,2.497138,0.501879,16.096745,8.042251,3.904838,3.500889,0.5282134,1
38,3432666,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,1,1,3481009,67.82585599145581,5.707744,1.147152,36.79256,18.382288,8.925344,8.002032,0.6333361,1
