,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HubDist,HCFAI,Cluster
2523,2713828,Aporawan,Aborlan,Palawan,3.550741,1.181073,10.607086,4.235311999999996,4.927404999999996,1.051258531968985,3.935061016,0.334643152,0.871146405,1.0,0,0,1,2713828,0.0298976865616094,,0.5308105,1.0
2524,2713829,Aporawan,Aborlan,Palawan,3.550741,1.181073,10.607086,4.235311999999999,4.927404999999998,0.812942809185811,3.935061016,0.334643152,0.871146405,1.0,0,0,1,2713829,0.0,,0.5308105,1.0
2525,2713830,Aporawan,Aborlan,Palawan,3.550741,1.181073,10.607086,4.235312000000001,4.927405,0.671863618836128,3.935061016,0.334643152,0.871146405,1.0,0,0,0,2713830,0.0,,0.48105314,0.0
2528,2713833,Culandanum,Aborlan,Palawan,2.302206,0.926027,7.331047,2.983865,3.29254,0.138313283957541,3.89161396,0.322060083,0.873948405,0.0,0,0,0,2713833,0.0,,0.373639,0.0
2546,2713851,Malinao,Narra,Palawan,1.277828,0.678846,4.878979,1.775164,2.26524,0.306324059250099,2.962210056,0.254011841,0.866307532,0.0,0,0,0,2713851,0.0,,0.38838777,0.0
2547,2713852,Princess Urduja,Narra,Palawan,1.277828,0.678846,4.878979,1.775164,2.265239999999999,0.459036447746413,2.417760742,0.261538662,0.828884499,0.0,0,0,0,2713852,1.76387036135719e-13,,0.39829987,0.0
2548,2713853,Malinao,Narra,Palawan,1.18203910638298,0.621482936170213,4.67071838297873,1.728534787234042,2.252903999999997,1.649577989266337,2.962210056,0.254011841,0.866307532,0.0,0,0,0,2713853,0.0,,0.38838777,0.0
2549,2713854,Caguisan,Narra,Palawan,0.9960568125,0.599267375,3.9568744375,1.519163,1.940628,0.637260098436049,2.733665547,0.271400322,0.942275906,1.0,0,0,0,2713854,0.0,,0.500387,0.0
2550,2713855,Caguisan,Narra,Palawan,0.766838720930233,0.530368209302326,3.24689720930232,1.481654325581396,1.669103720930231,0.558179640844199,2.733665547,0.271400322,0.942275906,1.0,0,0,0,2713855,0.0,,0.500387,0.0
2551,2713856,Batang-batang,Narra,Palawan,0.730581,0.512689,3.159444,1.493206,1.647012,0.567384778087832,2.871641976,0.281635086,0.951041072,0.0,0,0,0,2713856,0.0665796113261165,,0.38408408,0.0
2579,2715233,Malinao,Narra,Palawan,1.2900875,0.710027666666667,5.07097216666667,1.863434833333333,2.403945166666667,0.348236627744186,2.962210056,0.254011841,0.866307532,0.0,0,0,0,2715233,1.76387036135719e-13,,0.38838777,0.0
2580,2715234,Malinao,Narra,Palawan,1.277828,0.678846,4.878979,1.775163999999999,2.265239999999999,0.640731990337372,2.962210056,0.254011841,0.866307532,0.0,0,0,0,2715234,0.0,,0.38838777,0.0
2581,2715235,Malinao,Narra,Palawan,1.277828,0.678846,4.878979,1.775163999999998,2.265240000000003,2.662831556158407,2.962210056,0.254011841,0.866307532,0.0,0,0,0,2715235,0.0,,0.38838777,0.0
2582,2715236,Malinao,Narra,Palawan,0.990428,0.63939,3.786192,1.410419,1.805335999999999,0.350112689605781,2.962210056,0.254011841,0.866307532,0.0,0,0,0,2715236,0.0,,0.38838777,0.0
2583,2715237,Caguisan,Narra,Palawan,0.990428000000001,0.639389999999999,3.786192,1.410419000000001,1.805335999999998,0.937101040459886,2.733665547,0.271400322,0.942275906,1.0,0,0,1,2715237,0.0868427229686789,,0.5495525,1.0
2587,2716590,Aporawan,Aborlan,Palawan,3.550741,1.181073,10.607086,4.235312000000001,4.927405,0.172575759142637,3.935061016,0.334643152,0.871146405,1.0,0,0,0,2716590,1.76387036135719e-13,,0.48105314,0.0
2594,2716597,Culandanum,Aborlan,Palawan,2.302206,0.926027,7.331047,2.983865,3.29254,0.095216903143695,3.89161396,0.322060083,0.873948405,0.0,0,0,0,2716597,0.0,,0.373639,0.0
2609,2716612,Narra (Pob.),Narra,Palawan,1.351385,0.865936,6.030938,2.304789,3.097470999999999,0.49572064855269,3.071464871,0.244251893,0.869810855,1.0,0,0,0,2716612,1.76387036135719e-13,,0.50057745,0.0
2610,2716613,Narra (Pob.),Narra,Palawan,1.351385,0.865936,6.030938,2.304789,3.097471,0.512386815462794,3.071464871,0.244251893,0.869810855,0.0,0,0,0,2716613,0.0,,0.38691497,0.0
2611,2716614,Narra (Pob.),Narra,Palawan,1.351385,0.865936,6.030938,2.304789,3.097470999999999,0.463020315127713,3.071464871,0.244251893,0.869810855,0.0,0,0,0,2716614,0.0,,0.38691497,0.0
2612,2716615,Malinao,Narra,Palawan,1.277828,0.678846,4.878979,1.775164,2.26524,0.604595809429884,2.962210056,0.254011841,0.866307532,0.0,0,0,0,2716615,0.0,,0.38838777,0.0
2613,2716616,Malinao,Narra,Palawan,1.277828,0.678845999999999,4.878979,1.775163999999997,2.265240000000004,2.228371606602788,2.962210056,0.254011841,0.866307532,0.0,0,0,1,2716616,1.76387036135719e-13,,0.4299652,0.0
