ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,population_children_under5,population_elder60plus,population_women,population_youth,population_reproductive_women,popden_all_total_population,Neighbors,HCFAI
2866806,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,0.934143909,1.178482135,0.7403578,0.0,0,0,0,2877844,31.49120285855016,556792.9411139995,542812.1831100002,2428635.0304979994,883190.2037220007,1084645.1017620002,1313023.0965276358,"2970381, 2971764, 2970381, 2971763, 2970380",0.4999872191429115
2866807,Tambobong,Dasol,Pangasinan,0.899873165,1.021503448,0.739193068,0.0,0,0,0,2877844,33.03842151597457,42448.258332,37086.38622,176942.32628400004,52948.682316,77747.37987600002,163372.76931846142,"2970383, 2970384",0.49983443349123
2868165,Centro Toma,Bani,Pangasinan,0.706414798,1.092625713,0.729907681,1.0,0,0,0,2877844,11.842269228459068,0.0,0.0,0.0,0.0,0.0,942934.6328723432,"2970384, 2970385",0.5000355937562283
2868166,Centro Toma,Bani,Pangasinan,0.706414798,1.092625713,0.729907681,0.0,0,0,0,2877844,11.034251883299426,0.0,0.0,0.0,0.0,0.0,3720454.831120133,"2970385, 2970386",0.49995162075887933
2868167,Centro Toma,Bani,Pangasinan,0.706414798,1.092625713,0.729907681,0.0,0,1,1,2877844,10.272117585780522,1535477.02677,1088179.9774560002,5686650.849456,1895783.138316,2705143.527539999,3525228.3064928064,"2970386, 2970387, 2970387, 2970387",0.5000029968364975
2868168,Dacap Sur,Bani,Pangasinan,0.717827816,1.107051611,0.735315712,,0,0,0,2877844,9.459500227478358,0.0,0.0,0.0,0.0,0.0,47977.27827790236,"2970387, 2970387, 2970388, 2971770, 2970387, 2970388",
2868169,Dacap Sur,Bani,Pangasinan,0.717827816,1.107051611,0.735315712,1.0,0,0,0,2877844,9.675167343417218,184157.886528,102749.017752,788006.02896,311408.62236000004,387284.823288,3625982.434424042,"2969000, 2969001, 2969001, 2969000, 2968999, 2967617, 2969000, 2968999, 2969000, 2969001, 2968999, 2967617, 2967618",0.5000102546906452
2868170,San Simon,Bani,Pangasinan,0.695192921,1.106414223,0.7487594,0.0,0,0,0,2877844,9.973239756068995,163246.692006,122592.97317599998,715334.22621,260105.274036,333787.96526400006,6497276.456429601,"2969001, 2969002, 2969001, 2969002, 2967619, 2969000, 2969000, 2969000, 2969001, 2967619, 2967618, 2969002",0.4999684377468806
2868171,Macaboboni,Agno,Pangasinan,0.734486955,1.099466392,0.749863323,0.0,0,0,0,2877844,10.302617443905987,890779.4219340001,432160.1535779997,3180934.729853998,1178886.190986,1564008.425838,2826560.127580762,"2969002, 2969003, 2969001, 2969002, 2967619, 2967620, 2969001, 2967619, 2969002, 2969003, 2967620",0.4999722380645895
2868172,Macaboboni,Agno,Pangasinan,0.734486955,1.099466392,0.749863323,0.0,0,0,0,2877844,10.818129284160417,692828.4392820001,336124.56389399985,2474060.3454419984,916911.4818780004,1216450.997874,3028846.0159760723,"2969003, 2969004, 2969002, 2967621, 2967620, 2969004, 2967621, 2969002, 2969003, 2969004, 2967621, 2967620",0.4999660069909283
