,ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI,Cluster
0,3268077,Manla,Sapang Dalaga,Misamis Occidental,0.517751254,0.625679016,0.726204475,0.0,0,0,0,3284661,16.73610698928859,53.158016,20.180352,371.613904,179.162208,89.088896,83.182448,0.41152418,0
1,3268078,Casul,Sapang Dalaga,Misamis Occidental,0.799776637,0.637677789,0.76012321,0.0,0,0,0,3284661,16.995601609496436,6.644752,2.522544,46.451738,22.395276,11.136112,10.397806,0.39640558,0
2,3268079,Casul,Sapang Dalaga,Misamis Occidental,0.799776637,0.637677789,0.76012321,0.0,0,0,0,3284661,17.179639631834505,28.367837,33.189589,294.813589,141.001793,71.452859,60.769129,0.39659736,0
3,3268080,Casul,Sapang Dalaga,Misamis Occidental,0.799776637,0.637677789,0.76012321,0.0,0,0,0,3284661,17.594017474360676,19.336583,22.720481,202.067257,96.682901,49.549983,42.298767,0.3964161,0
4,3268081,El Paraiso,Sapang Dalaga,Misamis Occidental,0.612345866,0.635243654,0.799329167,0.0,0,0,0,3284661,18.150601892709528,26.865536,26.408392,254.685124,119.247247,58.475136,50.837339,0.40154198,0
5,3268082,Poblacion,Sapang Dalaga,Misamis Occidental,0.576585542,0.634303451,0.852458,0.0,0,0,1,3284661,18.834940310735547,56.776902,53.942089,534.326055,265.353835,137.022395,104.705219,0.4465056,0
6,3268083,Poblacion,Sapang Dalaga,Misamis Occidental,0.576585542,0.634303451,0.852458,0.0,0,0,0,3284661,19.598150449005345,17.59629,24.0257,217.246475,108.284845,51.09691,30.793505,0.39942208,0
7,3268084,"Agapito Yap, Sr. (Napilan)",Sapang Dalaga,Misamis Occidental,0.436439317,0.642035802,0.896432619,0.0,0,0,0,3284661,20.511775839256803,51.69474,59.319792,570.954417,284.022129,135.683166,93.779193,0.40988848,0
8,3268085,Sinaad,Sapang Dalaga,Misamis Occidental,0.339468056,0.659433365,0.924187692,0.0,0,0,1,3284661,21.472370913187177,31.2268,35.153462,306.973839,145.89588,72.233868,59.497237,0.44776618,0
9,3268086,Sinaad,Sapang Dalaga,Misamis Occidental,0.339468056,0.659433365,0.924187692,0.0,0,0,0,3284661,22.446043695810182,11.952813,13.91766,118.709448,56.161848,27.83532,22.759467,0.40310225,0
10,3268087,Sinaad,Sapang Dalaga,Misamis Occidental,0.339468056,0.659433365,0.924187692,0.0,0,0,0,3284661,23.60328173691587,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
11,3268088,Dasa,Sapang Dalaga,Misamis Occidental,0.326763272,0.667220974,0.862251878,0.0,0,0,0,3284661,24.84546336164048,0.302064,0.233856,3.001146,1.383646,0.80875,0.66259,0.40752855,0
12,3268089,Dasa,Sapang Dalaga,Misamis Occidental,0.326763272,0.667220974,0.862251878,0.0,0,0,0,3284661,26.0960809073485,1.62664981446997,1.09332256397174,16.239835083049,8.15991713532511,3.9199601924601,3.73329575481221,0.40752855,0
13,3268090,Maligubaan,Concepcion,Misamis Occidental,0.259108506,0.645569126,0.820757551,0.0,0,0,0,3284661,27.385431411837004,3.252438,2.186066,32.471068,16.315512,7.837844,7.464614,0.4143527,0
14,3268091,Bagong Nayon,Concepcion,Misamis Occidental,0.250106404,0.0,0.727805211,1.0,0,0,0,3297112,28.6197493037934,0.798908505187051,1.93069624095311,16.4109172240001,7.82264845828571,4.6935891848516,2.89604408672924,0.5759404,1
15,3268092,Soso-on,Concepcion,Misamis Occidental,0.200622621,0.638339043,0.676273337,1.0,0,0,0,3297112,28.72223254460916,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
16,3268093,Soso-on,Concepcion,Misamis Occidental,0.200622621,0.638339043,0.676273337,1.0,0,0,0,3297112,28.887625587270552,0.838845,0.353513,7.489685,3.469222,1.737607,1.563846,0.54938555,1
17,3268094,Nueva Vista (Masawan),Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,0.132730894,0.628823902,0.571528965,1.0,0,0,0,3297112,29.115894925151824,4.194225,1.767565,37.448425,17.34611,8.688035,7.81923,0.56132275,1
18,3268095,Nueva Vista (Masawan),Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,0.132730894,0.628823902,0.571528965,1.0,0,0,0,3297112,29.66135805254272,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
19,3268099,Napangan,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,0.145374294,0.65171905,0.464349902,1.0,0,0,0,3297112,32.0484285900698,5.3506,1.851416,39.916584,19.662064,9.16452,7.461216,0.5677751,1
20,3268100,Napangan,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,0.145374294,0.65171905,0.464349902,1.0,0,0,0,3299887,31.833028228642696,9.22528000000001,3.243995,62.60622,31.702915,14.106885,12.09375,0.5677751,1
