,ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI,Cluster
0,2941561,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,41.3882468615644,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
1,2942942,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,1,2971948,41.2715502279888,0.0013635647990168,0.0007921649659619,0.0121292210394433,0.0060191571091447,0.003191388445051,0.0022271533371747,0.43514946,0
2,2942943,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,41.391749508733,4.72472,2.744833,42.027466,20.856238,11.058086,7.717034,0.39274046,0
3,2949831,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.818003779,1.093190034,0.907144563,1.0,0,0,0,2971948,22.5165650777174,17.251052,6.571838,151.930272,75.921898,40.929798,27.108796,0.5224885,0
4,2951212,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.818003779,1.093190034,0.907144563,1.0,0,0,1,2971948,21.748555108477,38.483116,14.660254,338.921376,169.364234,91.3049340000001,60.473468,0.56911963,1
5,2951213,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.818003779,1.093190034,0.907144563,1.0,0,1,1,2971948,21.3788931993264,85.5917579999999,32.6064270000001,753.807888000002,376.689417,203.074767,134.501334,0.6055809,1
6,2951224,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,0.0,0,0,0,2971948,22.85615400566,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
7,2951225,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,0.0,0,0,0,2971948,24.2455620198778,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
8,2951227,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,25.9027120980882,1.15050099995396,0.298400999988058,8.0932929996761,3.75321899984979,1.94623599992211,1.66109799993352,0.5196225,0
9,2951228,Calayo,Nasugbu,Batangas,0.565027638,1.360594654,1.046446899,0.0,0,0,0,2971948,27.8660432047997,2.325594,1.113316,19.29749,9.384848,4.667684,3.991446,0.39393046,0
10,2951229,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,28.7831408824921,97.5103359999998,27.9680079999999,760.61792,367.175279999999,195.776431999999,128.12388,0.42521757,0
11,2951230,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,30.3212456523535,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
12,2951231,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,30.2933453383612,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
13,2952594,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.818003779,1.093190034,0.907144563,0.0,0,0,0,2971948,20.2970857613207,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
14,2952595,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.818003779,1.093190034,0.907144563,1.0,0,0,1,2971948,20.5805396921535,57.0611720000001,21.737618,502.538592000001,251.126278,135.383178,89.6675560000001,0.5660755,1
15,2952605,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,20.957204825474,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
16,2952606,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,21.7204889855291,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
17,2952607,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,22.7864849483238,1.150501,0.298401,8.093293,3.753219,1.946236,1.661098,0.5196225,0
18,2952608,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,1,2971948,23.4370164322698,13.806012,3.580812,97.119516,45.038628,23.354832,19.933176,0.5675088,1
19,2952609,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,1,2971948,24.9271904432753,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
20,2952610,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,25.6265686852764,1.150501,0.298401,8.093293,3.753219,1.946236,1.661098,0.5196225,0
21,2952611,Calayo,Nasugbu,Batangas,0.565027638,1.360594654,1.046446899,1.0,0,0,0,2971948,27.100839681637,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
22,2952612,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,1,2971948,28.0799240000666,179.192746,51.8425220000001,1398.92893,675.378308000003,359.772807999997,236.386356000001,0.47124177,0
23,2952613,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,28.7001073865721,20.228208,5.801874,157.78776,76.16934,40.613196,26.57889,0.39279595,0
24,2953976,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.818003779,1.093190034,0.907144563,1.0,0,0,1,2971948,19.2809199786475,16.58755,6.319075,146.0868,73.001825,39.355575,26.06615,0.5701286,1
25,2953987,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,20.4716948101641,2.301002,0.596802,16.186586,7.506438,3.892472,3.322196,0.5196225,0
26,2953988,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,21.1727049281938,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
27,2953989,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,1,2971948,22.1435331691698,130.006613,33.7193129999999,914.542109000001,424.113747,219.924668,187.704074,0.5487388,1
28,2953990,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,23.0117023761023,11.50501,2.98401,80.93293,37.53219,19.46236,16.61098,0.5196225,0
29,2953991,Papaya,Nasugbu,Batangas,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,24.292659728899,42.319935,11.149569,298.54818,138.548212,71.80622,61.198019,0.5193768,0
30,2953992,Calayo,Nasugbu,Batangas,0.565027638,1.360594654,1.046446899,1.0,0,0,1,2971948,25.0359708072226,157.357698,75.2569129999999,1304.851981,634.389376,315.626158,269.626632,0.5293304,0
31,2953993,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,1.0,0,0,1,2971948,26.7401784264248,116.708633,39.9456419999999,927.148005,448.569895999999,234.299657999999,166.917567,0.5360382,1
32,2953994,Balaytigui,Nasugbu,Batangas,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,27.742286497926,267.107665000002,76.9030459999998,2082.142326,1005.32799400001,535.821186999996,351.662212000001,0.4661046,0
