ID,Neighbors
2872316,"2872316, 2872317, 2872315, 2870933, 2872316, 2872315, 2870933, 2870934, 2872316, 2872317, 2872315"
2872318,"2872318, 2870935, 2872318, 2872317, 2870935, 2872317, 2870936, 2870935"
2872319,"2872319, 2870936, 2872318, 2872318, 2870936"
2872320,"2872320, 2870937, 2872319"
2872324,"2872324, 2870941, 2872323, 2872324, 2870942, 2872325, 2872325, 2872323"
2872326,"2872326, 2872327, 2870943"
2872327,2872327
2872328,"2872328, 2872329, 2870945, 2870946, 2870945, 2872328, 2872329, 2870945, 2872327, 2872329"
2872329,"2872329, 2872330, 2870946, 2870947, 2872328, 2872329, 2872330, 2870947, 2872329, 2872330"
2872330,"2872330, 2870947, 2870948, 2872329, 2872330, 2872331, 2870947, 2870948, 2872331, 2872329, 2872330, 2872331"
2872331,"2872331, 2870948, 2870949, 2872331, 2872332, 2870949, 2872330, 2872331, 2872332"
2872332,"2872332, 2870949, 2870950, 2872331, 2872332, 2872333, 2870950"
2872333,"2872333, 2870950, 2872334, 2870951"
2872334,"2872334, 2872335, 2870952, 2870951"
2872335,"2872335, 2870952, 2870953, 2872334, 2872335, 2870952"
2873688,"2873688, 2875071, 2875070, 2873689, 2873688, 2875071, 2875070"
2873689,"2873689, 2873688, 2875072, 2875071, 2875072"
2873690,"2873690, 2875073, 2873689, 2875072, 2873691, 2875073, 2875072"
2873691,"2873691, 2875074, 2875073, 2873691, 2873690, 2875073, 2875074, 2873691, 2875074, 2875073"
2873692,"2873692, 2873691, 2875074, 2875075, 2873693, 2875075, 2873691, 2875074, 2875075, 2873691, 2875074"
2873693,"2873693, 2873692, 2875075, 2873694, 2873693, 2875076, 2875075, 2875075"
2873694,"2873694, 2873694, 2873695, 2873694, 2873695, 2875077, 2873694, 2873693, 2875077, 2873694, 2873693, 2875077, 2875076"
2873695,"2873695, 2873696, 2873694, 2873696, 2875078, 2873695, 2875077, 2875078, 2873696, 2875078, 2873694, 2875077, 2873694, 2875077"
2873696,"2873696, 2875078, 2873695, 2873697, 2873696, 2873696, 2875078, 2873695, 2875078, 2873697, 2875079, 2873696, 2875078"
2873697,"2873697, 2873698, 2875079, 2873696, 2873697, 2873696, 2873696, 2875080, 2873697, 2875079, 2873696"
2873702,"2873702, 2875084, 2875085, 2873703, 2873701, 2873702, 2875084, 2873701, 2873701, 2875084"
2873703,"2873703, 2873704, 2875086, 2873703, 2873704, 2875086, 2873702, 2875085, 2873703, 2873702, 2875086"
2873708,"2873708, 2875090, 2873707, 2873709, 2873707, 2873708, 2875091, 2875090, 2873709, 2875091"
2873709,"2873709, 2873708, 2873709, 2873708, 2875091, 2873710, 2873710, 2873709, 2875092, 2875091"
2873710,"2873710, 2873709, 2873711, 2873709, 2873711, 2873710, 2875093, 2873710, 2873709, 2875093, 2875092"
2873711,"2873711, 2873711, 2873710, 2873712, 2873711, 2873712, 2873711, 2873710, 2875093, 2875094, 2873710, 2875093"
2873712,"2873712, 2873711, 2873713, 2873712, 2873711, 2873713, 2875094, 2875095, 2875095, 2873713, 2875095"
2873713,"2873713, 2873712, 2873713, 2875095, 2875096, 2875095, 2873714, 2873713, 2875095, 2875096, 2873714"
2873714,"2873714, 2873713, 2873713, 2875096, 2873714, 2873713, 2875096, 2875097, 2873714, 2875097, 2873715"
2873715,2873715
2875070,"2875070, 2873688, 2875071, 2875070"
2875071,"2875071, 2875070, 2873689, 2873688, 2875072, 2875071, 2875070, 2875072"
2875073,"2875073, 2875072, 2873691, 2873690, 2875073, 2875072, 2875074, 2873691, 2875074, 2875073, 2875072"
2875075,"2875075, 2873693, 2875076, 2875075, 2875074, 2875075, 2875074"
2875076,"2875076, 2875075, 2875075"
