ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
3313430,Maragat,San Vicente,Northern Samar,0.0,0.0,0.0,0.0,0.0,2.633394612206353,1.851208061,1.5335783,0.448348969,0.0,0,0,0,3330011,19.160348562644973,0.424699295117991
3314812,Maragat,San Vicente,Northern Samar,2.729894,4.98314,15.72939,5.286462,6.586411,1.111227322009302,1.851208061,1.5335783,0.448348969,0.0,0,0,0,3330011,16.40222582149271,0.424699295117991
3314813,Sila,San Vicente,Northern Samar,0.0,0.0,0.0,0.0,0.0,6.442061459054314,1.470176697,1.547434568,0.429684619,0.0,0,0,0,3330011,17.733638118558233,0.42956351526078157
3316193,Maragat,San Vicente,Northern Samar,0.0,0.0,0.0,0.0,0.0,2.24983500971713,1.851208061,1.5335783,0.448348969,0.0,0,0,0,3330011,15.696258410807893,0.424699295117991
3316194,Maragat,San Vicente,Northern Samar,2.729894,4.983140000000002,15.72939,5.286462,6.586411,1.141626221793038,1.851208061,1.5335783,0.448348969,0.0,0,0,0,3330011,15.8893441182699,0.424699295117991
3317576,Sangputan,San Vicente,Northern Samar,0.0,0.0,0.0,0.0,0.0,1.069000112691096,1.322990886,1.523878733,0.440902522,0.0,0,0,0,3330011,13.911411854334704,0.4301345932643106
3317577,Sangputan,San Vicente,Northern Samar,2.729894,4.98314,15.729390000000002,5.286462,6.586411,6.924530772753768,1.322990886,1.523878733,0.440902522,0.0,0,0,0,3330011,13.894794082682616,0.4301345932643106
3318957,Sangputan,San Vicente,Northern Samar,0.0,0.0,0.0,0.0,0.0,0.0,1.322990886,1.523878733,0.440902522,0.0,0,0,0,3330011,13.21452229430508,0.5
3318958,Sangputan,San Vicente,Northern Samar,2.729894000000001,4.983140000000002,15.729390000000004,5.286462,6.586411,1.435743518932137,1.322990886,1.523878733,0.440902522,0.0,0,0,1,3330011,13.36454172526196,0.47779949810487576
3318959,Sangputan,San Vicente,Northern Samar,2.729894,4.98314,15.72939,5.286462,6.586411,1.405860950549443,1.322990886,1.523878733,0.440902522,0.0,0,0,0,3330011,13.491751233121224,0.4301345932643106
3320341,Sangputan,San Vicente,Northern Samar,2.729894,4.98314,15.72939,5.286462,6.586411,1.431615811127883,1.322990886,1.523878733,0.440902522,0.0,0,0,0,3330011,12.868117440743273,0.4301345932643106
3320346,Mongol Bongol Pob. (Bgy.1),San Vicente,Northern Samar,0.0,0.0,0.0,0.0,0.0,6.85802721977234,0.017150574,1.487570445,0.468223311,0.0,0,0,0,3330011,18.2101321188143,0.43852232588815293
3323110,Mongol Bongol Pob. (Bgy.1),San Vicente,Northern Samar,0.0,0.0,0.0,0.0,0.0,11.14254903793335,0.017150574,1.487570445,0.468223311,0.0,0,0,0,3330011,17.302987321664126,0.43852232588815293
3324480,Aguin,Capul,Northern Samar,1.616911,1.107074,6.467645,2.913354,2.88422,8.14774439123805,1.974501799,1.472623634,0.50316809,0.0,0,0,0,3330011,6.815151251037132,0.41908874653248285
3325861,Aguin,Capul,Northern Samar,1.616911,1.107074,6.467645,2.913353999999999,2.88422,3.973739851088751,1.974501799,1.472623634,0.50316809,0.0,0,0,0,3330011,7.704290093055454,0.41908874653248285
3325862,Aguin,Capul,Northern Samar,1.616911000000001,1.107073999999999,6.467645000000004,2.913353999999999,2.88422,2.235039649209427,1.974501799,1.472623634,0.50316809,0.0,0,0,0,3330011,6.844385061029938,0.41908874653248285
3325863,Aguin,Capul,Northern Samar,0.667074684210526,0.539179684210526,2.710115631578944,1.115159684210525,1.253021157894735,2.033540903800918,1.974501799,1.472623634,0.50316809,0.0,0,0,1,3330011,5.860910746172712,0.4655457299330542
