ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI
2980106,Ansipsip,Kayapa,Nueva Vizcaya,0.115191026,0.556996187,0.62651693,0.0,0,0,0,3010498,37.38983623517021,3.395889,3.46381,37.694391,18.541565,9.712248,7.504917,0.4562144730189668
2980107,Lawigan,Kayapa,Nueva Vizcaya,0.134009154,0.468439314,0.711946941,1.0,0,0,0,3010498,38.271798804142605,45.2442539999999,44.515105,501.156831,245.53691,130.036503,101.129607,0.5527475152158473
2980108,Kayapa Proper West,Kayapa,Nueva Vizcaya,0.160957375,0.554851705,0.621967984,1.0,0,0,0,3010498,39.203411181747775,32.503509,33.15361,360.789171,177.469265,92.9600879999999,71.832777,0.5642770726315486
2980109,Kayapa Proper West,Kayapa,Nueva Vizcaya,0.160957375,0.554851705,0.621967984,1.0,0,0,0,3010498,40.181220087107874,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2980110,Alang-Salacsac,Kayapa,Nueva Vizcaya,0.173781083,0.509202756,0.699332162,1.0,0,0,0,3010498,41.201936631291325,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2980111,Alang-Salacsac,Kayapa,Nueva Vizcaya,0.173781083,0.509202756,0.699332162,1.0,0,0,0,3010498,42.26245203463932,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2980112,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,43.35984614104974,0.159696,0.122842,2.076046,0.995028,0.528224,0.528224,0.5631860646260484
2980113,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,44.491390162691374,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2980114,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,45.654544964684575,1.676808,1.289841,21.798483,10.447794,5.546352,5.546352,0.5631860646260483
2980115,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,1.0,0,1,0,3010498,46.84695603344433,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2980116,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,1.0,0,0,0,3010498,47.994026872933645,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2980117,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,0.0,0,0,0,3010498,48.968458517047694,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2980118,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,1.0,0,0,0,3010498,49.86077665049109,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981482,Pangawan,Kayapa,Nueva Vizcaya,0.09541134,0.660554528,0.432299177,0.0,0,1,0,3010498,31.597908009970983,1.641809,1.240868,16.042506,7.734996,3.888437,3.500059,0.5443871468250217
2981483,Pangawan,Kayapa,Nueva Vizcaya,0.09541134,0.660554528,0.432299177,0.0,0,1,0,3010498,32.54375216185285,21.911602,17.665523,218.435183,105.561184,52.613721,47.8423770000001,0.5437987834823762
2981484,Tubongan,Kayapa,Nueva Vizcaya,0.11209701,0.609609485,0.475385002,0.0,0,1,0,3010498,33.30308453837609,1.701475,1.31912,18.44859,9.482385,5.1809,3.91913,0.5414430002407526
2981485,Pampang (Pob.),Kayapa,Nueva Vizcaya,0.102711493,0.609735131,0.486820796,1.0,0,0,0,3010498,34.1420862702234,3.894295,1.665399,33.573338,16.462867,8.594685,6.640416,0.5867061464662056
2981486,Ansipsip,Kayapa,Nueva Vizcaya,0.115191026,0.556996187,0.62651693,1.0,0,0,0,3010498,34.91127980625954,4.404957,5.230884,54.236019,24.502566,14.316108,12.113628,0.577331458503753
2981487,Ansipsip,Kayapa,Nueva Vizcaya,0.115191026,0.556996187,0.62651693,0.0,0,1,0,3010498,35.740159420431915,5.873276,6.974512,72.314692,32.670088,19.088144,16.151504,0.5304520063896135
2981488,Kayapa Proper West,Kayapa,Nueva Vizcaya,0.160957375,0.554851705,0.621967984,1.0,0,0,0,3010498,36.62467294324159,30.9289,31.002815,342.959435,168.37294,88.669325,68.7328149999999,0.5671749594691642
2981489,Kayapa Proper West,Kayapa,Nueva Vizcaya,0.160957375,0.554851705,0.621967984,1.0,0,1,0,3010498,37.56089024996668,32.78304,23.63427,357.56379,170.01432,97.5867300000002,79.28919,0.6164579377294613
2981490,Cabalatan-Alang,Kayapa,Nueva Vizcaya,0.141184188,0.566163127,0.704881596,1.0,0,0,0,3010498,38.54504404154523,0.364255999985422,0.26260299998949,3.972930999841,1.8890479999244,1.08429699995661,0.880990999964742,0.570075437921702
2981491,Cabalatan-Alang,Kayapa,Nueva Vizcaya,0.141184188,0.566163127,0.704881596,1.0,0,0,0,3010498,39.57355808917383,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981492,Alang-Salacsac,Kayapa,Nueva Vizcaya,0.173781083,0.509202756,0.699332162,1.0,0,0,0,3010498,40.64306479144686,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981493,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,41.75041398395929,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981494,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,42.892674860181366,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981495,Santa Rosa,Santa Fe,Nueva Vizcaya,0.208310229,0.459050978,0.788849959,1.0,0,0,0,3010498,44.06713267712013,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981496,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,1.0,0,0,1,3010498,45.27128168330916,21.6219,13.6138,196.1988,91.2925000000001,50.4511000000001,36.0365,0.6083128906393793
2981497,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,1.0,0,1,0,3010498,46.50281545792469,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981498,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,1.0,0,0,0,3010498,47.75961561222989,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981499,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,1.0,0,0,0,3010498,49.03973959192784,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2981500,Malico,Santa Fe,Nueva Vizcaya,0.120347198,0.4622428,0.751988265,1.0,0,0,0,3010498,49.83530014833183,0.0,0.0,0.0,0.0,0.0,0.0,0.5
