ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
2937258,San Pascual,Tuba,Benguet,,,,,,0.859442710876465,0.660628152,1.040006002,1.016221507,,0,0,0,2949695,11.881193840971765
2938639,San Pascual,Tuba,Benguet,0.159418,0.109788,0.74295,0.33538,0.39253,0.428710916367444,0.660628152,1.040006002,1.016221507,0.0,0,0,0,2949695,10.5210394418903
2938640,San Pascual,Tuba,Benguet,,,,,,0.56916783667273,0.660628152,1.040006002,1.016221507,0.0,0,0,0,2949695,10.795343755022854
2938641,San Pascual,Tuba,Benguet,0.361632,0.402346,1.911143,0.699316,0.936412,0.772158755545031,0.660628152,1.040006002,1.016221507,,0,1,0,2949695,11.184975505628888
2939947,Tangadan,San Quintin,Abra,,,,,,0.183273532324367,0.889123002,0.085880665,1.329498543,1.0,0,0,0,2945473,6.61396091304037
2939948,Tangadan,San Quintin,Abra,,,,,,0.931136561045191,0.889123002,0.085880665,1.329498543,1.0,0,0,0,2945473,7.643160849616566
2940014,Poblacion,Sablan,Benguet,0.65782693258427,0.559071640449439,3.524951539325844,1.277259797752811,1.872635674157303,4.821399464326746,0.548450539,0.993987004,1.064979092,,0,1,0,2949695,13.942798066982292
2940015,Poblacion,Sablan,Benguet,0.233788,0.202088,1.244230000000001,0.502249,0.640937,2.639014874185835,0.548450539,0.993987004,1.064979092,0.0,0,0,0,2949695,12.940178665484453
2940016,Bayabas,Sablan,Benguet,,,,,,0.566044073065502,0.372182042,1.009904981,1.014086761,0.0,0,0,0,2949695,11.577683536956728
2940018,Nangalisan,Tuba,Benguet,,,,,,2.195960760116577,0.411731021,1.028937022,0.988501768,,0,0,0,2949695,9.71008791785904
2940019,Nangalisan,Tuba,Benguet,0.550533951219511,0.326627170731707,2.382375268292678,1.069893756097561,1.224175414634147,3.520436568260193,0.411731021,1.028937022,0.988501768,,0,1,0,2949695,9.26138458183392
2940020,Nangalisan,Tuba,Benguet,0.159418,0.109788,0.74295,0.33538,0.39253,0.329743423162062,0.411731021,1.028937022,0.988501768,0.0,0,0,0,2949695,9.459473304571985
2940021,San Pascual,Tuba,Benguet,0.198059545454546,0.120932909090909,0.870981,0.375949818181818,0.453511090909091,0.225856162736573,0.660628152,1.040006002,1.016221507,0.0,0,1,0,2949695,9.629366530002088
2940022,San Pascual,Tuba,Benguet,0.468926777777778,0.320511481481481,2.026769814814816,0.738957333333333,0.997516814814815,0.30889375277346,0.660628152,1.040006002,1.016221507,,0,0,1,2949695,9.866555324655137
2940023,San Pascual,Tuba,Benguet,,,,,,0.259349427634118,0.660628152,1.040006002,1.016221507,,0,0,0,2949695,9.751197664568323
2941327,Labaan,San Quintin,Abra,,,,,,0.728708095882184,1.316676018,0.086426735,1.328765779,1.0,0,0,0,2945473,4.214453782502487
2941328,Labaan,San Quintin,Abra,,,,,,0.232085185746352,1.316676018,0.086426735,1.328765779,1.0,0,0,0,2945473,4.68555021065793
2941329,Tangadan,San Quintin,Abra,,,,,,0.180893850927117,0.889123002,0.085880665,1.329498543,1.0,0,0,0,2945473,5.605452640130608
2941330,Tangadan,San Quintin,Abra,,,,,,0.347043179058061,0.889123002,0.085880665,1.329498543,1.0,0,0,0,2945473,6.694689938013454
2941331,Tangadan,San Quintin,Abra,,,,,,0.472846725206266,0.889123002,0.085880665,1.329498543,1.0,0,0,0,2945473,7.538928356835044
2941395,Poblacion,Sablan,Benguet,0.746558,0.486521,3.472753,1.283409,1.627329,0.948500879975252,0.548450539,0.993987004,1.064979092,,0,0,0,2949695,15.298704242041367
2941396,Poblacion,Sablan,Benguet,0.522575571428571,0.467335142857143,2.872363,1.051938,1.519441428571428,1.340902963672021,0.548450539,0.993987004,1.064979092,,0,0,0,2949695,14.098554310691268
2941397,Poblacion,Sablan,Benguet,0.252623646039605,0.217533410891091,1.342600740099017,0.536136527227727,0.693661198019806,5.205823419003338,0.548450539,0.993987004,1.064979092,0.0,0,0,1,2949695,12.979153597415005
2941398,Poblacion,Sablan,Benguet,0.348881012048193,0.330737939759036,1.824875662650604,0.700336108433735,0.914942,1.246635125301502,0.548450539,0.993987004,1.064979092,0.0,0,0,0,2949695,11.706335567646184
2941399,Bayabas,Sablan,Benguet,0.870636,0.913951000000001,4.457136000000001,1.598331000000001,2.157098,0.554149059321591,0.372182042,1.009904981,1.014086761,,0,0,0,2949695,10.521982093872568
2941400,Bayabas,Sablan,Benguet,0.903382833333333,0.833671916666667,4.423608166666665,1.678629416666667,2.167336666666667,0.985029817713417,0.372182042,1.009904981,1.014086761,,0,0,0,2949695,9.55172792988554
2941401,Nangalisan,Tuba,Benguet,0.591168902298851,0.358048545977013,2.580198839080467,1.147578321839075,1.318693856321834,4.054218791947595,0.411731021,1.028937022,0.988501768,0.0,0,1,1,2949695,8.841350783284575
2941402,Nangalisan,Tuba,Benguet,0.258777735849057,0.185250226415095,1.222432339622644,0.525121471698114,0.622395622641508,1.064108092533915,0.411731021,1.028937022,0.988501768,0.0,0,0,0,2949695,8.367367291571826
2941403,San Pascual,Tuba,Benguet,0.159418,0.109788,0.74295,0.33538,0.39253,0.285216182159881,0.660628152,1.040006002,1.016221507,,0,1,0,2949695,8.180549398270053
2941404,San Pascual,Tuba,Benguet,0.584475,0.232382,2.151291,0.781648,1.063322,0.202013501793974,0.660628152,1.040006002,1.016221507,1.0,0,1,0,2949695,8.310161184901968
