ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3428519",Malawanit,Magsaysay,Davao del Sur,"0.181563","0.083","1.185348","0.472064","0.601752","0.142496902834285","0.1225645","0.677304029","1.173486873","1.0","0","0","0","3481009","68.8937534610476",0.18156299998457,0.0829999999929463,2.3110389998036,1.18534799989926,0.60175199994886,0.472063999959882
"3429892",Maibo,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074","0.415072","0.429841","0.437046474880642","0.229006388","0.704150677","1.176550364","1.0","0","0","0","3481009","61.01117023671138",1.24366,0.205204,7.772888,3.768296,1.719364,1.660288
"3429893",Maibo,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074","0.415072","0.429841","0.427309891022742","0.229006388","0.704150677","1.176550364","1.0","0","0","0","3481009","61.288138368126106",7.151045,1.179923,44.694106,21.667702,9.886343,9.546656
"3429894",Maibo,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074","0.415072","0.429841","0.322041308359494","0.229006388","0.704150677","1.176550364","1.0","0","0","0","3481009","61.92033497786777",3.10915,0.51301,19.43222,9.42074,4.29841,4.15072
"3429897",Bacungan,Magsaysay,Davao del Sur,,,,,,"0.125248370071252","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","64.35555003708043",0,0,0,0,0,0
"3429898",Bacungan,Magsaysay,Davao del Sur,,,,,,"0.095064400384823","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","65.4786058253917",0,0,0,0,0,0
"3429899",Bacungan,Magsaysay,Davao del Sur,"0.181563","0.083","1.185348","0.472064","0.601752","0.080173176803416","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","66.67042157676129",1.089378,0.498,13.866234,7.112088,3.610512,2.832384
"3429900",Bacungan,Magsaysay,Davao del Sur,"0.181563","0.083","1.185348000000001","0.472064","0.601752","0.08927841335535","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","67.83701015745281",12.890973,5.89300000000001,164.083769,84.159708,42.724392,33.516544
"3429901",Malawanit,Magsaysay,Davao del Sur,,,,,,"0.089442129121788","0.1225645","0.677304029","1.173486873","1.0","0","0","0","3481009","68.4266628786496",0,0,0,0,0,0
"3431272",Malongon,Magsaysay,Davao del Sur,,,,,,"0.366122806072235","0.192069197","0.719005346","1.192776468","1.0","0","0","0","3481009","56.79509143302639",0,0,0,0,0,0
"3431273",Tacul,Magsaysay,Davao del Sur,"0.159145","0.038195","0.541095","0.25145","0.27373","0.460372108221054","0.218167128","0.714077473","1.188038386","1.0","0","0","0","3481009","57.86464832314815",0.795725,0.190975,5.936125,2.705475,1.36865,1.25725
"3431274",Tacul,Magsaysay,Davao del Sur,,,,,,"0.615505293011665","0.218167128","0.714077473","1.188038386","1.0","0","0","0","3481009","58.25069752201666",0,0,0,0,0,0
"3431275",Maibo,Magsaysay,Davao del Sur,,,,,,"0.587889024721725","0.229006388","0.704150677","1.176550364","1.0","0","0","0","3481009","60.09621555061549",0,0,0,0,0,0
"3431276",Maibo,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074","0.415072","0.429841","0.439963621121866","0.229006388","0.704150677","1.176550364","1.0","0","0","0","3481009","60.64462617961427",3.73098,0.615612,23.318664,11.304888,5.158092,4.980864
"3431277",Maibo,Magsaysay,Davao del Sur,"0.270684625","0.060619","0.915101750000001","0.426583375","0.437097625","0.342717990376591","0.229006388","0.704150677","1.176550364","1.0","0","0","0","3481009","61.2586895130085",15.158339,3.394664,106.283884,51.245698,24.477467,23.888669
"3431278",Tagaytay,Magsaysay,Davao del Sur,"0.203634","0.076149","0.870148","0.445769","0.449192","0.130959377547757","0.231853794","0.688116367","1.174662488","1.0","0","0","0","3481009","62.006264826867415",2.850876,1.066086,25.514076,12.182072,6.288688,6.240766
"3431279",Bacungan,Magsaysay,Davao del Sur,,,,,,"0.140771820891224","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","63.1675572895628",0,0,0,0,0,0
"3431280",Bacungan,Magsaysay,Davao del Sur,,,,,,"0.115126766573708","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","64.24376519415804",0,0,0,0,0,0
"3431281",Bacungan,Magsaysay,Davao del Sur,,,,,,"0.09048921310698","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","65.26171617580991",0,0,0,0,0,0
"3431282",Bacungan,Magsaysay,Davao del Sur,"0.181563","0.083","1.185348","0.472064","0.601752","0.070200231235595","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","66.26917752231789",3.63126,1.66,46.22078,23.70696,12.03504,9.44128
"3431283",Malawanit,Magsaysay,Davao del Sur,"0.181563","0.083","1.185348","0.472064","0.601752","0.074667408979907","0.1225645","0.677304029","1.173486873","1.0","0","0","0","3481009","67.30179757849204",3.63126,1.66,46.22078,23.70696,12.03504,9.44128
"3431284",Malawanit,Magsaysay,Davao del Sur,"0.356734","0.071697","1.148893","0.500127","0.557834","0.071832638135866","0.1225645","0.677304029","1.173486873","1.0","0","1","0","3481009","68.24807469950564",2.140404,0.430182,13.79721,6.893358,3.347004,3.000762
"3431285",Colonsabak,Matanao,Davao del Sur,"0.356734","0.071697","1.148893","0.500127","0.557834","0.070367314164812","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","69.26852174736469",1.070202,0.215091,6.898605,3.446679,1.673502,1.500381
"3431286",Colonsabak,Matanao,Davao del Sur,,,,,,"0.058607315781426","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","70.33270700148846",0,0,0,0,0,0
"3431287",Colonsabak,Matanao,Davao del Sur,,,,,,"0.043065806240614","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","71.26586607350569",0,0,0,0,0,0
"3432653",Malongon,Magsaysay,Davao del Sur,"0.247003","0.098801","0.879949","0.432256","0.447693","0.397832974444988","0.192069197","0.719005346","1.192776468","1.0","0","0","0","3481009","56.0348624520752",0.988012,0.395204,7.669452,3.519796,1.790772,1.729024
"3432654",Malongon,Magsaysay,Davao del Sur,"0.217321243243243","0.078326","0.765471297297297","0.371172891891892","0.388921716216217","0.492345701744206","0.192069197","0.719005346","1.192776468","1.0","0","0","1","3481009","56.44052234701268",32.1635439999999,11.592248,247.262824,113.289752,57.5604140000001,54.9335879999999
"3432655",Tacul,Magsaysay,Davao del Sur,"0.162780209580839","0.038508916167665","0.550699287425152","0.255369089820359","0.277469185628743","0.935533894713954","0.218167128","0.714077473","1.188038386","1.0","0","0","1","3481009","57.364607806365626",54.3685900000002,12.861978,402.581126000002,183.933562000001,92.6747080000001,85.2932760000001
"3432656",Tacul,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074","0.415072","0.429841","1.02844547620718","0.218167128","0.714077473","1.188038386","1.0","0","0","0","3481009","57.860552399166494",16.478495,2.718953,102.990766,49.929922,22.781573,21.998816
"3432657",Maibo,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074","0.415072","0.429841","0.583098826970128","0.229006388","0.704150677","1.176550364","1.0","0","0","0","3481009","58.99888485098501",17.722155,2.924157,110.763654,53.698218,24.500937,23.659104
"3432658",Balnate,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074000000001","0.415072","0.429841","0.561535678560084","0.220038805","0.705771526","1.184820888","1.0","0","0","0","3481009","59.86310519774943",10.57111,1.744234,66.069548,32.030516,14.614594,14.112448
"3432659",Tagaytay,Magsaysay,Davao del Sur,"0.262553949152543","0.053825440677966","0.883352432203391","0.403010042372881","0.425454305084745","0.347307879588118","0.231853794","0.688116367","1.174662488","1.0","0","0","0","3481009","60.75961554678252",30.981366,6.35140199999999,216.965222,104.235587,50.2036079999999,47.5551849999999
"3432660",Tagaytay,Magsaysay,Davao del Sur,"0.107756","0.038129","0.623327","0.293428","0.375488","0.175779414413638","0.231853794","0.688116367","1.174662488","1.0","0","0","0","3481009","61.68700094719843",4.31024,1.52516,54.67376,24.93308,15.01952,11.73712
"3432661",Bacungan,Magsaysay,Davao del Sur,"0.107756","0.038129","0.623327","0.293428","0.375488","0.18006672164163","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","62.64389018369714",2.6939,0.953225,34.1711,15.583175,9.3872,7.3357
"3432662",Bacungan,Magsaysay,Davao del Sur,"0.107756","0.038129","0.623327","0.293428","0.375488","0.133923852648115","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","63.62895218280755",0.142761700149867,0.0505156173671469,1.81087803258886,0.825821506638296,0.497469331321442,0.388751254237121
"3432663",Bacungan,Magsaysay,Davao del Sur,,,,,,"0.092366864797559","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","64.64089898423934",0,0,0,0,0,0
"3432664",Malawanit,Magsaysay,Davao del Sur,,,,,,"0.075918058509664","0.1225645","0.677304029","1.173486873","1.0","0","0","0","3481009","65.67848791038853",0,0,0,0,0,0
"3432665",Malawanit,Magsaysay,Davao del Sur,"0.356734","0.071697","1.148893","0.500127","0.557834","0.068504998964738","0.1225645","0.677304029","1.173486873","1.0","0","0","0","3481009","66.74052302774237",2.497138,0.501879,16.096745,8.042251,3.904838,3.500889
"3432666",Malawanit,Magsaysay,Davao del Sur,"0.356734","0.071697","1.148893","0.500127","0.557834","0.071471842005849","0.1225645","0.677304029","1.173486873","1.0","0","1","1","3481009","67.82585599145581",5.707744,1.147152,36.79256,18.382288,8.925344,8.002032
"3432667",Colonsabak,Matanao,Davao del Sur,"0.356734","0.071697","1.148893","0.500127","0.557834","0.060573342919564","0.112598605","0.667534174","1.043517024","1.0","0","0","1","3481009","68.93338636018353",2.497138,0.501879,16.096745,8.042251,3.904838,3.500889
"3432668",Colonsabak,Matanao,Davao del Sur,,,,,,"0.043850080752308","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","70.06206146236684",0,0,0,0,0,0
"3432669",Colonsabak,Matanao,Davao del Sur,,,,,,"0.044564099758863","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","71.20137404880028",0,0,0,0,0,0
"3432670",Colonsabak,Matanao,Davao del Sur,,,,,,"0.10853288520778","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","71.99095608879702",0,0,0,0,0,0
"3434036",Malongon,Magsaysay,Davao del Sur,"0.247003","0.098801","0.879949","0.432256","0.447693","0.314389081245445","0.192069197","0.719005346","1.192776468","1.0","0","0","0","3481009","54.98443901512154",0.349155031765541,0.139661729993025,2.71031906159469,1.24386594918708,0.632843583422915,0.611022365764163
"3434037",Malongon,Magsaysay,Davao del Sur,"0.159145","0.038195","0.541094999999999","0.25145","0.27373","0.600754549894953","0.192069197","0.719005346","1.192776468","1.0","0","0","0","3481009","55.72798019825832",8.91212,2.13892,66.4846,30.30132,15.32888,14.0812
"3434038",Tacul,Magsaysay,Davao del Sur,"0.274727846975089","0.048176081850534","0.846466907473307","0.376058925266902","0.392618804270462","1.613224061269724","0.218167128","0.714077473","1.188038386","1.0","0","0","0","3481009","56.52248155062496",77.1985249999999,13.537479,495.393582999999,237.857200999999,110.325884,105.672558
"3434039",Tacul,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074000000001","0.415072","0.429841000000001","0.965499069103423","0.218167128","0.714077473","1.188038386","1.0","0","0","0","3481009","57.35320097049808",30.158755,4.97619699999999,188.492534,91.3811780000001,41.6945770000001,40.261984
"3434040",San Isidro,Magsaysay,Davao del Sur,"0.310915","0.051301","0.942074","0.415071999999999","0.429841","0.695053238730999","0.270420132","0.714915339","1.197672393","1.0","0","0","0","3481009","58.218588095037454",22.38588,3.693672,139.911984,67.829328,30.948552,29.885184
"3434041",Balnate,Magsaysay,Davao del Sur,"0.307045304761905","0.051050104761905","0.93600262857143","0.412754971428571","0.428805704761905","0.595494459698097","0.220038805","0.705771526","1.184820888","1.0","0","0","1","3481009","59.11712049252547",32.2397570000001,5.36026099999999,202.885554,98.2802760000002,45.0245990000001,43.339272
"3434042",Tagaytay,Magsaysay,Davao del Sur,"0.107756","0.038129","0.623327","0.293428","0.375488","0.206626010075044","0.231853794","0.688116367","1.174662488","1.0","0","0","0","3481009","60.047310249834815",3.879216,1.372644,49.206384,22.439772,13.517568,10.563408
"3434043",Bacungan,Magsaysay,Davao del Sur,"0.107756","0.038129","0.623327","0.293428","0.375488","0.215341619343209","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","61.00770933698705",4.741264,1.677676,60.141136,27.426388,16.521472,12.910832
"3434044",Bacungan,Magsaysay,Davao del Sur,"0.107756","0.038129","0.623327","0.293428","0.375488","0.181630495962479","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","61.99691384476822",1.939608,0.686322,24.603192,11.219886,6.758784,5.281704
"3434045",Bacungan,Magsaysay,Davao del Sur,"0.107756","0.038129","0.623327","0.293428","0.375488","0.153652719590518","0.30012811","0.683040487","1.189839525","1.0","0","0","0","3481009","63.01356720146698",3.340436,1.181999,42.372164,19.323137,11.640128,9.09626800000001
"3434046",Malawanit,Magsaysay,Davao del Sur,"0.181563","0.083","1.185348","0.472064","0.601752","0.087899062527001","0.1225645","0.677304029","1.173486873","1.0","0","0","0","3481009","64.05636247949876",0.181562999992734,0.0829999999966783,2.31103899990751,1.18534799995256,0.601751999975917,0.472063999981108
"3434047",Malawanit,Magsaysay,Davao del Sur,"0.2691485","0.0773485","1.1671205","0.4860955","0.579793","0.083732732739166","0.1225645","0.677304029","1.173486873","1.0","0","0","0","3481009","65.12404390277057",2.153188,0.618788,18.442296,9.336964,4.638344,3.888764
"3434048",Asbang,Matanao,Davao del Sur,"0.356734","0.071697","1.148893","0.500127","0.557834","0.0733634161917","0.199532712","0.669408143","1.132956421","1.0","0","0","0","3481009","66.21540766248252",4.637542,0.932061,29.893955,14.935609,7.251842,6.501651
"3434049",Colonsabak,Matanao,Davao del Sur,"0.356734","0.071697","1.148893","0.500127","0.557834","0.070349714816061","0.112598605","0.667534174","1.043517024","1.0","0","1","1","3481009","67.3293021432588",2.140404,0.430182,13.79721,6.893358,3.347004,3.000762
"3434050",Colonsabak,Matanao,Davao del Sur,"0.356734","0.071697","1.148893","0.500127","0.557834","0.060046558837882","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","68.46462765423418",0.713468,0.143394,4.59907,2.297786,1.115668,1.000254
"3434051",Colonsabak,Matanao,Davao del Sur,,,,,,"0.054972366101557","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","69.62033575131386",0,0,0,0,0,0
"3434052",Colonsabak,Matanao,Davao del Sur,"0.459219111111111","0.111635888888889","1.686393888888889","0.734118333333333","0.875892888888889","0.107647992080922","0.112598605","0.667534174","1.043517024","1.0","0","0","0","3481009","70.7954282280052",4.132972,1.004723,30.997479,15.177545,7.883036,6.607065
