ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_rep_,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3136413",Polungguitguit,Santa Elena,Camarines Norte,,,,,,"3.485048309541666","1.92585589","2.269750214","0.840294395","0.0","0","0","0","3191699","57.74232432671364",0,0,0,0,0,0
"3136414",Basiad,Santa Elena,Camarines Norte,"8.366535000000002","3.918752","27.392076","9.32663","11.77585","1.327904093265533","1.87391734","2.266394424","0.859992664","0.0","0","0","1","3191699","57.24039976224718",33.46614,15.675008,231.441488,109.568304,47.1034,37.30652
"3136415",Basiad,Santa Elena,Camarines Norte,"8.366535000000002","3.918752","27.392076","9.32663","11.775850000000002","0.885355079744724","1.87391734","2.266394424","0.859992664","0.0","0","0","0","3191699","57.044046288767625",66.93228,31.350016,462.882976,219.136608,94.2068,74.61304
"3136416",Kagtalaba,Santa Elena,Camarines Norte,"1.979582","0.7464","7.312554000000004","2.855789999999999","3.245216","1.539886858824378","1.88040288","2.276588167","0.894857799","0.0","0","0","0","3191699","56.84305970506736",59.38746,22.392,438.10422,219.37662,97.35648,85.6737
"3136417",Plaridel,Santa Elena,Camarines Norte,,,,,,"7.12335427392993","1.660888891","2.264914989","0.9605296","0.0","0","0","0","3191699","56.28040536820935",0,0,0,0,0,0
"3136418",Kabuluan,Santa Elena,Camarines Norte,"39.461832","29.596374","174.11668","67.846659","81.865994","4.703715389883016","1.856621504","2.272644679","0.943946818","0.0","0","0","0","3191699","56.47687687949631",39.461832,29.596374,363.983478,174.11668,81.865994,67.846659
"3136419",Don Tomas,Santa Elena,Camarines Norte,"3.191393","1.886975","11.955061","4.419827","5.597603","3.188426949119116","1.899850992","2.213335991","0.967576618","0.0","0","0","0","3191699","56.73351105063828",2.62935485213825,1.55465869359041,21.045275024089,9.8496479900654,4.61180575641848,3.64144859879735
"3136420",Maulawin,Santa Elena,Camarines Norte,"2.177571500000001","1.125218166666667","8.322150166666667","3.310480000000001","3.903667000000001","1.111014324318279","1.8421819","2.266517878","0.945738409","0.0","0","0","0","3191699","56.77555322685121",26.130858,13.502618,211.97627,99.865802,46.844004,39.72576
"3136421",Maulawin,Santa Elena,Camarines Norte,"2.635116","1.414914","10.916908","4.997633","5.387059","0.591541786189679","1.8421819","2.266517878","0.945738409","0.0","0","0","0","3191699","56.865434791669685",13.17558,7.07457,116.30856,54.58454,26.935295,24.988165
"3136422",Patag Iraya,Santa Elena,Camarines Norte,,,,,,"0.925615018919895","1.677681962","2.221410615","0.934219831","0.0","0","0","0","3191699","56.91933602423761",0,0,0,0,0,0
"3137791",Del Pilar,Capalonga,Camarines Norte,,,,,,"1.227118071995324","1.638902709","2.213439178","0.846122088","0.0","0","0","0","3191699","57.37611214795328",0,0,0,0,0,0
"3137792",Salvacion,Santa Elena,Camarines Norte,"4.2737","1.837292","14.099217","5.791463","6.789991","0.79975739031671","1.865467742","2.266874313","0.823656222","0.0","0","0","0","3191699","57.095527056113454",7.83562310023333,3.36858638581882,56.8265799936032,25.8502352575994,12.4491214474522,10.6183684551903
"3137793",Salvacion,Santa Elena,Camarines Norte,"4.273699999999999","1.837292000000001","14.099217","5.791462999999998","6.789991","2.100503947734833","1.865467742","2.266874313","0.823656222","0.0","0","0","1","3191699","56.35372766463704",72.6529,31.233964,526.903321,239.686689,115.429847,98.454871
"3137794",Polungguitguit,Santa Elena,Camarines Norte,"3.200528","1.821577","12.427583","5.056154","5.703069","1.32340108854639","1.92585589","2.269750214","0.840294395","0.0","0","0","1","3191699","56.57190780972251",19.203168,10.929462,162.205494,74.565498,34.218414,30.336924
"3137795",Polungguitguit,Santa Elena,Camarines Norte,"3.200528","1.821577","12.427583","5.056154","5.703069","2.677893780825431","1.92585589","2.269750214","0.840294395","0.0","0","0","0","3191699","56.20092233691192",6.401056,3.643154,54.068498,24.855166,11.406138,10.112308
"3137796",San Vicente,Santa Elena,Camarines Norte,"2.18229","1.414726","9.030168","3.882972","4.605385","0.637652781795473","1.900343336","2.274449893","0.906342697","0.0","0","0","0","3191699","55.94114672283835",2.18229,1.414726,18.391441,9.030168,4.605385,3.882972
"3137797",San Vicente,Santa Elena,Camarines Norte,"3.173083279999999","1.690956960000001","11.735098719999998","4.56144832","5.50134752","0.514401733562663","1.900343336","2.274449893","0.906342697","0.0","0","0","0","3191699","55.718143577273125",79.327082,42.273924,605.609398,293.377468,137.533688,114.036208
"3137798",Kagtalaba,Santa Elena,Camarines Norte,"1.979582","0.7464","7.312554","2.85579","3.245216","0.743235945382289","1.88040288","2.276588167","0.894857799","0.0","0","0","0","3191699","55.54092666337575",3.959164,1.4928,29.206948,14.625108,6.490432,5.71158
"3137799",Kagtalaba,Santa Elena,Camarines Norte,"1.979582","0.7464","7.312554","2.85579","3.245216","2.350093313424884","1.88040288","2.276588167","0.894857799","0.0","0","0","0","3191699","55.4122691704981",0.249449409724348,0.0940547243904286,1.84020059246087,0.921463358869409,0.408933408986347,0.359861389827093
"3137800",Kabuluan,Santa Elena,Camarines Norte,"2.21388","1.289528","9.597282","4.085407","4.815759","2.611947176591405","1.856621504","2.272644679","0.943946818","0.0","0","0","0","3191699","55.332509828356805",6.64164,3.868584,59.363925,28.791846,14.447277,12.256221
"3137801",Kabuluan,Santa Elena,Camarines Norte,"5.609422266666668","3.734268266666667","22.7658356","8.648282466666666","10.682162400000005","0.988554632245449","1.856621504","2.272644679","0.943946818","0.0","0","0","0","3191699","55.3018602100061",84.141334,56.014024,721.596832,341.487534,160.232436,129.724237
"3137802",Kabuluan,Santa Elena,Camarines Norte,"3.191393","1.886975","11.955061","4.419826999999999","5.597603","1.070672452659674","1.856621504","2.272644679","0.943946818","0.0","0","0","0","3191699","55.32040194344245",38.296716,22.6437,306.525732,143.460732,67.171236,53.037924
"3137803",Maulawin,Santa Elena,Camarines Norte,"2.714584142857143","1.482351285714286","11.065215571428572","4.915089285714286","5.417136714285716","0.762896045938238","1.8421819","2.266517878","0.945738409","0.0","0","0","1","3191699","55.388085628690646",19.002089,10.376459,165.114083,77.456509,37.919957,34.405625
"3137804",Maulawin,Santa Elena,Camarines Norte,"2.951565151515152","1.659181636363637","12.918997030303045","5.691846787878792","6.47151545454545","2.581052023808933","1.8421819","2.266517878","0.945738409","0.0","0","1","0","3191699","55.49135107653048",97.40165,54.752994,897.935951,426.326902,213.56001,187.830944
"3139171",Del Pilar,Capalonga,Camarines Norte,,,,,,"4.005541467666627","1.638902709","2.213439178","0.846122088","0.0","0","0","0","3191699","56.492279060642126",0,0,0,0,0,0
"3139172",Del Pilar,Capalonga,Camarines Norte,"1.968414","0.607081","6.622701","2.557098","2.860639","1.611216736083128","1.638902709","2.213439178","0.846122088","0.0","0","0","0","3191699","56.20192676841736",5.905242,1.821243,41.502258,19.868103,8.581917,7.671294
"3139173",Del Pilar,Capalonga,Camarines Norte,,,,,,"0.621868921436279","1.638902709","2.213439178","0.846122088","0.0","0","0","0","3191699","56.094346843306326",0,0,0,0,0,0
