ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youthmean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3109236",Poblacion,Sibuco,Zamboanga del Norte,"3.205620185185183","1.245093796296294","12.79892235185185","5.316059481481478","6.628732759259274","17.395669300286542","0.974411785","0.758415818","0.849576477","1.0","0","0","1","3165865","79.88853994469596",346.20698,134.47013,2811.48908999999,1382.283614,715.903138000001,574.134424
"3109237",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"14.157003","7.365468","66.193555","29.07925","35.775129","1.176085959839565","0.379297713","0.750569968","0.834800285","1.0","0","0","0","3165865","81.041715638632",14.1570029987969,7.36546799937405,131.239244988847,66.1935549943746,35.7751289969597,29.0792499975287
"3109238",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"3.10867675","1.17122","10.2000985","4.2053605","5.00240575","0.494590380125576","0.379297713","0.750569968","0.834800285","1.0","0","0","0","3165865","82.2036789450247",12.434707,4.68488,82.065896,40.800394,20.009623,16.821442
"3109239",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"8.007403882352943","2.965800411764707","28.200184352941168","10.816940941176473","13.79045764705882","0.582981905598435","0.379297713","0.750569968","0.834800285","0.0","0","0","1","3165865","83.38209224322878",136.125866,50.418607,948.836233,479.403134,234.43778,183.887996
"3109240",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"9.489018","3.367071","34.512478","14.310052","17.98322","0.573458281821675","0.379297713","0.750569968","0.834800285","1.0","0","0","0","3165865","84.57626793636325",9.48901799962024,3.36707099986525,70.2493449971886,34.5124779986188,17.9832199992803,14.3100519994273
"3109241",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"1.762379","0.803892","7.729731","3.895785","4.143136","0.481046444327711","0.379297713","0.750569968","0.834800285","1.0","0","0","1","3165865","85.7855477674275",1.76237899985022,0.803891999931682,15.8459489986533,7.72973099934309,4.1431359996479,3.89578499966892
"3109242",Tangarak,Sibuco,Zamboanga del Norte,"1.600054","0.626108","6.017596","2.887055","3.095756999999999","0.097551612866868","0.217496482","0.755871723","0.862459741","1.0","0","0","0","3165865","87.00930197458572",9.600324,3.756648,78.367884,36.105576,18.574542,17.32233
"3109243",Tangarak,Sibuco,Zamboanga del Norte,,,,,,"0.085708877058338","0.217496482","0.755871723","0.862459741","1.0","0","0","0","3165865","88.24692839521283",0,0,0,0,0,0
"3109244",Tangarak,Sibuco,Zamboanga del Norte,,,,,,"0.485463659395881","0.217496482","0.755871723","0.862459741","0.0","0","0","0","3165865","89.49785153351753",0,0,0,0,0,0
"3109245",Tangarak,Sibuco,Zamboanga del Norte,,,,,,"0.681395282521519","0.217496482","0.755871723","0.862459741","0.0","0","0","0","3165865","90.67035418945274",0,0,0,0,0,0
"3109256",Dulian (Upper Pasonanca),City of Zamboanga,Zamboanga del Sur,,,,,,"1.073721258708239","0.264786172","0.688034058","0.874444589","1.0","0","0","0","3165865","106.15048735953872",0,0,0,0,0,0
