ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI
3440826,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,43.79683987075456,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3440827,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,45.78800489536011,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3440828,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,46.78174537262791,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3442208,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,43.18356478630524,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3442209,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,44.48040100474295,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3442210,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,46.01340713082075,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3443557,Vinapor,Carmen,Agusan del Norte,0.837219384,1.318293413,0.941899346,0.0,0,0,0,3453239,14.870984870818775,2.281514,1.69191,17.32071,8.288648,3.40091,3.204374,0.3823534825942351
3443558,Vinapor,Carmen,Agusan del Norte,0.837219384,1.318293413,0.941899346,0.0,0,0,1,3453239,14.162418442503265,116.357214,86.2874100000002,883.356209999999,422.721048,173.44641,163.423074,0.4303911166625461
3443559,Vinapor,Carmen,Agusan del Norte,0.837219384,1.318293413,0.941899346,1.0,0,0,0,3453239,12.9280954094852,19.392869,14.381235,147.226035,70.453508,28.907735,27.237179,0.49439449508125
3443560,Gosoon,Carmen,Agusan del Norte,0.772834424,1.292346478,0.942017146,1.0,0,0,0,3453239,11.679390648208376,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3443589,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,41.88888732519938,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3443590,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,43.3394114922715,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3443591,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,1,3453239,44.94310635009997,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3443592,Guibonon,Esperanza,Agusan del Sur,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,46.09233647222898,0.0,0.0,0.0,0.0,0.0,0.0,0.5
