ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
3098856,San Miguel,Baggao,Cagayan,,,,,,0.093625272319106,1.03077069,1.200019603,0.941543378,1.0,0,0,0,3071221,30.089368360528717
3098857,Lapi,Penablanca,Cagayan,,,,,,0.010190305380067,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,29.68789256350747
3098858,Lapi,Penablanca,Cagayan,,,,,,0.009405437728896,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,29.37374351332977
3098859,Lapi,Penablanca,Cagayan,,,,,,0.008136412031528,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,29.149744732706043
3098860,Lapi,Penablanca,Cagayan,,,,,,0.006755252573575,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,29.01798399474792
3098861,Lapi,Penablanca,Cagayan,,,,,,0.006433655971918,0.006932971,1.077282292,0.707687637,1.0,0,0,1,3071221,28.979719454674303
3098862,Lapi,Penablanca,Cagayan,,,,,,0.005953464687577,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,29.035320764720204
3098863,Lapi,Penablanca,Cagayan,,,,,,0.006542052210468,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,29.184251439882864
3098865,Lapi,Penablanca,Cagayan,,,,,,0.007891030945332,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,29.755617914176433
3098866,Lapi,Penablanca,Cagayan,,,,,,0.006899293180862,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,30.1728749566114
3098867,Lapi,Penablanca,Cagayan,,,,,,0.00609798761162,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,30.67332616263763
3098868,Lapi,Penablanca,Cagayan,,,,,,0.006574670060709,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3071221,31.252975249096632
3098869,Lapi,Penablanca,Cagayan,,,,,,0.007647556056879,0.006932971,1.077282292,0.707687637,0.0,0,0,0,3071221,31.907506256986917
3098870,Lapi,Penablanca,Cagayan,,,,,,0.006903126547785,0.006932971,1.077282292,0.707687637,1.0,0,0,0,3075388,31.657369503403206
3098871,Lapi,Penablanca,Cagayan,,,,,,0.006059099167381,0.006932971,1.077282292,0.707687637,0.0,0,0,0,3075388,30.58549631050636
