ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
3440826,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.018138969006638,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,43.79683987075456,0.5486860500066112
3440827,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.017869290258539,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,45.78800489536011,0.5486860500066112
3440828,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.023482106005152,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,46.78174537262791,0.5486860500066112
3442208,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.019192994199693,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,43.18356478630524,0.5486860500066112
3442209,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.017512711172909,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,44.48040100474295,0.5486860500066112
3442210,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.017441482275899,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,46.01340713082075,0.5486860500066112
3443557,Vinapor,Carmen,Agusan del Norte,1.140757,0.845955,4.144324,1.602187,1.700455,8.676807775537021,0.837219384,1.318293413,0.941899346,0.0,0,0,0,3453239,14.870984870818775,0.3823534825942351
3443558,Vinapor,Carmen,Agusan del Norte,1.140756999999998,0.845955000000002,4.144323999999997,1.602186999999997,1.700455000000003,6.9922875047804,0.837219384,1.318293413,0.941899346,0.0,0,0,1,3453239,14.162418442503265,0.42269995908309344
3443559,Vinapor,Carmen,Agusan del Norte,1.140757,0.845955,4.144323999999999,1.602187,1.700455000000001,2.474130858977636,0.837219384,1.318293413,0.941899346,1.0,0,0,0,3453239,12.9280954094852,0.4943944950343851
3443560,Gosoon,Carmen,Agusan del Norte,0.0,0.0,0.0,0.0,0.0,1.39908766746521,0.772834424,1.292346478,0.942017146,1.0,0,0,0,3453239,11.679390648208376,0.4970645344077913
3443589,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.019670691769356,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,41.88888732519938,0.5486860500066112
3443590,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.020334539749416,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,43.3394114922715,0.5486860500066112
3443591,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.024907024885467,0.241422836,1.229516917,0.67932649,1.0,0,0,1,3453239,44.94310635009997,0.5934284790048727
3443592,Guibonon,Esperanza,Agusan del Sur,0.0,0.0,0.0,0.0,0.0,0.02463401827429,0.241422836,1.229516917,0.67932649,1.0,0,0,0,3453239,46.09233647222898,0.5486860500066112
3444940,Vinapor,Carmen,Agusan del Norte,1.140757,0.845955,4.144323999999999,1.602187,1.700455,4.427296933005838,0.837219384,1.318293413,0.941899346,0.0,0,0,1,3453239,14.073719670572975,0.42269995908309344
3444941,Vinapor,Carmen,Agusan del Norte,1.140756999999997,0.845955000000002,4.144323999999997,1.602186999999997,1.700455000000003,6.202406209587252,0.837219384,1.318293413,0.941899346,0.0,0,0,0,3453239,13.037823779034229,0.3823534825942351
3444942,San Agustin,Carmen,Agusan del Norte,1.293409185567006,0.926449530927832,5.38530737113405,1.80187773195876,2.301237396907219,7.563168698990786,0.71486195,1.293281364,0.961858561,1.0,0,0,1,3453239,11.713664191755662,0.5452746301474111
3444943,San Agustin,Carmen,Agusan del Norte,2.68516186111111,2.038351138888888,10.593804722222211,4.274348611111108,4.96438413888889,3.663379634321914,0.71486195,1.293281364,0.961858561,1.0,0,0,1,3453239,10.54939417366937,0.5452746301474111
3444944,San Agustin,Carmen,Agusan del Norte,1.545734333333334,1.086946288888888,6.267995355555552,2.555046933333336,3.008803822222219,1.489830559430023,0.71486195,1.293281364,0.961858561,1.0,0,0,0,3453239,9.554260200406516,0.495908592057926
3444945,Cahayagan,Carmen,Agusan del Norte,1.014913,0.74225,4.40048,1.730653,2.120713,1.353744837641716,0.857862998,1.299020529,1.018926239,1.0,0,0,0,3453239,8.688888694059257,0.48408647650913006
3444947,Manoligao,Carmen,Agusan del Norte,0.0,0.0,0.0,0.0,0.0,2.118743062019348,0.845928871,1.304867554,0.99084307,0.0,0,0,0,3453239,8.34626633693594,0.3777636410853287
3444948,Manoligao,Carmen,Agusan del Norte,0.924724,0.400396,3.031569,0.905658,1.258387,1.730731543567446,0.845928871,1.304867554,0.99084307,0.0,0,0,0,3453239,8.17010143315234,0.3777636410853287
