ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI
3014921,Purnaga,Magsaysay,Occidental Mindoro,1.018336935,1.53665445,1.19610809,1.0,0,0,0,3014921,1.76732216245574e-13,43.049448,8.880543,251.445951,121.705605,55.059318,47.870298,0.46470186223349924
3014922,Gapasan,Magsaysay,Occidental Mindoro,1.183091019,1.496703515,1.115218547,1.0,0,0,0,3014922,0.0,40.484059,21.268571,313.87815,155.006279,74.468308,54.973718,0.4690002983270124
3014923,Poblacion,Magsaysay,Occidental Mindoro,0.007526885,1.436901487,1.03685181,0.0,0,0,1,3014923,0.0,243.396077,163.594069,2101.186226,1044.075929,510.466716000001,358.044906,0.4265830472299483
3014924,Nicolas (Bulo),Magsaysay,Occidental Mindoro,1.243322532,1.456769235,1.011168312,0.0,0,0,0,3014924,0.0,34.750489,19.333773,272.450657,134.544103,63.838132,47.173112,0.3701542631154293
3014925,Calawag,Magsaysay,Occidental Mindoro,1.302483969,1.386227608,1.020836598,0.0,0,0,0,3014925,0.0,88.9045079999999,24.352108,525.116284,253.571076,106.87864,96.05552,0.37045824573828445
3014926,Laste,Magsaysay,Occidental Mindoro,1.338828938,1.385961805,0.952838005,0.0,0,0,1,3014926,0.0,148.97004,42.152242,948.96148,457.173810000001,214.667056,205.108208,0.4119054079642525
3014927,Sibalat,Magsaysay,Occidental Mindoro,0.007772095,1.383996851,0.974356583,0.0,0,0,1,3014927,0.0,128.557388,39.803287,883.882806,421.852157,196.114217,178.567808,0.43243618965059893
3014928,Sibalat,Magsaysay,Occidental Mindoro,0.007772095,1.383996851,0.974356583,0.0,0,0,0,3014928,0.0292419398944727,57.54413,18.69454,402.22473,193.07955,90.25958,77.40708,0.390457470462605
3015107,Magsaysay,Cagayancillo,Palawan,1.47752453,0.493992597,0.550953454,0.0,0,1,0,3015107,0.0599213189236396,61.525572,65.50506,736.216504,366.41997,174.796754,135.837786,0.489109182342782
3016230,Lazareto,City of Calapan,Oriental Mindoro,0.836322744,1.706262827,0.69020776,0.0,0,0,0,3016230,0.0187857165898676,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3016231,Lazareto,City of Calapan,Oriental Mindoro,0.836322744,1.706262827,0.69020776,0.0,0,0,1,3016231,0.125814350141622,1068.765486,532.618843999999,8759.25550099999,4298.43694400001,2124.45486400001,1660.301568,0.42851847393478965
3016232,Ilaya (Pob.),City of Calapan,Oriental Mindoro,0.8218464,1.608377814,0.754952331,0.0,0,0,1,3016232,0.0,446.115505999999,297.846832,4085.41475800001,2070.79708,1067.014524,770.680403000001,0.42719024593663635
3016233,Bondoc,City of Calapan,Oriental Mindoro,0.720165705,1.631863832,0.779965243,0.0,0,0,1,3016233,1.76387036135719e-13,396.146096,248.437219,3738.28465999999,1877.47792,983.564607999999,743.619792,0.4265010135897917
3016234,Bulusan,City of Calapan,Oriental Mindoro,0.75340306,1.606778026,0.774814583,0.0,0,0,0,3016234,3.52774072271438e-13,52.748035,30.477194,490.710405,247.539947,131.311363,99.974016,0.3859383618314254
3016235,Palhi,City of Calapan,Oriental Mindoro,0.862719497,1.669698834,0.799613244,0.0,0,0,0,3016235,3.52774072271438e-13,152.384917,90.1062989999999,1331.576164,671.331832000001,337.041136000001,256.813348999999,0.3815396632263782
3016236,Sapul,City of Calapan,Oriental Mindoro,0.910087863,1.651900291,0.831342905,0.0,0,0,0,3016236,1.76387036135719e-13,18.771263,10.993455,154.809212,76.490138,37.534934,28.068121,0.379575609734252
3016237,Putingtubig,City of Calapan,Oriental Mindoro,0.913790118,1.638016292,0.93086938,0.0,0,0,0,3016237,1.76732216245574e-13,116.343164,72.227017,1201.382567,587.479297,304.760056,243.189088,0.3745034233377829
3016238,Bucayao,City of Calapan,Oriental Mindoro,0.892206319,1.634665489,0.980683843,0.0,0,1,1,3016238,3.52774072271438e-13,116.984098,72.689678,1215.862683,594.717537,309.045878,247.016495,0.48008161687756234
3016239,Bucayao,City of Calapan,Oriental Mindoro,0.892206319,1.634665489,0.980683843,0.0,0,0,1,3016239,0.0,185.319825,89.6708800000002,1590.828105,783.790089999999,409.82924,339.420940000001,0.4103284420835699
3016240,Sampaguita,Naujan,Oriental Mindoro,0.898813721,1.623840014,0.97925005,0.0,0,1,0,3016240,3.52774072271438e-13,23.94835,12.286841,208.993991,103.937453,55.076103,44.722468,0.4325281286705691
3016241,Sampaguita,Naujan,Oriental Mindoro,0.898813721,1.623840014,0.97925005,0.0,0,0,1,3016241,5.29161108407157e-13,8.596368,6.105836,82.18771,40.451136,21.008878,15.264579,0.4106134494631004
3016242,Santo Nino,Naujan,Oriental Mindoro,0.880752679,1.59947534,1.014860779,0.0,0,0,1,3016242,0.0,123.602832,87.806886,1183.341648,582.547626,300.759132,219.636684,0.4092814515353993
3016243,Santo Nino,Naujan,Oriental Mindoro,0.880752679,1.59947534,1.014860779,0.0,0,0,0,3016243,0.0,35.0879760000001,25.000173,344.300814,170.176743,78.5093760000001,63.1583369999999,0.37140311230965267
3016244,Apitong,Naujan,Oriental Mindoro,0.830931047,1.568475829,1.024941208,0.0,0,0,1,3016244,1.76387036135719e-13,209.079204000001,103.722492,1783.989128,866.290555999997,409.640612000001,322.416064,0.4102668205149188
