ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"2937258",San Pascual,Tuba,Benguet,,,,,,"0.859442710876465","0.660628152","1.040006002","1.016221507",,"0","0","0","2949695","11.881193840971765",0,0,0,0,0,0
"2938639",San Pascual,Tuba,Benguet,"0.159418","0.109788","0.74295","0.33538","0.39253","0.428710916367444","0.660628152","1.040006002","1.016221507","0.0","0","0","0","2949695","10.5210394418903",4.463704,3.074064,42.700084,20.8026,10.99084,9.39064
"2938640",San Pascual,Tuba,Benguet,,,,,,"0.56916783667273","0.660628152","1.040006002","1.016221507","0.0","0","0","0","2949695","10.795343755022854",0,0,0,0,0,0
"2938641",San Pascual,Tuba,Benguet,"0.361632","0.402346","1.911143","0.699316","0.936412","0.772158755545031","0.660628152","1.040006002","1.016221507",,"0","1","0","2949695","11.184975505628888",2.169792,2.414076,22.531374,11.466858,5.618472,4.195896
"2939947",Tangadan,San Quintin,Abra,,,,,,"0.183273532324367","0.889123002","0.085880665","1.329498543","1.0","0","0","0","2945473","6.61396091304037",0,0,0,0,0,0
"2939948",Tangadan,San Quintin,Abra,,,,,,"0.931136561045191","0.889123002","0.085880665","1.329498543","1.0","0","0","0","2945473","7.643160849616566",0,0,0,0,0,0
"2940014",Poblacion,Sablan,Benguet,"0.65782693258427","0.559071640449439","3.524951539325844","1.277259797752811","1.872635674157303","4.821399464326746","0.548450539","0.993987004","1.064979092",,"0","1","0","2949695","13.942798066982292",58.5465970000001,49.757376,631.101639,313.720687,166.664575,113.676122
"2940015",Poblacion,Sablan,Benguet,"0.233788","0.202088","1.244230000000001","0.502249","0.640937","2.639014874185835","0.548450539","0.993987004","1.064979092","0.0","0","0","0","2949695","12.940178665484453",5.610912,4.850112,62.93268,29.86152,15.382488,12.053976
"2940016",Bayabas,Sablan,Benguet,,,,,,"0.566044073065502","0.372182042","1.009904981","1.014086761","0.0","0","0","0","2949695","11.577683536956728",0,0,0,0,0,0
"2940018",Nangalisan,Tuba,Benguet,,,,,,"2.195960760116577","0.411731021","1.028937022","0.988501768",,"0","0","0","2949695","9.71008791785904",0,0,0,0,0,0
"2940019",Nangalisan,Tuba,Benguet,"0.550533951219511","0.326627170731707","2.382375268292678","1.069893756097561","1.224175414634147","3.520436568260193","0.411731021","1.028937022","0.988501768",,"0","1","0","2949695","9.26138458183392",22.571892,13.391714,201.898679,97.6773859999998,50.191192,43.865644
