ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI
3024628,Harigue,Caluya,Antique,0.981653492,1.291154861,0.657261349,0.0,0,0,0,3053645,29.808381734500816,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3026009,Harigue,Caluya,Antique,0.981653492,1.291154861,0.657261349,0.0,0,0,0,3053645,29.304915696823155,3.84336622942618,0.711107343465057,22.7808327067508,10.8274561871081,5.29097735663121,4.42749009592259,0.3950965068605514
3026010,Harigue,Caluya,Antique,0.981653492,1.291154861,0.657261349,0.0,0,0,0,3053645,29.04070157330929,247.066082,45.712663,1464.437877,696.029735,340.123987,284.615768,0.4572279576535203
3027392,Harigue,Caluya,Antique,0.981653492,1.291154861,0.657261349,0.0,0,0,0,3053645,28.65847364714841,24.104008,4.459772,142.871988,67.90534,33.182828,27.767392,0.39512521920385985
3031522,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,28.26209731833148,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3031523,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,27.571437768117768,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3032903,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,28.977047410000075,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3032904,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,28.09454003389371,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3032905,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,27.130006883187395,1.307802,0.47625,8.640546,4.278696,1.746252,1.360716,0.43216708901694967
3032906,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,25.98669300491385,1.089835,0.396875,7.200455,3.56558,1.45521,1.13393,0.43216708901694967
3032907,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,24.74821595019084,3.705439,1.349375,24.481547,12.122972,4.947714,3.855362,0.43216708901694967
3034284,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,28.475428413746247,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3034285,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,27.717242036496053,1.961703,0.714375,12.960819,6.418044,2.619378,2.041074,0.43216708901694967
3034286,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,26.5810904213773,0.871868,0.3175,5.760364,2.852464,1.164168,0.907144,0.43216708901694967
3034287,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,1,3053645,25.511745125049178,17.655327,6.429375,116.647371,57.762396,23.574402,18.369666,0.48002384393342745
3034288,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,24.520544695438787,0.435934,0.15875,2.880182,1.426232,0.582084,0.453572,0.43216708901694967
3034289,Alegria,Caluya,Antique,0.819766806,1.385697259,0.660811975,0.0,0,0,0,3053645,23.456974474889066,10.680383,3.889375,70.564459,34.942684,14.261058,11.112514,0.3973185789637772
3034290,Alegria,Caluya,Antique,0.819766806,1.385697259,0.660811975,0.0,0,0,0,3053645,22.511552256882773,0.653901,0.238125,4.320273,2.139348,0.873126,0.680358,0.39731857893803824
3034291,Alegria,Caluya,Antique,0.819766806,1.385697259,0.660811975,0.0,0,0,0,3053645,21.52883130845128,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3035666,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,28.036510375109167,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3035667,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,27.330033814561148,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3035668,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,26.125022340358637,0.871868,0.3175,5.760364,2.852464,1.164168,0.907144,0.43216708901694967
3035669,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,24.97095668344101,22.450601,8.17562499999999,148.329373,73.450948,29.9773260000001,23.358958,0.4321721897487967
3035670,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,0,3053645,23.827919625708063,5.449175,1.984375,36.002275,17.8279,7.27605,5.66965,0.43216708901694967
3035671,Semirara,Caluya,Antique,0.007850663,1.365578788,0.630727465,0.0,0,0,1,3053645,22.83571366230776,25.9380730000001,9.445625,171.370829,84.8608039999999,34.633998,26.987534,0.48002633699055397
3035672,Alegria,Caluya,Antique,0.819766806,1.385697259,0.660811975,0.0,0,0,0,3053645,21.89336393464992,1.961703,0.714375,12.960819,6.418044,2.619378,2.041074,0.39731857893803824
3035673,Alegria,Caluya,Antique,0.819766806,1.385697259,0.660811975,0.0,0,0,0,3053645,21.02699782214496,3.269505,1.190625,21.601365,10.69674,4.36563,3.40179,0.39731857893803824
