ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
3116783,Santa Clara,Santa Ana,Cagayan,0.838477,0.473643,3.104283,1.267316,1.491336,0.268038848640597,0.853957425,2.099474863,0.800137248,0.0,0,0,0,3065658,55.33384801775592,0.3756141169527696
3116784,Santa Clara,Santa Ana,Cagayan,0.0,0.0,0.0,0.0,0.0,0.094028134423843,0.853957425,2.099474863,0.800137248,1.0,0,0,0,3065658,54.922264673887454,0.4849456936623465
3116785,Patunungan,Santa Ana,Cagayan,0.0,0.0,0.0,0.0,0.0,0.055569223112257,0.822150898,1.995034218,0.70531439,0.0,0,0,0,3065658,54.55749581693956,0.3845241496519736
3116786,Patunungan,Santa Ana,Cagayan,0.0,0.0,0.0,0.0,0.0,0.04379270073658,0.822150898,1.995034218,0.70531439,0.0,0,0,0,3065658,54.2404859440943,0.3845241496519736
3116787,Patunungan,Santa Ana,Cagayan,0.0,0.0,0.0,0.0,0.0,0.039557560950413,0.822150898,1.995034218,0.70531439,0.0,0,0,0,3065658,53.97207661464572,0.3845241496519736
3116788,Patunungan,Santa Ana,Cagayan,0.0,0.0,0.0,0.0,0.0,0.038250126084472,0.822150898,1.995034218,0.70531439,0.0,0,0,0,3065658,53.7529958795864,0.3845241496519736
3116789,Santa Maria,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.037155946928622,0.856500014,1.978086992,0.716353353,0.0,0,0,0,3065658,53.583848793568535,0.38287040277881923
3116790,Santa Maria,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.034736787887527,0.856500014,1.978086992,0.716353353,0.0,0,0,0,3065658,53.465109285200896,0.38287040277881923
3116791,Santa Maria,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.029224627535662,0.856500014,1.978086992,0.716353353,0.0,0,0,0,3065658,53.39711363312434,0.38287040277881923
3116792,Santa Maria,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.027541932096238,0.856500014,1.978086992,0.716353353,0.0,0,0,0,3065658,53.380055753256144,0.38287040277881923
3116793,Santa Maria,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.073626646134135,0.856500014,1.978086992,0.716353353,0.0,0,0,0,3065658,53.41398444950199,0.38287040277881923
3116794,Cabiraoan,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.089782028344192,0.004557775,1.978084351,0.716894647,0.0,0,0,0,3065658,53.49880271817621,0.41866704276431127
3116795,Cabiraoan,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.087398998674593,0.004557775,1.978084351,0.716894647,0.0,0,0,0,3065658,53.63426912914567,0.41866704276431127
3116796,Cabiraoan,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.085687318894391,0.004557775,1.978084351,0.716894647,0.0,0,0,0,3065658,53.82000123807144,0.41866704276431127
3116797,Cabiraoan,Gonzaga,Cagayan,0.0,0.0,0.0,0.0,0.0,0.091385167463334,0.004557775,1.978084351,0.716894647,0.0,0,0,0,3065658,54.055480918214585,0.41866704276431127
3116798,Dagupan,Lal-Lo,Cagayan,0.0,0.0,0.0,0.0,0.0,0.02961394561237,0.004463237,1.999878836,0.89731214,0.0,0,0,0,3065658,54.34006144083233,0.4054642244002051
3116799,Dagupan,Lal-Lo,Cagayan,0.0,0.0,0.0,0.0,0.0,0.006728371826868,0.004463237,1.999878836,0.89731214,0.0,0,0,0,3065658,54.672976083471895,0.4054642244002051
3116800,Dagupan,Lal-Lo,Cagayan,0.118517,0.129571,0.677943,0.265282,0.361692,0.017267666517025,0.004463237,1.999878836,0.89731214,0.0,0,0,0,3065658,55.05334800777444,0.4054642244002051
3116801,Dagupan,Lal-Lo,Cagayan,0.118517,0.129571,0.677943,0.265282,0.361692,0.048420002972035,0.004463237,1.999878836,0.89731214,0.0,0,0,0,3065658,55.480201124290566,0.4054642244002051
3116802,Dagupan,Lal-Lo,Cagayan,1.195374,0.787588,5.349198,1.954976,2.770549,0.489566181297019,0.004463237,1.999878836,0.89731214,0.0,0,0,0,3065658,55.95011210869763,0.4054642244002051
3116806,Bolos Point,Gattaran,Cagayan,0.0,0.0,0.0,0.0,0.0,0.334493560095628,0.007648313,1.685109456,0.639114812,1.0,0,0,0,3069833,54.26416768408552,0.5531297253534688
3116808,Bolos Point,Gattaran,Cagayan,0.60192,0.275578,2.400428999999999,1.145824,1.240101,0.13561798220589,0.007648313,1.685109456,0.639114812,1.0,0,0,0,3069833,53.008128834841024,0.5531297253534688
3116809,Bolos Point,Gattaran,Cagayan,0.60192,0.275578,2.400429,1.145824,1.240101,0.272311123110998,0.007648313,1.685109456,0.639114812,1.0,0,0,0,3069833,52.501770752695016,0.5531297253534688
3116810,Santa Margarita,Baggao,Cagayan,0.0,0.0,0.0,0.0,0.0,0.220465158394883,0.007578263,1.283066497,0.776533604,1.0,0,0,0,3069833,51.96253482971719,0.5527976835322208
3116811,Santa Margarita,Baggao,Cagayan,0.0,0.0,0.0,0.0,0.0,1.557744786143303,0.007578263,1.283066497,0.776533604,1.0,0,0,0,3069833,51.056036625602935,0.5527976835322208
3116812,Santa Margarita,Baggao,Cagayan,0.0,0.0,0.0,0.0,0.0,0.437345305085182,0.007578263,1.283066497,0.776533604,0.0,0,0,0,3069833,50.62427192376918,0.4311157054630282
3116813,Santa Margarita,Baggao,Cagayan,0.0,0.0,0.0,0.0,0.0,0.238186759750048,0.007578263,1.283066497,0.776533604,0.0,0,0,0,3069833,50.11355035977099,0.4311157054630282
3116814,Santa Margarita,Baggao,Cagayan,0.0,0.0,0.0,0.0,0.0,0.211993668885792,0.007578263,1.283066497,0.776533604,0.0,0,0,0,3069833,49.9075291551838,0.4311157054630282
3116815,Santa Margarita,Baggao,Cagayan,0.0,0.0,0.0,0.0,0.0,0.192970297183872,0.007578263,1.283066497,0.776533604,0.0,0,0,0,3069833,49.73250267639492,0.4311157054630282
