ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
2953976,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663502,0.252763,2.920073000000001,1.042646,1.574223000000001,3.485507818272239,0.818003779,1.093190034,0.907144563,1.0,0,0,1,2971948,19.2809199786475,0.5701289733922111
2953987,Papaya,Nasugbu,Batangas,1.150501,0.298401,3.753219,1.661098,1.946236,0.556060426247617,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,20.4716948101641,0.5196225108256428
2953988,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.202112029083598,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,21.1727049281938,0.5196225108256428
2953989,Papaya,Nasugbu,Batangas,1.150501000000002,0.298400999999999,3.753219000000001,1.661098000000002,1.946235999999999,1.349031349912024,0.56738605,1.355278015,0.956775958,1.0,0,0,1,2971948,22.1435331691698,0.5675088411891945
2953990,Papaya,Nasugbu,Batangas,1.150501,0.298401,3.753219000000001,1.661098,1.946236,0.973681951752146,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,23.0117023761023,0.5196225108256428
2953991,Papaya,Nasugbu,Batangas,1.143782027027026,0.301339702702703,3.744546270270271,1.654000513513514,1.940708648648648,0.997854253792675,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,24.292659728899,0.5196225108256428
2953992,Calayo,Nasugbu,Batangas,1.157041897058824,0.553359654411764,4.66462776470588,1.982548764705881,2.320780573529415,6.330824928337268,0.565027638,1.360594654,1.046446899,1.0,0,0,1,2971948,25.0359708072226,0.5583928809039715
2953993,Balaytigui,Nasugbu,Batangas,0.617505994708993,0.211352603174603,2.373385693121688,0.883161730158732,1.239680730158724,3.461016191530597,0.547602389,1.379736423,1.061817203,1.0,0,0,1,2971948,26.7401784264248,0.5569596730149925
2953994,Balaytigui,Nasugbu,Batangas,0.516649255319152,0.148748638297872,1.944541574468106,0.680197702127662,1.036404617021269,6.086384219319924,0.547602389,1.379736423,1.061817203,0.0,0,0,0,2971948,27.742286497926,0.39274045088736
2954004,Luyahan,Lian,Batangas,0.341413,0.278922,1.694873,0.609666,0.871823,3.135285545278478,0.441061686,1.593830109,1.084020529,0.0,0,0,0,2985780,36.7451649834318,0.38954663485657015
2954005,Luyahan,Lian,Batangas,0.0,0.0,0.0,0.0,0.0,8.797543059833632,0.441061686,1.593830109,1.084020529,0.0,0,0,0,2985780,37.0586793529353,0.38954663485657015
2955358,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.0,0.0,0.0,0.0,0.0,1.507623278177701,0.818003779,1.093190034,0.907144563,0.0,0,0,0,2971948,18.3038116969437,0.404138921023228
2955359,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.0,0.0,0.0,0.0,0.0,2.214566588401794,0.818003779,1.093190034,0.907144563,1.0,0,0,0,2971948,17.5773841023764,0.5224896198233209
2955360,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663502,0.252763,2.920073,1.042646,1.574223,1.696022477000952,0.818003779,1.093190034,0.907144563,0.0,0,0,0,2971948,16.5318894785269,0.404138921023228
2955367,Sapang I,Ternate,Cavite,0.0,0.0,0.0,0.0,0.0,0.32058197259903,0.548473561,1.389226278,0.939100396,0.0,0,0,0,2971948,16.4434876964448,0.40320161087789863
2955368,Patungan,Maragondon,Cavite,0.0,0.0,0.0,0.0,0.0,2.309714540839195,0.175822888,1.409887314,0.958695523,0.0,0,0,0,2971948,17.0910508630041,0.41300616521805894
2955369,Patungan,Maragondon,Cavite,0.0,0.0,0.0,0.0,0.0,1.761665567755699,0.175822888,1.409887314,0.958695523,0.0,0,1,0,2971948,18.7101340208875,0.4832282326694769
2955370,Patungan,Maragondon,Cavite,1.568956432692308,0.55729883653846,5.805945634615374,2.55783650961539,2.876521288461538,1.048183801387428,0.175822888,1.409887314,0.958695523,1.0,0,0,1,2971948,19.6654766398885,0.5795734331827668
2955371,Papaya,Nasugbu,Batangas,0.0,0.0,0.0,0.0,0.0,0.249988649483327,0.56738605,1.355278015,0.956775958,1.0,0,0,0,2971948,20.5093723413487,0.5196225108256428
2955372,Papaya,Nasugbu,Batangas,1.150500999999999,0.298401,3.753219000000001,1.661098000000001,1.946235999999999,1.1937750214842,0.56738605,1.355278015,0.956775958,1.0,0,1,0,2971948,21.5704291589192,0.5894207629844734
2955373,Looc,Nasugbu,Batangas,1.053528588652482,0.340814191489361,3.628048751773049,1.558662645390074,1.866461815602836,2.964328052980375,0.553296669,1.413892312,1.019925365,1.0,0,0,1,2971948,22.7018841108785,0.5601646835023133
2955374,Calayo,Nasugbu,Batangas,0.991500333333333,0.45848502020202,3.865088242424245,1.60360097979798,1.945077656565659,4.562032885795092,0.565027638,1.360594654,1.046446899,1.0,0,0,0,2971948,23.8939233701956,0.509767908156409
2955375,Calayo,Nasugbu,Batangas,1.162796999999999,0.556657999999999,4.692424000000004,1.995722999999998,2.333842000000002,4.338531527254317,0.565027638,1.360594654,1.046446899,1.0,0,0,0,2971948,25.1149149704162,0.509767908156409
2955376,Balaytigui,Nasugbu,Batangas,0.485633549295774,0.165483690140845,1.815054676056338,0.697948436619719,0.948242014084507,2.170086148024445,0.547602389,1.379736423,1.061817203,1.0,0,0,0,2971948,26.4261194267779,0.5082354282958944
2955377,Balaytigui,Nasugbu,Batangas,0.423603,0.147950000000001,1.552693999999993,0.619832000000002,0.808273000000005,3.185816670417786,0.547602389,1.379736423,1.061817203,1.0,0,0,0,2971948,27.4159484533985,0.5082354282958944
2955378,Natipuan,Nasugbu,Batangas,0.423603,0.14795,1.552694000000001,0.619832,0.808273,3.128367936972416,0.36254404,1.513636907,1.081763565,0.0,0,0,0,2971948,28.6585923112007,0.3937744386612376
2955379,Wawa,Nasugbu,Batangas,3.449684979695427,1.69547989847716,13.75831882233502,5.228388700507624,7.031700563451772,102.49154517650604,0.568906148,1.513636907,1.124520741,0.0,0,1,1,2971948,30.0772701783274,0.4968511793467892
2955381,Bungahan,Lian,Batangas,0.0,0.0,0.0,0.0,0.0,2.619797144257178,0.48320855,1.560889721,1.145274902,0.0,0,0,0,2983012,31.4067842814621,0.3839735222670476
2955382,San Diego,Lian,Batangas,0.678073,0.294055,2.680065,1.011066999999999,1.314520999999999,5.560828614979982,0.500840945,1.550065994,1.149564502,0.0,0,0,0,2985780,32.4621283113384,0.38334301457648723
2955383,San Diego,Lian,Batangas,0.55772405,0.3643534,2.441630649999998,0.9216997,1.206624550000001,1.296336616023203,0.500840945,1.550065994,1.149564502,0.0,0,1,0,2985780,32.8901823217733,0.44678761383861687
2955384,Prenza,Lian,Batangas,0.536486,0.376759,2.399553999999998,0.905929,1.187584000000001,5.32985235040433,0.502700633,1.554196618,1.158938169,0.0,0,0,0,2985780,33.6085750805553,0.38245634388201216
2955385,Lumaniag,Lian,Batangas,0.0,0.0,0.0,0.0,0.0,17.9282009601593,0.002829778,1.553132057,1.132870056,0.0,0,0,0,2985780,34.0774993100329,0.3995318273075499
2955387,Luyahan,Lian,Batangas,0.352354217665617,0.291174958990535,1.753314750788633,0.624092205047321,0.900454681388018,5.699843308229126,0.441061686,1.593830109,1.084020529,0.0,0,1,1,2985780,36.1757586509706,0.5040694155313944
2955388,Luyahan,Lian,Batangas,0.73120684158416,0.418589118811879,3.389056769801984,1.476190252475243,1.820306903465353,15.651897325660244,0.441061686,1.593830109,1.084020529,0.0,0,0,1,2985780,36.927770493663,0.43135007066184006
2955389,Balibago,Calatagan,Batangas,0.53284783076923,0.324359553846154,2.451076399999995,0.964347169230768,1.266232676923075,7.311304471386014,0.002853029,1.622580528,1.021053122,0.0,0,0,0,2985780,37.6802566181151,0.40799731827444163
2955390,Balibago,Calatagan,Batangas,0.634670148648649,0.43691027027027,2.760430189189193,0.969805878378379,1.361815216216216,15.498544362386069,0.002853029,1.622580528,1.021053122,0.0,0,1,1,2985780,38.7988127463318,0.5271077928528973
2955391,Carretunan,Calatagan,Batangas,0.55088,0.346465,2.134227,0.703325,1.011679,10.869892811775207,0.002838352,1.64319849,0.996711343,0.0,0,0,0,2985780,39.8123564182759,0.40975761566284036
2955392,Carretunan,Calatagan,Batangas,0.598433828571429,0.454592457142857,2.541488314285715,0.777357942857143,1.202331714285715,6.600722146034242,0.002838352,1.64319849,0.996711343,0.0,0,0,0,2985780,40.9725987361625,0.40975761566284036
2955393,Gulod,Calatagan,Batangas,0.664321333333336,0.484599555555555,2.794212555555549,0.896872444444445,1.376639333333327,13.702112298745377,0.002436327,1.71498661,0.939971498,0.0,0,0,0,2985780,42.0153660055211,0.4133690436007569
2955394,Balitoc,Calatagan,Batangas,0.547381000000001,0.319306,2.295958999999997,0.790661,1.126862000000001,8.730667222629894,0.002426241,1.720587349,0.91160331,0.0,0,0,1,2998241,43.1122255961567,0.4619576847210629
2955395,Barangay 1 (Pob.),Calatagan,Batangas,0.627669000000001,0.452211,2.776573999999998,1.018379,1.378338,11.82467717312752,0.002462545,1.72480011,0.909958459,0.0,0,0,0,2998241,42.8110824254709,0.41595660679224533
2955396,Barangay 4 (Pob.),Calatagan,Batangas,0.471737,0.310055666666667,2.095070666666667,0.726894333333333,1.076806666666667,13.744720377573152,0.004090002,1.525867581,0.906673482,0.0,0,0,1,2998241,42.571817611471,0.4676344361656426
2955397,Barangay 4 (Pob.),Calatagan,Batangas,0.208705,0.217743,1.124049,0.396868,0.550521,4.957031175494194,0.004090002,1.525867581,0.906673482,0.0,0,1,1,2998241,42.1845442614288,0.5419050805906591
2956741,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.0,0.0,0.0,0.0,0.0,3.88685417175293,0.818003779,1.093190034,0.907144563,0.0,0,0,0,2971948,16.2944390096526,0.404138921023228
2956742,Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,0.663502,0.252763,2.920073,1.042646,1.574223,3.351710726613214,0.818003779,1.093190034,0.907144563,0.0,0,0,0,2971948,16.1154559863882,0.404138921023228
2956748,Sapang I,Ternate,Cavite,0.104686,0.035892,0.365903,0.161516,0.192423,0.4203243275935,0.548473561,1.389226278,0.939100396,1.0,0,0,0,2971948,15.7342309279666,0.5213523798191173
2956749,Patungan,Maragondon,Cavite,0.104686,0.035892,0.365903,0.161516,0.192423,0.274046111458201,0.175822888,1.409887314,0.958695523,1.0,0,0,0,2971948,16.151439706002,0.5329550895358722
2956750,Patungan,Maragondon,Cavite,4.051792,2.093426,17.985457,7.878485,8.396214000000002,0.680271553086788,0.175822888,1.409887314,0.958695523,1.0,0,1,0,2971948,16.9078380793639,0.6005236782313169
2956751,Patungan,Maragondon,Cavite,4.051792000000001,2.093426,17.985457,7.878485,8.396214000000002,2.507380525185826,0.175822888,1.409887314,0.958695523,1.0,0,1,1,2971948,17.787238316499,0.6364451602383093
2956752,Patungan,Maragondon,Cavite,0.0,0.0,0.0,0.0,0.0,0.648732674809603,0.175822888,1.409887314,0.958695523,1.0,0,1,0,2971948,18.8779739356815,0.6005236782313169
2956753,Looc,Nasugbu,Batangas,1.05727525,0.3391755,3.632884875000001,1.562620375,1.869544,0.51609388119296,0.553296669,1.413892312,1.019925365,1.0,0,1,0,2971948,19.9575550992691,0.5826012779859622
2956754,Looc,Nasugbu,Batangas,0.901899,0.407133,3.432327999999999,1.398491,1.741724,0.98719037558649,0.553296669,1.413892312,1.019925365,1.0,0,0,0,2971948,21.1110428687292,0.5116687267025317
2956755,Looc,Nasugbu,Batangas,0.901898999999998,0.407133,3.432328000000009,1.398490999999992,1.741723999999987,4.222050888538363,0.553296669,1.413892312,1.019925365,1.0,0,0,1,2971948,22.3269853884328,0.5601646835023133
2956756,Bulihan,Nasugbu,Batangas,0.901899,0.407133000000001,3.432328000000005,1.398491000000003,1.741724000000002,1.501422881246447,0.459583012,1.54242877,1.040641195,1.0,0,0,0,2971948,23.5957293244861,0.5095169622325232
2956757,Bulihan,Nasugbu,Batangas,0.395780333333333,0.219704666666667,1.670189333333333,0.649619333333333,0.850747666666667,0.582603323982473,0.459583012,1.54242877,1.040641195,1.0,0,0,0,2971948,24.9092077089207,0.5095169622325232
2956758,Utod,Nasugbu,Batangas,0.412492,0.176605272727273,1.59961583766234,0.631727590909092,0.825235285714285,1.19539354627745,0.532593452,1.51729908,1.084661355,1.0,0,0,1,2971948,26.260708972799,0.5515948521023492
2956759,Utod,Nasugbu,Batangas,0.451206760797341,0.243420857142857,1.892922697674409,0.739886916943522,0.971574794019934,3.959831398680694,0.532593452,1.51729908,1.084661355,0.0,0,0,1,2971948,27.6259742082644,0.4299658641104868
