ID,barangay_name,city_name,province_name,children,elderly,women,youth,women_rep,ph_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
2907165,Bulalacao,Coron,Palawan,1.327595,0.350484999999999,4.673135,1.890494999999993,2.191417000000001,1.459950991209198,1.253846567,1.392168318,0.607303503,1.0,0,0,1,2907165,0.109591985315966
2907185,Nangalao,Linapacan,Palawan,,,,,,8.231436669826508,0.801097405,1.11516428,0.502533381,,0,0,0,2908568,0.817461332936256
2907186,Nangalao,Linapacan,Palawan,9.668409,2.026711000000002,30.467117,13.887955000000003,14.353102000000003,6.077750803673104,0.801097405,1.11516428,0.502533381,0.0,0,0,1,2907186,0.217463311772711
2907187,Nangalao,Linapacan,Palawan,,,,,,5.866504866942482,0.801097405,1.11516428,0.502533381,,0,0,0,2908570,0.430082424198079
2908408,Vigo,Lubang,Occidental Mindoro,0.9689827,1.389709000000001,5.4227995,2.2339765,2.5793727,2.516673821513935,0.920229614,1.137996225,0.848267467,0.0,0,0,0,2908408,0.245562076588922
2908409,Vigo,Lubang,Occidental Mindoro,0.9348846,1.317307,5.172868,2.113112,2.4512086,0.781524642672337,0.920229614,1.137996225,0.848267467,0.0,0,0,0,2908409,1.62511476953994e-12
2908410,Vigo,Lubang,Occidental Mindoro,0.730296,0.882895,3.673279,1.387925,1.682224,0.16193307401009,0.920229614,1.137996225,0.848267467,1.0,0,0,0,2908410,1.76387036135719e-13
2908411,Vigo,Lubang,Occidental Mindoro,,,,,,0.077711864181778,0.920229614,1.137996225,0.848267467,1.0,0,0,0,2908411,0.0
2908412,Tilik,Lubang,Occidental Mindoro,,,,,,0.045734133741312,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2908412,3.52774072271438e-13
2908413,Tilik,Lubang,Occidental Mindoro,,,,,,0.056273750809979,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2908413,1.76387036135719e-13
2908414,Tilik,Lubang,Occidental Mindoro,,,,,,0.231737374860261,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2908414,0.175612668548458
2908519,Decabobo,Coron,Palawan,,,,,,0.415990760979744,0.874204453,1.426409403,0.834451978,,0,0,0,2908519,0.162399365728412
2908520,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.323804284621786,0.874204453,1.426409403,0.834451978,1.0,0,0,0,2908520,0.0129695362749893
2908521,Decabobo,Coron,Palawan,,,,,,0.975435614585876,0.874204453,1.426409403,0.834451978,0.0,0,0,0,2908521,0.0106755449868515
2908522,San Nicolas,Coron,Palawan,,,,,,0.300103117525578,0.887319886,1.528612256,0.891769144,,0,0,0,2909904,1.08476062303317
2908523,San Nicolas,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.428679075092077,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2908523,0.0604284608875069
2908524,San Nicolas,Coron,Palawan,,,,,,0.251433832899613,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2908524,3.52774072271438e-13
2908525,Guadalupe,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.268886781809196,1.016505373,1.411770843,0.975735755,1.0,0,0,0,2908525,0.0
