ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,HCFAI
3428519,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,68.8937534610476,0.18156299998457,0.0829999999929463,2.3110389998036,1.18534799989926,0.60175199994886,0.472063999959882,0.5282133814446177
3429892,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.01117023671138,1.24366,0.205204,7.772888,3.768296,1.719364,1.660288,0.5228907187979591
3429893,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.288138368126106,7.151045,1.179923,44.694106,21.667702,9.886343,9.546656,0.5228906344613211
3429894,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.92033497786777,3.10915,0.51301,19.43222,9.42074,4.29841,4.15072,0.522890718797955
3429897,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,64.35555003708043,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3429898,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,65.4786058253917,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3429899,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,66.67042157676129,1.089378,0.498,13.866234,7.112088,3.610512,2.832384,0.5214309309355202
3429900,Bacungan,Magsaysay,Davao del Sur,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,67.83701015745281,12.890973,5.89300000000001,164.083769,84.159708,42.724392,33.516544,0.5198942844203996
3429901,Malawanit,Magsaysay,Davao del Sur,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,68.4266628786496,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3431272,Malongon,Magsaysay,Davao del Sur,0.192069197,0.719005346,1.192776468,1.0,0,0,0,3481009,56.79509143302639,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3431273,Tacul,Magsaysay,Davao del Sur,0.218167128,0.714077473,1.188038386,1.0,0,0,0,3481009,57.86464832314815,0.795725,0.190975,5.936125,2.705475,1.36865,1.25725,0.521328128193361
3431274,Tacul,Magsaysay,Davao del Sur,0.218167128,0.714077473,1.188038386,1.0,0,0,0,3481009,58.25069752201666,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3431275,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,60.09621555061549,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3431276,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,60.64462617961427,3.73098,0.615612,23.318664,11.304888,5.158092,4.980864,0.5228907187976016
3431277,Maibo,Magsaysay,Davao del Sur,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.2586895130085,15.158339,3.394664,106.283884,51.245698,24.477467,23.888669,0.522709380454955
3431278,Tagaytay,Magsaysay,Davao del Sur,0.231853794,0.688116367,1.174662488,1.0,0,0,0,3481009,62.006264826867415,2.850876,1.066086,25.514076,12.182072,6.288688,6.240766,0.524276344681318
