ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3268077",Manla,Sapang Dalaga,Misamis Occidental,"3.322375999999999","1.261272","11.197638000000005","5.198903","5.568056","3.271455952254209","0.517751254","0.625679016","0.726204475","0.0","0","0","0","3284661","16.73610698928859",53.158016,20.180352,371.613904,179.162208,89.088896,83.182448
"3268078",Casul,Sapang Dalaga,Misamis Occidental,"3.322376","1.261272","11.197638","5.198903","5.568056","2.874904832473168","0.799776637","0.637677789","0.76012321","0.0","0","0","0","3284661","16.995601609496436",6.644752,2.522544,46.451738,22.395276,11.136112,10.397806
"3268079",Casul,Sapang Dalaga,Misamis Occidental,"2.578894272727272","3.017235363636364","12.818344818181815","5.524466272727274","6.495714454545456","2.649323895489429","0.799776637","0.637677789","0.76012321","0.0","0","0","0","3284661","17.179639631834505",28.367837,33.189589,294.813589,141.001793,71.452859,60.769129
"3268080",Casul,Sapang Dalaga,Misamis Occidental,"2.762369","3.245783","13.811842999999998","6.042681000000002","7.078569000000002","1.214802046394881","0.799776637","0.637677789","0.76012321","0.0","0","0","0","3284661","17.594017474360676",19.336583,22.720481,202.067257,96.682901,49.549983,42.298767
"3268081",El Paraiso,Sapang Dalaga,Misamis Occidental,"2.985059555555556","2.934265777777777","13.249694111111117","5.648593222222222","6.497237333333334","1.344798073262879","0.612345866","0.635243654","0.799329167","0.0","0","0","0","3284661","18.150601892709528",26.865536,26.408392,254.685124,119.247247,58.475136,50.837339
"3268082",Poblacion,Sapang Dalaga,Misamis Occidental,"4.055493","3.853006357142858","18.953845357142857","7.478944214285714","9.787313928571432","12.289159352347356","0.576585542","0.634303451","0.852458","0.0","0","0","1","3284661","18.834940310735547",56.776902,53.942089,534.326055,265.353835,137.022395,104.705219
"3268083",Poblacion,Sapang Dalaga,Misamis Occidental,"3.519258","4.80514","21.656969","6.158701","10.219382","3.007285736677215","0.576585542","0.634303451","0.852458","0.0","0","0","0","3284661","19.598150449005345",17.59629,24.0257,217.246475,108.284845,51.09691,30.793505
"3268084","Agapito Yap, Sr. (Napilan)",Sapang Dalaga,Misamis Occidental,"3.446316","3.9546528","18.9348086","6.251946199999998","9.0455444","2.017660721403653","0.436439317","0.642035802","0.896432619","0.0","0","0","0","3284661","20.511775839256803",51.69474,59.319792,570.954417,284.022129,135.683166,93.779193
"3268085",Sinaad,Sapang Dalaga,Misamis Occidental,"3.90335","4.394182750000001","18.236985000000004","7.437154625","9.029233500000002","1.569040175640222","0.339468056","0.659433365","0.924187692","0.0","0","0","1","3284661","21.472370913187177",31.2268,35.153462,306.973839,145.89588,72.233868,59.497237
"3268086",Sinaad,Sapang Dalaga,Misamis Occidental,"3.984271","4.63922","18.720616","7.586489","9.27844","1.622491727795517","0.339468056","0.659433365","0.924187692","0.0","0","0","0","3284661","22.446043695810182",11.952813,13.91766,118.709448,56.161848,27.83532,22.759467
"3268087",Sinaad,Sapang Dalaga,Misamis Occidental,,,,,,"0.714371934533119","0.339468056","0.659433365","0.924187692","0.0","0","0","0","3284661","23.60328173691587",0,0,0,0,0,0
"3268088",Dasa,Sapang Dalaga,Misamis Occidental,"0.151032","0.116928","0.691823","0.331295","0.404375","0.769263818505264","0.326763272","0.667220974","0.862251878","0.0","0","0","0","3284661","24.845463361640476",0.302064,0.233856,3.001146,1.383646,0.80875,0.66259
"3268089",Dasa,Sapang Dalaga,Misamis Occidental,"1.626219","1.093033","8.157756000000003","3.732307","3.918922","0.807999503918183","0.326763272","0.667220974","0.862251878","0.0","0","0","0","3284661","26.0960809073485",1.62664981446997,1.09332256397174,16.239835083049,8.15991713532511,3.9199601924601,3.73329575481221
"3268090",Maligubaan,Concepcion,Misamis Occidental,"1.626219","1.093033","8.157756","3.732307","3.918922","1.162814483830803","0.259108506","0.645569126","0.820757551","0.0","0","0","0","3284661","27.385431411837004",3.252438,2.186066,32.471068,16.315512,7.837844,7.464614
"3268091",Bagong Nayon,Concepcion,Misamis Occidental,"1.454145","3.514185","14.238508","5.271277","8.543105000000002","1.382466645911336","0.250106404",,"0.727805211","1.0","0","0","0","3297112","28.6197493037934",0.798908505187051,1.93069624095311,16.4109172240001,7.82264845828571,4.6935891848516,2.89604408672924
"3268092",Soso-on,Concepcion,Misamis Occidental,,,,,,"3.853905894539573","0.200622621","0.638339043","0.676273337","1.0","0","0","0","3297112","28.72223254460916",0,0,0,0,0,0
"3268093",Soso-on,Concepcion,Misamis Occidental,"0.838845","0.353513","3.469222","1.563846","1.737607","0.818038704991341","0.200622621","0.638339043","0.676273337","1.0","0","0","0","3297112","28.887625587270552",0.838845,0.353513,7.489685,3.469222,1.737607,1.563846
"3268094",Nueva Vista (Masawan),Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.838845","0.353513","3.469222","1.563846","1.737607","0.814300082623959","0.132730894","0.628823902","0.571528965","1.0","0","0","0","3297112","29.115894925151824",4.194225,1.767565,37.448425,17.34611,8.688035,7.81923
"3268095",Nueva Vista (Masawan),Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,,,,,,"0.738335624337196","0.132730894","0.628823902","0.571528965","1.0","0","0","0","3297112","29.661358052542717",0,0,0,0,0,0
"3268099",Napangan,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.668825","0.231427","2.457758","0.932652","1.145565","0.783276222646236","0.145374294","0.65171905","0.464349902","1.0","0","0","0","3297112","32.0484285900698",5.3506,1.851416,39.916584,19.662064,9.16452,7.461216
"3268100",Napangan,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.461264","0.16219975","1.585145749999999","0.6046875","0.70534425","0.662607445035662","0.145374294","0.65171905","0.464349902","1.0","0","0","0","3299887","31.833028228642696",9.22528000000001,3.243995,62.60622,31.702915,14.106885,12.09375
"3268101",Lalud,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.392077","0.139124","1.294275","0.495366","0.558604","0.865264298142614","0.191842126","0.645322183","0.471819218","1.0","0","0","0","3299887","31.713234792011928",1.960385,0.69562,12.552785,6.471375,2.79302,2.47683
"3268102",Tuno,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.205134","0.07676","0.660398","0.277923","0.32292","0.497009281601225","0.210304939","0.643082986","0.549048273","1.0","0","0","0","3299887","31.703255420163824",2.05134,0.7676,14.27994,6.60398,3.2292,2.77923
"3268103",Tuno,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.205134","0.07676","0.660398","0.277923","0.32292","0.612881765762965","0.210304939","0.643082986","0.549048273","1.0","0","0","0","3299887","31.76364876473505",3.07701,1.1514,21.41991,9.90597,4.8438,4.168845
"3268104",Lampasan,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.363262","0.203872","1.434515999999999","0.66351","0.707991","0.319397895722776","0.096109892","0.630503387","0.56966919","1.0","0","0","0","3294372","31.07562207516876",6.538716,3.669696,55.57914,25.821288,12.743838,11.94318
"3268105",Bagong Clarin,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.363262","0.203872","1.434516","0.66351","0.707991","0.309015681346258","0.149028418","0.629780145","0.622764102","1.0","0","0","0","3294372","30.129357676138483",2.906096,1.630976,24.70184,11.476128,5.663928,5.30808
"3268106",Bagong Clarin,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.266195058823529","0.150326117647059","1.051114882352942","0.475976294117647","0.510432882352941","0.283982677417889","0.149028418","0.629780145","0.622764102","1.0","0","0","0","3294372","29.422123829591516",4.525316,2.555544,38.081497,17.868953,8.677359,8.091597
"3268107",Petianan,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.127528","0.073832","0.503399","0.208071","0.228207","0.164477262517502","0.194504066","0.621342659","0.730873921","1.0","0","0","0","3294372","28.538407588289495",0.140021428245926,0.0810650374055362,1.12999492918644,0.552715066162498,0.250563563105499,0.228454916540353
"3268108",Maramara,Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,"0.127528","0.073832","0.503399","0.208071","0.228207","0.135966011363527","0.273621218","0.614295056","0.786725456","1.0","0","0","0","3294372","27.80029835957734",0.00658199729985075,0.00381063001570306,0.0531177525177584,0.0259815166767107,0.0117782593454539,0.0107389966138985
"3268109",Bag-ong Anonang,Bonifacio,Misamis Occidental,,,,,,"0.848448514938354","0.34962815","0.635781424","0.904305744","1.0","0","0","0","3294372","27.15555557165972",0,0,0,0,0,0
"3268110",Bag-ong Anonang,Bonifacio,Misamis Occidental,,,,,,"0.857142408688863","0.34962815","0.635781424","0.904305744","1.0","0","0","0","3294372","26.562547955376637",0,0,0,0,0,0
"3268111",Lodiong,Bonifacio,Misamis Occidental,,,,,,"0.854867249092041","0.379874595","0.636965712","0.997167191","1.0","0","0","0","3294372","26.083876909011785",0,0,0,0,0,0
"3268115",Liloan,Bonifacio,Misamis Occidental,"1.203357","0.815177","5.337468","2.096169","2.824005999999999","4.448572301864625","1.036413396","0.671308041","1.079841185","0.0","0","1","0","3294372","25.459634588402075",1.14214258018419,0.77370918363113,10.555603523421,5.0659525586925,2.68034963796747,1.98953749399564
"3268116",Lower Usugan,Bonifacio,Misamis Occidental,,,,,,"1.507347384844541","1.026027175","0.684229374","1.058328703","0.0","0","0","0","3294372","25.50638174076107",0,0,0,0,0,0
