ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
2869579,Malabago,Santa Cruz,Zambales,0.664594,0.203666,2.411834999999999,1.093365,1.189839,0.754545720915,0.004992073,0.293646839,1.111607614,0.0,0,0,0,2886181,34.5195306598595
2869580,Malabago,Santa Cruz,Zambales,0.664594,0.203666,2.411835,1.093365,1.189839,0.53241031575069,0.004992073,0.293646839,1.111607614,0.0,0,0,0,2886181,33.4204602234915
2869581,Malabago,Santa Cruz,Zambales,0.664594,0.203666,2.411835,1.093365,1.189839,0.866927839359459,0.004992073,0.293646839,1.111607614,0.0,0,0,0,2886181,32.0539725705102
2870961,Malabago,Santa Cruz,Zambales,0.664594,0.203666,2.411834999999998,1.093364999999999,1.189838999999999,0.550461061961121,0.004992073,0.293646839,1.111607614,0.0,0,0,0,2886181,33.5966226358442
2870962,Malabago,Santa Cruz,Zambales,0.664594,0.203666,2.411834999999999,1.093365,1.189838999999999,0.452343233988858,0.004992073,0.293646839,1.111607614,0.0,0,0,0,2886181,32.2942555967583
2870963,Malabago,Santa Cruz,Zambales,0.664594,0.203666,2.411835,1.093365,1.189839,1.007336717844009,0.004992073,0.293646839,1.111607614,0.0,0,0,0,2886181,31.461716280212
2872348,Bolitoc,Santa Cruz,Zambales,,,,,,5.244777917861938,0.664370018,0.293443938,1.12178479,0.0,0,0,0,2886181,25.9809220923509
2873729,Bolitoc,Santa Cruz,Zambales,9.287297999999998,5.910099000000002,38.57800800000001,14.937612,19.224058000000003,4.787549416897662,0.664370018,0.293443938,1.12178479,0.0,0,0,0,2886181,25.9093532657835
2873730,Bolitoc,Santa Cruz,Zambales,9.287298,5.910099,38.578008,14.937611999999998,19.224058,5.753599787630686,0.664370018,0.293443938,1.12178479,0.0,0,0,0,2886181,25.5201087862656
2875112,Bolitoc,Santa Cruz,Zambales,9.287298,5.910099,38.578008,14.937612,19.224058,17.354023615519207,0.664370018,0.293443938,1.12178479,,0,0,0,2886181,25.5961441744189
2877876,Bolitoc,Santa Cruz,Zambales,0.329008000000001,0.212836,1.340864000000001,0.510804999999999,0.674866,3.367146174112956,0.664370018,0.293443938,1.12178479,0.0,0,0,0,2886181,23.5688767613826
2879252,Malabago,Santa Cruz,Zambales,,,,,,0.0,0.004992073,0.293646839,1.111607614,,0,0,0,2886181,31.3020338264199
2879257,Bolitoc,Santa Cruz,Zambales,0.329007999999998,0.212835999999999,1.340864000000008,0.510805000000003,0.674866000000005,4.611577090145886,0.664370018,0.293443938,1.12178479,0.0,0,0,1,2886181,23.7896647846974
2879258,Sabang,Santa Cruz,Zambales,0.181628955932202,0.114778481355932,0.813952691525431,0.301965671186443,0.389221176271186,1.740682975217408,0.645674405,0.293428749,1.126899914,0.0,0,0,1,2886181,22.6538319808958
2879259,Sabang,Santa Cruz,Zambales,0.128654,0.079532,0.624556,0.226899,0.286547,4.548937368392944,0.645674405,0.293428749,1.126899914,0.0,0,0,1,2886181,21.5079173910299
2880635,Malabago,Santa Cruz,Zambales,0.42402647368421,0.380800789473684,1.949287736842105,0.662798842105263,0.893337421052632,1.002887535698806,0.004992073,0.293646839,1.111607614,0.0,0,0,0,2886181,30.6600737666867
2880636,Malabago,Santa Cruz,Zambales,0.547045067796611,0.484901271186442,2.555642644067797,0.86034320338983,1.183232762711862,5.528989353750506,0.004992073,0.293646839,1.111607614,0.0,0,1,0,2886181,29.4489101865563
2880637,Malabago,Santa Cruz,Zambales,0.709963605691056,0.604480353658535,3.58184352845529,1.353401752032515,1.785579447154476,25.380767519881086,0.004992073,0.293646839,1.111607614,0.0,0,1,1,2886181,27.9117502727636
2880639,Bolitoc,Santa Cruz,Zambales,0.329008000000001,0.212836,1.340864000000003,0.510805,0.674865999999999,6.001428964734078,0.664370018,0.293443938,1.12178479,,0,0,0,2886181,24.1037128180142
2880640,Biay,Santa Cruz,Zambales,0.327250508771931,0.211666666666666,1.334580596491229,0.508314596491227,0.671459692982456,1.829249124987083,0.677938397,0.291280329,1.158164468,0.0,0,0,0,2886181,22.9849898834679
