ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3440826",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.018138969006638","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","43.79683987075456",0,0,0,0,0,0
"3440827",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.017869290258539","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","45.78800489536011",0,0,0,0,0,0
"3440828",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.023482106005152","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","46.78174537262791",0,0,0,0,0,0
"3442208",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.019192994199693","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","43.18356478630524",0,0,0,0,0,0
"3442209",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.017512711172909","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","44.48040100474295",0,0,0,0,0,0
"3442210",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.017441482275899","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","46.01340713082075",0,0,0,0,0,0
"3443557",Vinapor,Carmen,Agusan del Norte,"1.140757","0.845955","4.144324","1.602187","1.700455","8.676807775537021","0.837219384","1.318293413","0.941899346","0.0","0","0","0","3453239","14.870984870818775",2.281514,1.69191,17.32071,8.288648,3.40091,3.204374
"3443558",Vinapor,Carmen,Agusan del Norte,"1.140756999999998","0.845955000000002","4.144323999999997","1.602186999999997","1.700455000000003","6.9922875047804","0.837219384","1.318293413","0.941899346","0.0","0","0","1","3453239","14.162418442503265",116.357214,86.2874100000002,883.356209999999,422.721048,173.44641,163.423074
"3443559",Vinapor,Carmen,Agusan del Norte,"1.140757","0.845955","4.144323999999999","1.602187","1.700455000000001","2.474130858977636","0.837219384","1.318293413","0.941899346","1.0","0","0","0","3453239","12.9280954094852",19.392869,14.381235,147.226035,70.453508,28.907735,27.237179
"3443560",Gosoon,Carmen,Agusan del Norte,,,,,,"1.39908766746521","0.772834424","1.292346478","0.942017146","1.0","0","0","0","3453239","11.679390648208376",0,0,0,0,0,0
"3443589",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.019670691769356","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","41.88888732519938",0,0,0,0,0,0
"3443590",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.020334539749416","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","43.3394114922715",0,0,0,0,0,0
"3443591",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.024907024885467","0.241422836","1.229516917","0.67932649","1.0","0","0","1","3453239","44.94310635009997",0,0,0,0,0,0
"3443592",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.02463401827429","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","46.09233647222898",0,0,0,0,0,0
"3444940",Vinapor,Carmen,Agusan del Norte,"1.140757","0.845955","4.144323999999999","1.602187","1.700455","4.427296933005838","0.837219384","1.318293413","0.941899346",,"0","0","1","3453239","14.073719670572975",22.81514,16.9191,173.2071,82.88648,34.0091,32.04374
"3444941",Vinapor,Carmen,Agusan del Norte,"1.140756999999997","0.845955000000002","4.144323999999997","1.602186999999997","1.700455000000003","6.202406209587252","0.837219384","1.318293413","0.941899346","0.0","0","0","0","3453239","13.037823779034229",117.497971,87.1333650000002,892.016564999999,426.865372,175.146865,165.025261
"3444942",San Agustin,Carmen,Agusan del Norte,"1.293409185567006","0.926449530927832","5.38530737113405","1.80187773195876","2.301237396907219","7.563168698990786","0.71486195","1.293281364","0.961858561","1.0","0","0","1","3453239","11.713664191755662",250.921381999999,179.731208999999,2069.08250700001,1044.74963000001,446.440055,349.56428
"3444943",San Agustin,Carmen,Agusan del Norte,"2.68516186111111","2.038351138888888","10.593804722222211","4.274348611111108","4.96438413888889","3.663379634321914","0.71486195","1.293281364","0.961858561","1.0","0","0","1","3453239","10.54939417366937",96.665827,73.380641,788.340074,381.37697,178.717829,153.87655
"3444944",San Agustin,Carmen,Agusan del Norte,"1.545734333333334","1.086946288888888","6.267995355555552","2.555046933333336","3.008803822222219","1.489830559430023","0.71486195","1.293281364","0.961858561","1.0","0","0","0","3453239","9.554260200406516",69.558045,48.912583,581.854814,282.059791,135.396172,114.977112
"3444945",Cahayagan,Carmen,Agusan del Norte,"1.014913","0.74225","4.40048","1.730653","2.120713","1.353744837641716","0.857862998","1.299020529","1.018926239","1.0","0","0","0","3453239","8.688888694059257",2.029826,1.4845,18.026062,8.80096,4.241426,3.461306
"3444947",Manoligao,Carmen,Agusan del Norte,,,,,,"2.118743062019348","0.845928871","1.304867554","0.99084307","0.0","0","0","0","3453239","8.34626633693594",0,0,0,0,0,0
"3444948",Manoligao,Carmen,Agusan del Norte,"0.924724","0.400396","3.031569","0.905658","1.258387","1.730731543567446","0.845928871","1.304867554","0.99084307","0.0","0","0","0","3453239","8.17010143315234",3.698896,1.601584,25.20588,12.126276,5.033548,3.622632
"3444949",Manoligao,Carmen,Agusan del Norte,"1.161272","0.421246","3.768441","1.616672","1.855758","2.078182211289039","0.845928871","1.304867554","0.99084307","1.0","0","0","0","3453239","8.519247696254714",4.645088,1.684984,32.652228,15.073764,7.423032,6.466688
"3444950",Manoligao,Carmen,Agusan del Norte,,,,,,"2.41238973421209","0.845928871","1.304867554","0.99084307","1.0","0","0","0","3453239","9.535155009105138",0,0,0,0,0,0
"3444951",Manoligao,Carmen,Agusan del Norte,"1.201244857142857","0.604745428571429","4.064704999999999","1.447308","1.686638428571429","1.179566248825618","0.845928871","1.304867554","0.99084307","1.0","0","0","0","3453239","10.55048942019704",8.408714,4.233218,62.351559,28.452935,11.806469,10.131156
"3444952",Manoligao,Carmen,Agusan del Norte,"0.646868","0.225249","1.674927","0.756605","0.808586","1.669960676355565","0.845928871","1.304867554","0.99084307","1.0","0","0","0","3453239","11.434069660592275",1.940604,0.675747,11.227788,5.024781,2.425758,2.269815
"3444971",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.026812379163775","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","40.73225950054462",0,0,0,0,0,0
"3444972",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.022762528467657","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","42.22913906155063",0,0,0,0,0,0
"3444973",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.028720027720221","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","43.842533085567176",0,0,0,0,0,0
"3444974",Guibonon,Esperanza,Agusan del Sur,,,,,,"0.028448151127374","0.241422836","1.229516917","0.67932649","1.0","0","0","0","3453239","45.400196966515566",0,0,0,0,0,0
"3446324",San Agustin,Carmen,Agusan del Norte,"2.208961794871794","1.665940820512819","8.847501589743583","3.42277669230769","4.062398846153846","14.666350512277512","0.71486195","1.293281364","0.961858561",,"0","0","0","3453239","10.105265267493088",86.14951,64.971692,706.043554,345.052562,158.433555,133.488291
"3446325",Cahayagan,Carmen,Agusan del Norte,"1.114576452631582","0.821172863157894","4.77231048421053","1.88956769473684","2.296464663157891","4.368262693358631","0.857862998","1.299020529","1.018926239","1.0","0","0","0","3453239","9.104606497167936",105.884763,78.0114219999999,930.480852999998,453.369496,218.164143,179.508931
