ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,allph_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
3169902,Nagbo-alao,Basay,Negros Oriental,1.869482000000004,1.167973999999996,8.034795999999996,3.174865000000006,3.923380999999993,15.05502311299356,0.848638836,0.613232476,1.053756216,1.0,0,0,1,3187871,18.89618660398473
3171276,Cabatuanan,Basay,Negros Oriental,2.71842125,1.5857225,11.810728624999998,5.268644,5.7943265,0.424515584111214,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,24.770076312094996
3171277,Cabatuanan,Basay,Negros Oriental,2.432361,1.263453,10.803811,4.916292,5.199925,0.231450272667589,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,24.078357956524915
3171278,Cabatuanan,Basay,Negros Oriental,2.432361,1.263453,10.803811,4.916292,5.199925,0.353486537188292,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,22.96632588597996
3171279,Cabatuanan,Basay,Negros Oriental,,,,,,0.723801029625759,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,21.90332947052263
3171280,Cabatuanan,Basay,Negros Oriental,2.039875000000001,1.233875,8.821214,3.477738000000001,4.134478000000003,0.960782672251974,0.725551394,0.602248731,1.068460254,1.0,0,0,1,3187871,20.91652243108193
3171281,Maglinao,Basay,Negros Oriental,19.6226,11.435239,76.054489,36.132649,36.673962,1.544306700976294,0.586617977,0.603177897,1.073891011,1.0,0,0,0,3187871,20.017175899645416
3171282,Cabalayongan,Basay,Negros Oriental,16.21659368181818,7.32581181818182,61.654516681818166,24.21699495454545,28.71407345454546,4.198797404977447,0.854565252,0.602849126,1.035831996,1.0,0,0,1,3187871,19.217572770898656
3171283,Cabalayongan,Basay,Negros Oriental,12.05877309090909,5.23321290909091,45.89100454545455,17.29976663636364,21.303433181818185,3.961832980880533,0.854565252,0.602849126,1.035831996,1.0,0,0,0,3187871,18.53062943830617
3171284,Nagbo-alao,Basay,Negros Oriental,1.869482000000001,1.167974000000001,8.034796000000012,3.174865000000001,3.923381000000004,4.884659089227588,0.848638836,0.613232476,1.053756216,1.0,0,0,1,3187871,17.96927109455953
3171285,Nagbo-alao,Basay,Negros Oriental,1.869481999999999,1.167974000000001,8.034796000000004,3.174864999999998,3.923381000000003,5.70151091416677,0.848638836,0.613232476,1.053756216,1.0,0,0,0,3187871,17.34337446462379
3172656,Cabatuanan,Basay,Negros Oriental,,,,,,0.418861948269917,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,25.352570761683623
3172657,Cabatuanan,Basay,Negros Oriental,,,,,,0.145858710574121,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,24.733159836353895
3172658,Cabatuanan,Basay,Negros Oriental,,,,,,0.264366664893899,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,23.712081522514637
3172659,Cabatuanan,Basay,Negros Oriental,,,,,,0.38378796407946,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,22.503441370791887
3172660,Cabatuanan,Basay,Negros Oriental,4.976588,1.396937,15.278999,6.722759,6.984685,0.576180042432887,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,21.353881431071294
