ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
3428519,Malawanit,Magsaysay,Davao del Sur,0.181563,0.083,1.185348,0.472064,0.601752,0.142496902834285,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,68.8937534610476
3429892,Maibo,Magsaysay,Davao del Sur,0.310915,0.051301,0.942074,0.415072,0.429841,0.437046474880642,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.01117023671138
3429893,Maibo,Magsaysay,Davao del Sur,0.310915,0.051301,0.942074,0.415072,0.429841,0.427309891022742,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.288138368126106
3429894,Maibo,Magsaysay,Davao del Sur,0.310915,0.051301,0.942074,0.415072,0.429841,0.322041308359494,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.92033497786777
3429897,Bacungan,Magsaysay,Davao del Sur,,,,,,0.125248370071252,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,64.35555003708043
3429898,Bacungan,Magsaysay,Davao del Sur,,,,,,0.095064400384823,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,65.4786058253917
3429899,Bacungan,Magsaysay,Davao del Sur,0.181563,0.083,1.185348,0.472064,0.601752,0.080173176803416,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,66.67042157676129
3429900,Bacungan,Magsaysay,Davao del Sur,0.181563,0.083,1.185348000000001,0.472064,0.601752,0.08927841335535,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,67.83701015745281
3429901,Malawanit,Magsaysay,Davao del Sur,,,,,,0.089442129121788,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,68.4266628786496
3431272,Malongon,Magsaysay,Davao del Sur,,,,,,0.366122806072235,0.192069197,0.719005346,1.192776468,1.0,0,0,0,3481009,56.79509143302639
3431273,Tacul,Magsaysay,Davao del Sur,0.159145,0.038195,0.541095,0.25145,0.27373,0.460372108221054,0.218167128,0.714077473,1.188038386,1.0,0,0,0,3481009,57.86464832314815
3431274,Tacul,Magsaysay,Davao del Sur,,,,,,0.615505293011665,0.218167128,0.714077473,1.188038386,1.0,0,0,0,3481009,58.25069752201666
3431275,Maibo,Magsaysay,Davao del Sur,,,,,,0.587889024721725,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,60.09621555061549
3431276,Maibo,Magsaysay,Davao del Sur,0.310915,0.051301,0.942074,0.415072,0.429841,0.439963621121866,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,60.64462617961427
3431277,Maibo,Magsaysay,Davao del Sur,0.270684625,0.060619,0.915101750000001,0.426583375,0.437097625,0.342717990376591,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,61.2586895130085
3431278,Tagaytay,Magsaysay,Davao del Sur,0.203634,0.076149,0.870148,0.445769,0.449192,0.130959377547757,0.231853794,0.688116367,1.174662488,1.0,0,0,0,3481009,62.006264826867415
3431279,Bacungan,Magsaysay,Davao del Sur,,,,,,0.140771820891224,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,63.1675572895628
3431280,Bacungan,Magsaysay,Davao del Sur,,,,,,0.115126766573708,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,64.24376519415804
3431281,Bacungan,Magsaysay,Davao del Sur,,,,,,0.09048921310698,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,65.26171617580991
3431282,Bacungan,Magsaysay,Davao del Sur,0.181563,0.083,1.185348,0.472064,0.601752,0.070200231235595,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,66.26917752231789
3431283,Malawanit,Magsaysay,Davao del Sur,0.181563,0.083,1.185348,0.472064,0.601752,0.074667408979907,0.1225645,0.677304029,1.173486873,1.0,0,0,0,3481009,67.30179757849204
3431284,Malawanit,Magsaysay,Davao del Sur,0.356734,0.071697,1.148893,0.500127,0.557834,0.071832638135866,0.1225645,0.677304029,1.173486873,1.0,0,1,0,3481009,68.24807469950564
3431285,Colonsabak,Matanao,Davao del Sur,0.356734,0.071697,1.148893,0.500127,0.557834,0.070367314164812,0.112598605,0.667534174,1.043517024,1.0,0,0,0,3481009,69.26852174736469
3431286,Colonsabak,Matanao,Davao del Sur,,,,,,0.058607315781426,0.112598605,0.667534174,1.043517024,1.0,0,0,0,3481009,70.33270700148846
3431287,Colonsabak,Matanao,Davao del Sur,,,,,,0.043065806240614,0.112598605,0.667534174,1.043517024,1.0,0,0,0,3481009,71.26586607350569
3432653,Malongon,Magsaysay,Davao del Sur,0.247003,0.098801,0.879949,0.432256,0.447693,0.397832974444988,0.192069197,0.719005346,1.192776468,1.0,0,0,0,3481009,56.0348624520752
3432654,Malongon,Magsaysay,Davao del Sur,0.217321243243243,0.078326,0.765471297297297,0.371172891891892,0.388921716216217,0.492345701744206,0.192069197,0.719005346,1.192776468,1.0,0,0,1,3481009,56.44052234701268
3432655,Tacul,Magsaysay,Davao del Sur,0.162780209580839,0.038508916167665,0.550699287425152,0.255369089820359,0.277469185628743,0.935533894713954,0.218167128,0.714077473,1.188038386,1.0,0,0,1,3481009,57.364607806365626
3432656,Tacul,Magsaysay,Davao del Sur,0.310915,0.051301,0.942074,0.415072,0.429841,1.02844547620718,0.218167128,0.714077473,1.188038386,1.0,0,0,0,3481009,57.860552399166494
3432657,Maibo,Magsaysay,Davao del Sur,0.310915,0.051301,0.942074,0.415072,0.429841,0.583098826970128,0.229006388,0.704150677,1.176550364,1.0,0,0,0,3481009,58.99888485098501
3432658,Balnate,Magsaysay,Davao del Sur,0.310915,0.051301,0.942074000000001,0.415072,0.429841,0.561535678560084,0.220038805,0.705771526,1.184820888,1.0,0,0,0,3481009,59.86310519774943
3432659,Tagaytay,Magsaysay,Davao del Sur,0.262553949152543,0.053825440677966,0.883352432203391,0.403010042372881,0.425454305084745,0.347307879588118,0.231853794,0.688116367,1.174662488,1.0,0,0,0,3481009,60.75961554678252
3432660,Tagaytay,Magsaysay,Davao del Sur,0.107756,0.038129,0.623327,0.293428,0.375488,0.175779414413638,0.231853794,0.688116367,1.174662488,1.0,0,0,0,3481009,61.68700094719843
3432661,Bacungan,Magsaysay,Davao del Sur,0.107756,0.038129,0.623327,0.293428,0.375488,0.18006672164163,0.30012811,0.683040487,1.189839525,1.0,0,0,0,3481009,62.64389018369714
