ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,general_me,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"2952612",Balaytigui,Nasugbu,Batangas,"0.522427830903791","0.151144379008747","1.969032967930037","0.689173049562685","1.048900314868797","9.691008340927862","0.547602389","1.379736423","1.061817203","0.0","0","0","1","2971948","28.0799240000666",179.192746,51.8425220000001,1398.92893,675.378308000003,359.772807999997,236.386356000001
"2952613",Balaytigui,Nasugbu,Batangas,"0.518672","0.148766","1.953059999999999","0.68151","1.041364000000001","8.49573670493232","0.547602389","1.379736423","1.061817203",,"0","0","0","2971948","28.7001073865721",20.228208,5.801874,157.78776,76.16934,40.613196,26.57889
"2953976",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,"0.663502","0.252763","2.920073000000001","1.042646","1.574223000000001","3.485507818272239","0.818003779","1.093190034","0.907144563","1.0","0","0","1","2971948","19.2809199786475",16.58755,6.319075,146.0868,73.001825,39.355575,26.06615
"2953987",Papaya,Nasugbu,Batangas,"1.150501","0.298401","3.753219","1.661098","1.946236","0.556060426247617","0.56738605","1.355278015","0.956775958","1.0","0","0","0","2971948","20.4716948101641",2.301002,0.596802,16.186586,7.506438,3.892472,3.322196
"2953988",Papaya,Nasugbu,Batangas,,,,,,"0.202112029083598","0.56738605","1.355278015","0.956775958","1.0","0","0","0","2971948","21.1727049281938",0,0,0,0,0,0
"2953989",Papaya,Nasugbu,Batangas,"1.150501000000002","0.298400999999999","3.753219000000001","1.661098000000002","1.946235999999999","1.349031349912024","0.56738605","1.355278015","0.956775958","1.0","0","0","1","2971948","22.1435331691698",130.006613,33.7193129999999,914.542109000001,424.113747,219.924668,187.704074
"2953990",Papaya,Nasugbu,Batangas,"1.150501","0.298401","3.753219000000001","1.661098","1.946236","0.973681951752146","0.56738605","1.355278015","0.956775958","1.0","0","0","0","2971948","23.0117023761023",11.50501,2.98401,80.93293,37.53219,19.46236,16.61098
"2953991",Papaya,Nasugbu,Batangas,"1.143782027027026","0.301339702702703","3.744546270270271","1.654000513513514","1.940708648648648","0.997854253792675","0.56738605","1.355278015","0.956775958","1.0","0","0","0","2971948","24.292659728899",42.319935,11.149569,298.54818,138.548212,71.80622,61.198019
"2953992",Calayo,Nasugbu,Batangas,"1.157041897058824","0.553359654411764","4.66462776470588","1.982548764705881","2.320780573529415","6.330824928337268","0.565027638","1.360594654","1.046446899","1.0","0","0","1","2971948","25.0359708072226",157.357698,75.2569129999999,1304.851981,634.389376,315.626158,269.626632
"2953993",Balaytigui,Nasugbu,Batangas,"0.617505994708993","0.211352603174603","2.373385693121688","0.883161730158732","1.239680730158724","3.461016191530597","0.547602389","1.379736423","1.061817203","1.0","0","0","1","2971948","26.7401784264248",116.708633,39.9456419999999,927.148005,448.569895999999,234.299657999999,166.917567
"2953994",Balaytigui,Nasugbu,Batangas,"0.516649255319152","0.148748638297872","1.944541574468106","0.680197702127662","1.036404617021269","6.086384219319924","0.547602389","1.379736423","1.061817203","0.0","0","0","0","2971948","27.742286497926",267.107665000002,76.9030459999998,2082.142326,1005.32799400001,535.821186999996,351.662212000001
"2954004",Luyahan,Lian,Batangas,"0.341413","0.278922","1.694873","0.609666","0.871823","3.135285545278478","0.441061686","1.593830109","1.084020529","0.0","0","0","0","2985780","36.7451649834318",5.462608,4.462752,54.894368,27.117968,13.949168,9.754656
"2954005",Luyahan,Lian,Batangas,,,,,,"8.797543059833632","0.441061686","1.593830109","1.084020529","0.0","0","0","0","2985780","37.0586793529353",0,0,0,0,0,0
"2955358",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,,,,,,"1.507623278177701","0.818003779","1.093190034","0.907144563",,"0","0","0","2971948","18.3038116969437",0,0,0,0,0,0
"2955359",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,,,,,,"2.214566588401794","0.818003779","1.093190034","0.907144563","1.0","0","0","0","2971948","17.5773841023764",0,0,0,0,0,0
"2955360",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,"0.663502","0.252763","2.920073","1.042646","1.574223","1.696022477000952","0.818003779","1.093190034","0.907144563",,"0","0","0","2971948","16.5318894785269",11.279534,4.296971,99.339024,49.641241,26.761791,17.724982
"2955367",Sapang I,Ternate,Cavite,,,,,,"0.32058197259903","0.548473561","1.389226278","0.939100396",,"0","0","0","2971948","16.4434876964448",0,0,0,0,0,0
"2955368",Patungan,Maragondon,Cavite,,,,,,"2.309714540839195","0.175822888","1.409887314","0.958695523",,"0","0","0","2971948","17.0910508630041",0,0,0,0,0,0
"2955369",Patungan,Maragondon,Cavite,,,,,,"1.761665567755699","0.175822888","1.409887314","0.958695523",,"0","1","0","2971948","18.7101340208875",0,0,0,0,0,0
