ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,allph_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3169894",Cabatuanan,Basay,Negros Oriental,,,,,,"0.20911822685762","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","24.80668047389612",0,0,0,0,0,0
"3169895",Cabatuanan,Basay,Negros Oriental,"2.432361","1.263453","10.803811","4.916292","5.199925","0.223876240083149","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","24.313636985828605",2.43236099990266,1.26345299994944,22.6476059990936,10.8038109995676,5.1999249997919,4.91629199980325
"3169896",Cabatuanan,Basay,Negros Oriental,,,,,,"0.28098285511083","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","23.53593904609339",0,0,0,0,0,0
"3169897",Cabatuanan,Basay,Negros Oriental,,,,,,"0.662568539700338","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","22.560242023586717",0,0,0,0,0,0
"3169898",Cabatuanan,Basay,Negros Oriental,"2.093395818181818","1.237908363636364","9.091568136363636","3.673904454545456","4.279766227272728","2.391488942503929","0.725551394","0.602248731","1.068460254","1.0","0","0","1","3187871","21.6663333541112",46.054708,27.233984,421.67699,200.014499,94.154857,80.825898
"3169899",Maglinao,Basay,Negros Oriental,"2.039874999999999","1.233875","8.821214","3.477738","4.134478000000003","1.403123962879181","0.586617977","0.603177897","1.073891011","1.0","0","0","0","3187871","20.86472787926649",24.4785,14.8065,223.411056,105.854568,49.613736,41.732856
"3169900",Cabalayongan,Basay,Negros Oriental,"1.983077333333333","1.211908","8.559074666666666","3.376780333333333","4.064112333333333","1.64827146679163","0.854565252","0.602849126","1.035831996","1.0","0","0","0","3187871","20.16643562219886",5.949232,3.635724,53.442176,25.677224,12.192337,10.130341
"3169901",Bal-os,Basay,Negros Oriental,"1.916910979381446","1.186317577319588","8.25369585567012","3.259169855670109","3.982139958762891","4.380704693283353","1.071334397","0.601139426","1.038658818","1.0","0","0","1","3187871","19.582210632029582",185.940365,115.072805,1637.164876,800.608498000002,386.267576,316.139476000001
"3169902",Nagbo-alao,Basay,Negros Oriental,"1.869482000000004","1.167973999999996","8.034795999999996","3.174865000000006","3.923380999999993","15.05502311299356","0.848638836","0.613232476","1.053756216","1.0","0","0","1","3187871","18.89618660398473",314.072976000001,196.219631999999,2722.776,1349.845728,659.128007999999,533.377320000001
"3171276",Cabatuanan,Basay,Negros Oriental,"2.71842125","1.5857225","11.810728624999998","5.268644","5.7943265","0.424515584111214","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","24.770076312094996",21.74737,12.68578,198.296513,94.485829,46.354612,42.149152
"3171277",Cabatuanan,Basay,Negros Oriental,"2.432361","1.263453","10.803811","4.916292","5.199925","0.231450272667589","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","24.078357956524915",12.161805,6.317265,113.23803,54.019055,25.999625,24.58146
"3171278",Cabatuanan,Basay,Negros Oriental,"2.432361","1.263453","10.803811","4.916292","5.199925","0.353486537188292","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","22.96632588597996",2.43236099979329,1.26345299989263,22.6476059980753,10.8038109990818,5.19992499955809,4.91629199958219
"3171279",Cabatuanan,Basay,Negros Oriental,,,,,,"0.723801029625759","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","21.90332947052263",0,0,0,0,0,0
"3171280",Cabatuanan,Basay,Negros Oriental,"2.039875000000001","1.233875","8.821214","3.477738000000001","4.134478000000003","0.960782672251974","0.725551394","0.602248731","1.068460254","1.0","0","0","1","3187871","20.91652243108193",63.236125,38.250125,577.145228,273.457634,128.168818,107.809878
"3171281",Maglinao,Basay,Negros Oriental,"19.6226","11.435239","76.054489","36.132649","36.673962","1.544306700976294","0.586617977","0.603177897","1.073891011","1.0","0","0","0","3187871","20.017175899645416",39.2452,22.870478,323.5699,152.108978,73.347924,72.265298
"3171282",Cabalayongan,Basay,Negros Oriental,"16.21659368181818","7.32581181818182","61.654516681818166","24.21699495454545","28.71407345454546","4.198797404977447","0.854565252","0.602849126","1.035831996","1.0","0","0","1","3187871","19.217572770898656",356.765061,161.16786,2841.432232,1356.399367,631.709616,532.773889
"3171283",Cabalayongan,Basay,Negros Oriental,"12.05877309090909","5.23321290909091","45.89100454545455","17.29976663636364","21.303433181818185","3.961832980880533","0.854565252","0.602849126","1.035831996","1.0","0","0","0","3187871","18.53062943830617",132.646504,57.565342,1050.887618,504.80105,234.337765,190.297433
"3171284",Nagbo-alao,Basay,Negros Oriental,"1.869482000000001","1.167974000000001","8.034796000000012","3.174865000000001","3.923381000000004","4.884659089227588","0.848638836","0.613232476","1.053756216","1.0","0","0","1","3187871","17.96927109455953",102.82151,64.23857,891.385,441.913780000001,215.785955,174.617575
"3171285",Nagbo-alao,Basay,Negros Oriental,"1.869481999999999","1.167974000000001","8.034796000000004","3.174864999999998","3.923381000000003","5.70151091416677","0.848638836","0.613232476","1.053756216","1.0","0","0","0","3187871","17.34337446462379",67.301352,42.047064,583.452,289.252656,141.241716,114.29514
"3172656",Cabatuanan,Basay,Negros Oriental,,,,,,"0.418861948269917","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","25.352570761683623",0,0,0,0,0,0
