ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3317956",Datu Karon,Lebak,Sultan Kudarat,"1.080568","0.616431","6.795251","2.661534","3.691337","2.251691430807114","0.584826133","0.669112614","1.015114861","0.0","0","0","0","3362142","76.13930015208692",1.01144371145449,0.576997707220279,12.985853220391,6.36055656997508,3.4552009642237,2.49127479910779
"3319336",Datu Karon,Lebak,Sultan Kudarat,,,,,,"5.19854868323048","0.584826133","0.669112614","1.015114861",,"0","0","0","3362142","74.13408916756349",0,0,0,0,0,0
"3319337",Datu Karon,Lebak,Sultan Kudarat,,,,,,"1.026178771853447","0.584826133","0.669112614","1.015114861","0.0","0","0","0","3362142","75.12475183547683",0,0,0,0,0,0
"3319338",Datu Karon,Lebak,Sultan Kudarat,"2.443774909090909","1.188085181818182","11.957149909090912","5.523544181818182","6.534692636363636","0.881855835477191","0.584826133","0.669112614","1.015114861","0.0","0","0","0","3362142","76.37802853553218",26.881524,13.068937,274.253997,131.528649,71.881619,60.758986
"3319339",Datu Karon,Lebak,Sultan Kudarat,"4.829387","2.18848","20.990473","10.532062","11.510565","3.619124219630116","0.584826133","0.669112614","1.015114861","0.0","0","0","0","3362142","77.47092630839404",14.488161,6.56544,132.855489,62.971419,34.531695,31.596186
"3319350",Bantogon (Santa Clara),Kalamansig,Sultan Kudarat,"4.814138","2.902774","20.381936","8.03845","10.137379","3.198589496953147","0.629424454","0.669650577","1.0075289","1.0","0","0","0","3398135","81.96540989210206",9.628276,5.805548,86.70808,40.763872,20.274758,16.0769
"3319351",Bantogon (Santa Clara),Kalamansig,Sultan Kudarat,"4.814138","2.902774","20.381936","8.03845","10.137379","2.341315230070534","0.629424454","0.669650577","1.0075289","1.0","0","0","0","3398135","81.83436212662306",14.442414,8.708322,130.06212,61.145808,30.412137,24.11535
"3319352",Bantogon (Santa Clara),Kalamansig,Sultan Kudarat,,,,,,"3.714299578292697","0.629424454","0.669650577","1.0075289","1.0","0","0","0","3398135","81.27183661421485",0,0,0,0,0,0
"3319355",Paril,Kalamansig,Sultan Kudarat,"1.971438","0.872379","9.506866","4.224511","4.993852","3.317526824036041","0.650217952","0.652352129","0.90662164",,"0","0","0","3398135","80.38987659819999",0.0440702710014584,0.019501490255327,0.448687626908196,0.212520079756275,0.111634457173482,0.0944363173575036
"3320719",Tran,Lebak,Sultan Kudarat,,,,,,"0.741328174030626","0.573231064","0.666792095","1.011508346","0.0","0","0","0","3362142","73.68787657313338",0,0,0,0,0,0
"3320720",Tran,Lebak,Sultan Kudarat,"1.080568","0.616431","6.795251000000006","2.661534000000002","3.691337000000001","0.891465907313607","0.573231064","0.666792095","1.011508346","0.0","0","0","1","3362142","74.95817456676832",33.497608,19.109361,430.073385,210.652781,114.431447,82.5075540000001
"3320721",Tran,Lebak,Sultan Kudarat,"1.789804027027027","0.913845675675675","9.480833540540544","4.150552810810812","5.170650405405406","1.415758166048262","0.573231064","0.666792095","1.011508346","0.0","0","0","0","3362142","76.32204435806467",66.222749,33.81229,726.196191,350.790841,191.314065,153.570454
"3320722",Datu Karon,Lebak,Sultan Kudarat,"4.829386999999998","2.188479999999999","20.990473","10.532061999999998","11.510564999999993","3.522066300770022","0.584826133","0.669112614","1.015114861","0.0","0","0","0","3362142","77.68921394103877",135.222836,61.27744,1239.984564,587.733244,322.29582,294.897736
"3320723",Taguisa,Lebak,Sultan Kudarat,"3.784028","0.641814","14.400701","6.351284","7.327376","4.602191097833016","0.582454854","0.663885525","1.047318148","0.0","0","1","0","3362142","78.86217598691955",22.704168,3.850884,174.49317,86.404206,43.964256,38.107704
"3320724",Taguisa,Lebak,Sultan Kudarat,"3.784028","0.641814","14.400701","6.351283999999998","7.327376","6.296126825767652","0.582454854","0.663885525","1.047318148","0.0","0","0","0","3362142","79.99251962984134",60.544448,10.269024,465.31512,230.411216,117.238016,101.620544
"3320730",Dumangas Nuevo,Kalamansig,Sultan Kudarat,"2.599388","1.004806","10.899955","4.805592","5.88685","5.116186730563642","0.600120905","0.676013152","1.084068949","0.0","0","0","1","3398135","81.482343328091",12.99694,5.02403,110.692435,54.499775,29.43425,24.02796
"3320731",Dumangas Nuevo,Kalamansig,Sultan Kudarat,"0.896392","0.584216","4.907116000000002","1.987523","2.567279","4.724772417356098","0.600120905","0.676013152","1.084068949","0.0","0","0","1","3398135","81.20748083612315",16.135056,10.515888,179.786844,88.328088,46.211022,35.775414
"3320732",Bantogon (Santa Clara),Kalamansig,Sultan Kudarat,,,,,,"3.949706064330207","0.629424454","0.669650577","1.0075289","1.0","0","0","0","3398135","81.46531382957383",0,0,0,0,0,0
"3320733",Bantogon (Santa Clara),Kalamansig,Sultan Kudarat,"4.814138","2.902774","20.381936","8.03845","10.137379","1.620819877390661","0.629424454","0.669650577","1.0075289","1.0","0","0","0","3398135","80.89221993078279",14.442414,8.708322,130.06212,61.145808,30.412137,24.11535
"3320734",Bantogon (Santa Clara),Kalamansig,Sultan Kudarat,"4.814138","2.902774","20.381936","8.03845","10.137379","1.777033779215305","0.629424454","0.669650577","1.0075289","1.0","0","0","0","3398135","80.4654928037047",14.442414,8.708322,130.06212,61.145808,30.412137,24.11535
"3320735",Datu Ito Andong,Kalamansig,Sultan Kudarat,"4.814138","2.902774","20.381936","8.03845","10.137379","2.379011671085142","0.286970434","0.646288693","0.958413703","1.0","0","0","0","3398135","80.16639678035294",24.07069,14.51387,216.7702,101.90968,50.686895,40.19225
"3320736",Paril,Kalamansig,Sultan Kudarat,"4.248343","1.805546","16.780955","7.115975","8.156819","3.901476163613169","0.650217952","0.652352129","0.90662164","1.0","0","0","0","3398135","79.49507444657421",8.496686,3.611092,71.244714,33.56191,16.313638,14.23195
"3320737",Paril,Kalamansig,Sultan Kudarat,"4.248343","1.805546","16.780955","7.115975","8.156819","3.074885497872646","0.650217952","0.652352129","0.90662164","1.0","0","0","0","3398135","79.47006371947947",12.745029,5.416638,106.867071,50.342865,24.470457,21.347925
"3320738",Sangay,Kalamansig,Sultan Kudarat,"3.337580999999999","1.4322792","13.8713194","5.9593894","6.8916322","2.558196792602539","0.619383618","0.659533691","0.86944338","0.0","0","0","0","3398135","79.5990392668509",33.37581,14.322792,294.02045,138.713194,68.916322,59.593894
"3320740",Kiponget,Palimbang,Sultan Kudarat,,,,,,"1.596798981058186","0.63279467","0.640932035","0.834491447","0.0","0","0","0","3393998","78.37921191687818",0,0,0,0,0,0
"3322100",Tran,Lebak,Sultan Kudarat,,,,,,"0.541252460963321","0.573231064","0.666792095","1.011508346","1.0","0","0","0","3362142","72.4507953453105",0,0,0,0,0,0
"3322101",Tran,Lebak,Sultan Kudarat,"1.080568","0.616431","6.795251","2.661534","3.691337","0.868661828258986","0.573231064","0.666792095","1.011508346","0.0","0","0","0","3362142","73.47438970072075",6.483408,3.698586,83.24001,40.771506,22.148022,15.969204
"3322102",Tran,Lebak,Sultan Kudarat,"2.02799937254902","1.044707862745098","9.965334529411766","4.051504980392155","5.110738764705882","2.937045442543441","0.573231064","0.666792095","1.011508346","0.0","0","0","1","3362142","74.84714695539145",103.427968,53.280101,1060.215805,508.232061,260.647677,206.626754
"3322103",Tran,Lebak,Sultan Kudarat,"5.388656749999996","2.509931687500003","21.92798413392855","10.032369910714294","11.115949705357163","9.54571260737317","0.573231064","0.666792095","1.011508346","0.0","0","0","1","3362142","76.23079355659459",603.529556,281.112349,5223.66192399999,2455.934223,1244.986367,1123.62543
"3322104",Taguisa,Lebak,Sultan Kudarat,"3.080008246153845","1.534385876923075","13.24201455384615","6.308513169230766","7.062307738461528","4.49584390654232","0.582454854","0.663885525","1.047318148","0.0","0","0","0","3362142","77.62474720509064",200.200536,99.7350819999999,1808.588919,860.730946,459.050002999999,410.053356
"3322105",Taguisa,Lebak,Sultan Kudarat,"1.74506995","1.06413665","7.58248165","3.1895552","3.914407100000001","2.697687784224066","0.582454854","0.663885525","1.047318148","0.0","0","0","0","3362142","79.02846249650261",34.901399,21.282733,314.935356,151.649633,78.288142,63.791104
"3322106",Taguisa,Lebak,Sultan Kudarat,"3.677837222222226","0.634746962962963","14.003726037037053","6.166621740740742","7.121614037037038","2.966210911888223","0.582454854","0.663885525","1.047318148","0.0","0","0","1","3362142","80.37533043314806",198.60321,34.276336,1527.410046,756.201206000001,384.567158,332.997574
